小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
瑞华苑,(新民市新民市)市府路39号,3905,暂无信息 ,板楼/塔板结合,2元/平米/月,万科物业,暂无信息,26栋,1217户
抗生素小区,(沈北新区虎石台)沈北新区兴明街13号,3893,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,9栋,308户
诚信花园,(新民市)新民市胡台新城振兴四街11-10号,3895,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,5户
张士新居二期,(铁西经济技术开发区)开发区五号路,3897,2010年建成 ,板楼,1元/平米/月,自持物业,暂无信息,7栋,15户
道义新城二期,(沈北新区道义)道义北大街136-21号,5643,2002年建成 ,板楼,0.5至1.5元/平米/月,辽宁裕峰物业管理有限公司,无开发商,19栋,958户
中海城星座,(于洪荷兰村)西江街星座,5833,2010年建成 ,塔楼/板楼,2至2.5元/平米/月,中海物业管理有限公司和平分公司,云南中海城投房地产开发有限公司,8栋,2640户
环北家园一期,(于洪四台子)黄河北大街206号,5503,2001年建成 ,板楼,0.8元/平米/月,沈阳环际房产物业管理有限公司,无开发商,18栋,1065户
克俭小区,(皇姑北行)兴工北街1号,5745,1995年建成 ,板楼,0.1至10元/平米/月,暂无信息,无开发商,32栋,4358户
后林新村,(浑南营城子)营城子大街133号,5719,2004年建成 ,板楼,0.5元/平米/月,沈阳后林友好物业管理有限公司,辽宁东大房地产开发有限公司,31栋,2413户
丽馨园,(于洪陵西)陵西街,5556,2002年建成 ,板楼,0.5元/平米/月,无物业,无开发商,5栋,215户
靓园,(于洪荷兰村)西江街靓园,5487,1995年建成 ,板楼,0.5至1元/平米/月,沈阳靓美物业管理有限公司,暂无信息,8栋,662户
沈阳师大陵西家属宿舍,(于洪陵西)黄山路14,5564,1995年建成 ,板楼,5元/平米/月,无物业公司,无开发商,3栋,392户
文富社区,(沈河南塔)文富社区,5824,1995年建成 ,板楼,0.5元/平米/月,无物业公司,无开发商,5栋,159户
祥瑞大厦,(沈北新区正良)正义四路1号,5706,2007年建成 ,板楼,1元/平米/月,自主物业,无开发商,2栋,204户
双喜二小区,(铁西工人村)南十一西路,5767,1988年建成 ,板楼,0.5元/平米/月,自主物业,无开发商,36栋,2238户
美伦湾,(沈北新区新城子)银河街11号,4863,2008年建成 ,板楼/塔板结合,0.5至1.5元/平米/月,沈阳诚大新生活物业有限公司,沈阳民安永居置业有限公司,16栋,633户
白塔家园,(浑南白塔)高深路白塔家园,5587,2000年建成 ,板楼,0.5元/平米/月,自主物业,无开发商,5栋,338户
湖滨新村,(新民市新民市)东环南街湖滨新村,4688,暂无信息 ,板楼,0.8元/平米/月,暂无信息,暂无信息,15栋,999户
依林东郡,(新民市新民市)东环南街依林东郡,4108,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3栋,4户
富康花园,(新民市新民市)辽河大街富康花园,4025,1999年建成 ,板楼,0.5元/平米/月,自主物业,暂无信息,20栋,1311户
金墅花园,(康平县康平县)含光街3号,4235,暂无信息 ,塔板结合,1.5元/平米/月,台安县金墅花园物业管理有限公司康平分公司,暂无信息,2栋,51户
恺帝花园,(新民市新民市)新华东路8号,4687,暂无信息 ,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,16栋,861户
嘉禾小镇,(新民市新民市)工人街7号,5526,2015年建成 ,板楼,1元/平米/月,法库县嘉禾物业有限公司,暂无信息,4栋,4户
富民花园,(苏家屯八一)大盛路9号,4249,2004年建成 ,板楼,0.5元/平米/月,暂无信息,辽宁现代房产开发有限公司,33栋,1979户
正大香格城,(苏家屯区中心)文竹街24号,5563,2003年建成 ,塔楼/板楼/塔板结合,0.6至1元/平米/月,沈阳杰大物业管理有限公司,正大房地产开发有限公司,11栋,89户
新兴绿色家园,(苏家屯八一)大杨东路38号,4118,2000年建成 ,板楼,0.5元/平米/月,暂无信息,无开发商,22栋,856户
长城金色佳园,(苏家屯区中心)丁香街169号,4099,2002年建成 ,板楼,1.8元/平米/月,无物业公司,暂无信息,8栋,204户
乐都新城,(新民市新民市)东营北三路乐都新城,4039,暂无信息 ,板楼/塔板结合,1至1.2元/平米/月,暂无信息,暂无信息,6栋,56户
育林社区,(苏家屯区中心)育林社区,5644,1990年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,48栋,2713户
御龙湾,(于洪造化)马三家中街73号,4932,2015年建成 ,板楼,1元/平米/月,沈阳市商园物业有限公司,沈阳宸邦置业有限公司,13栋,688户
皇城社区,"(沈河中街)皇城社区, 西顺城内街",5795,1990年建成 ,塔楼,0.5元/平米/月,自主物业,无开发商,11栋,1195户
铜兴社区,(苏家屯会展中心)凤果路,5268,1990年建成 ,塔楼,0.5元/平米/月,暂无信息,无开发商,93栋,6269户
博达嘉园,(苏家屯区中心)枫杨路,5813,1999年建成 ,板楼,0.5元/平米/月,自主物业,无开发商,20栋,1332户
青松社区,(苏家屯区中心)青松西路,4945,1995年建成 ,板楼,0.5元/平米/月,自主物业,无开发商,21栋,1397户
鲜族村,(苏家屯区中心)芙蓉北街,4933,1994年建成 ,塔楼,0.5元/平米/月,自主物业,无开发商,23栋,1779户
牡丹园,(苏家屯区中心)牡丹街,5365,1996年建成 ,板楼,1.3元/平米/月,鑫荣物业管理公司,铁路局,10栋,589户
大格社区,(苏家屯区中心)丁香街,5397,1999年建成 ,板楼,0.5元/平米/月,自主物业,无开发商,18栋,1113户
清荷园,(苏家屯区中心)桂花街201,5089,1994年建成 ,板楼,2.3元/平米/月,暂无信息,无开发商,18栋,1089户
金桔花苑,(苏家屯会展中心)金桔一路,4872,1998年建成 ,板楼,1元/平米/月,无物业,无开发商,9栋,495户
