小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
洋内亭嘉园,(石狮市石狮中心)东西三路洋内亭嘉园,6963,板楼/平房,1.1至1.5元/平米/月,世茂天成物业有限公司,中国奥园地产集团有限公司,3栋,343户
金光巷,(石狮市石狮中心)金光巷20号,5935,板楼,1元/平米/月,暂无信息,石狮铜锣湾时代广场发展有限公司,2栋,44户
金山钻石公寓,(晋江市宝龙广场)迎宾路55号,6922,板楼,1.2元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,1栋,221户
狮城帝苑一期,(石狮市石狮中心)子芳路狮城帝苑一期,7437,板楼,1.3元/平米/月,暂无信息,石狮中梁荣誉置业发展有限公司,5栋,442户
百江明珠,(石狮市石狮中心)石泉二路117号,6792,塔板结合,1.2元/平米/月,福建顺欣物业有限公司泉州分公司,泉州市建德集团公司,4栋,908户
集友楼,(晋江市安海镇)清机路集友楼,4854,未知类型,暂无信息,暂无信息,暂无信息,1栋,78户
宝佳花园,(晋江市安海镇)鸿江中路195号,6676,未知类型,1.2元/平米/月,暂无信息,暂无信息,6栋,186户
中百小区,(晋江市安海镇)成功中路76号,3529,未知类型,暂无信息,暂无信息,暂无信息,3栋,109户
金龙豪苑,(晋江市晋江周边)仁和路金龙豪苑,5113,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
宏德时代广场,(石狮市石狮中心)北环路宏德时代广场,3612,未知类型,暂无信息,暂无信息,暂无信息,6栋,35户
远和花园,(泉港区泉港区)祥云中路远和花园,3875,未知类型,暂无信息,暂无信息,暂无信息,1栋,109户
阳侨花园城,(洛江区洛江区)金狮路1号,7361,未知类型,暂无信息,暂无信息,暂无信息,8栋,562户
福锦花园城,(晋江市SM广场)锦山路52号,5761,板楼/塔板结合,1.2元/平米/月,暂无信息,省一建公司,13栋,502户
冠力康城大厦,(丰泽区城东)浔江路冠力康城大厦,5609,平房,1元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,4栋,590户
豪富广场,(石狮市石狮中心)濠江路114-118号,7198,板楼/塔板结合,1元/平米/月,暂无信息,海兴博豪富源房地产开发有限公司,10栋,532户
金汇花园一期,(石狮市服装城)灵狮街金汇花园一期,6436,板楼,1.3元/平米/月,世茂天成物业服务集团有限公司晋江第二分公司, 中国奥园地产集团股份有限公司,10栋,333户
金汇花园二期,(石狮市服装城)灵狮中路76号,6948,板楼/塔板结合,1至1.3元/平米/月,泉州富兴源物业, 中国奥园地产集团股份有限公司,19栋,784户
益家万博城,(石狮市石狮周边)石狮港口大道与外东环交汇处南侧,7180,塔楼,1.5元/平米/月,厦门友朋四方物业管理有限公司石狮分公司,福建益家建材市场股份有限公司,8栋,2720户
瑞祥苑,(晋江市晋江周边)光华路瑞祥苑,7662,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
金丰苑,(晋江市晋江周边)西环路金丰苑,6034,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
鲤鱼豪苑,(晋江市安海镇)东鲤路136号,4783,未知类型,暂无信息,暂无信息,暂无信息,1栋,70户
竹林轩,"(石狮市石狮中心)琼林南路18号,琼林南路11号",5325,塔板结合,1元/平米/月,暂无信息,暂无信息,4栋,37户
玉浦花苑一期,(石狮市石狮中心)石泉二路765号,7298,塔板结合,1元/平米/月,暂无信息,玉宏控股,8栋,710户
德辉文化大厦,(石狮市服装城)八七路德辉文化大厦,4518,塔楼,1.8元/平米/月,暂无信息,厦门德辉房地产有限公司,3栋,44户
晋安小区,(石狮市石狮中心)石泉二路26号,5959,塔板结合,1.2元/平米/月,暂无信息,暂无信息,4栋,30户
塘园,(石狮市服装城)永恒路塘园,5301,板楼,暂无信息,暂无信息,暂无信息,6栋,69户
华禄花园,(石狮市石狮中心)茂林南路68号,4294,塔板结合,0.5元/平米/月,暂无信息,石狮市银昌房地产开发有限公司,4栋,98户
松茂花苑,(石狮市石狮中心)香江路松茂花苑,6517,板楼,1.2元/平米/月,暂无信息,暂无信息,3栋,240户
佳豪城市花园,(石狮市石狮中心)北环路佳豪城市花园,6002,板楼,1元/平米/月,骏源物业发展有限公司,段氏佳豪（北京）置业投资有限公司盐山分公司,5栋,181户
福利东路245号,(石狮市石狮中心)福利东路245号,4299,塔板结合,1.2元/平米/月,暂无信息,暂无信息,3栋,36户
南安市农机公司,(南安市南安中心)滨江路南安市农机公司,5952,塔板结合,暂无信息,暂无信息,暂无信息,3栋,78户
御景天地,(南安市南安中心)成功街701号,7631,未知类型,暂无信息,暂无信息,暂无信息,2栋,80户
中行住宅小区,(南安市南安中心)柳东路857号,6757,未知类型,暂无信息,暂无信息,暂无信息,3栋,120户
双塘小区北区,(南安市南安中心)双塘路298号,5970,未知类型,暂无信息,暂无信息,暂无信息,20栋,453户
科技商贸大厦,(南安市南安中心)成功街科技商贸大厦,5693,板楼/塔板结合,1至1.65元/平米/月,暂无信息,暂无信息,4栋,245户
南安市东区住宅小区,(南安市南安中心)成功街890号,6304,板楼,暂无信息,泉州市远宏物业管理有限公司,暂无信息,7栋,178户
建宏花苑,(南安市南安中心)环城西路271号,6787,板楼,0.8元/平米/月,明福物业,暂无信息,8栋,265户
艾派数码空间,(晋江市SM广场)泉安南路艾派数码空间,6832,塔楼,1.2元/平米/月,晋江市综合物业管理有限公司, 中国奥园地产集团股份有限公司,1栋,585户
融丰花园城,(晋江市宝龙广场)崇德路178号,5106,板楼,1.2元/平米/月,暂无信息,华融达地产,3栋,84户
名仕豪园,(石狮市石狮中心)宋塘路名仕豪园,6737,板楼,1至1.1元/平米/月,暂无信息,石狮市曙辉房地产开发有限公司,6栋,413户
嘉华花园,(石狮市石狮中心)南环路1号,4142,塔板结合,1元/平米/月,石狮市富安物业管理有限公司,石狮金碧置业有限公司,1栋,116户
贵苑小区西区,(晋江市陈埭镇)南港路贵苑小区西区,4894,未知类型,暂无信息,暂无信息,暂无信息,4栋,107户
莲洪花园,(泉港区泉港区)中兴街莲洪花园,5193,未知类型,暂无信息,暂无信息,暂无信息,2栋,258户
祥鹏大厦,(石狮市石狮中心)茂林南路15号,5130,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
富安豪庭,(石狮市石狮中心)东新路76号,7228,未知类型,暂无信息,暂无信息,暂无信息,5栋,66户
惠港大厦,(泉港区泉港区)驿峰中路惠港大厦,3326,未知类型,暂无信息,暂无信息,暂无信息,1栋,102户
世纪豪园,(石狮市服装城)鸳鸯池南路117号,6214,未知类型,1元/平米/月,暂无信息,暂无信息,2栋,29户
聚福二期,(泉港区泉港区)中兴街676号,4540,塔楼,暂无信息,泉州鲤城鑫龙物业管理有限公司,暂无信息,10栋,979户
元兴花园,(石狮市服装城)南洋路9号,3663,塔板结合,1元/平米/月,暂无信息,暂无信息,11栋,102户
世纪新城,(泉港区泉港区)南山中路辅路世纪新城,4076,未知类型,暂无信息,暂无信息,暂无信息,2栋,236户
隆汉商厦,(泉港区泉港区)祥云中路999号,3047,平房,暂无信息,暂无信息,暂无信息,1栋,27户
富丽华园,(惠安县台商投资区)泉州市台商投资区富丽华园城西大道,6613,未知类型,暂无信息,暂无信息,暂无信息,3栋,7户
庄园泉港中心商贸城,(泉港区泉港区)中兴街庄园泉港中心商贸城,3343,未知类型,暂无信息,暂无信息,暂无信息,4栋,30户
农贸路50号,(石狮市石狮中心)农贸路50号,3384,未知类型,暂无信息,暂无信息,暂无信息,2栋,3户
福建省石狮供水公司小区,(石狮市石狮中心)北环路2638号,4916,未知类型,暂无信息,暂无信息,暂无信息,4栋,30户
新加坡商厦,(石狮市服装城)石狮市振兴路111号,4775,未知类型,暂无信息,暂无信息,暂无信息,2栋,92户
鑫润花园城,(泉港区泉港区)新民街鑫润花园城,6369,未知类型,暂无信息,暂无信息,暂无信息,5栋,205户
富兴源大厦,(石狮市石狮中心)长福路81号,7255,板楼,1.2元/平米/月,暂无信息,暂无信息,1栋,223户
石狮逸都商厦,(石狮市服装城)仓兴路163,6280,未知类型,暂无信息,暂无信息,暂无信息,2栋,119户
福建省石狮供水公司,(石狮市石狮中心)北环路2636,5308,未知类型,暂无信息,暂无信息,暂无信息,2栋,4户
霞福文明小区,(晋江市泉州桥南)凤池路霞福文明小区,3703,未知类型,1元/平米/月,暂无信息,暂无信息,2栋,126户
中瑞城公园首府,(晋江市磁灶镇)陶城路中瑞城公园首府,6779,未知类型,1.6元/平米/月,暂无信息,暂无信息,5栋,151户
佳华商住楼,(泉港区泉港区)南山中路15号,4192,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
一号居住区,(泉港区泉港区)南山中路10号,5770,未知类型,暂无信息,暂无信息,暂无信息,6栋,162户
春满城二期花园小区,(泉港区泉港区)驿峰中路9号,4004,未知类型,暂无信息,暂无信息,暂无信息,5栋,208户
锦祥社区,(泉港区泉港区)锦祥1号,4109,未知类型,暂无信息,暂无信息,暂无信息,15栋,373户
龙庄商住楼,(泉港区泉港区)南山中路9号,3763,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
华洲市场,(泉港区泉港区)中兴街46号,4228,未知类型,暂无信息,暂无信息,暂无信息,2栋,76户
丽港尊品,(泉港区泉港区)驿峰东路199号,4953,未知类型,暂无信息,暂无信息,暂无信息,4栋,260户
建德花园一期,(石狮市石狮中心)八七路建德花园一期,4671,板楼,1.2元/平米/月,暂无信息,暂无信息,2栋,61户
湖滨街道新湖社区,(石狮市石狮中心)九二路湖滨街道新湖社区,7484,塔板结合,1元/平米/月,暂无信息,暂无信息,6栋,180户
庄园金海岸1号,(泉港区泉港区)峰尾镇新西路D8栋号,4042,未知类型,暂无信息,暂无信息,暂无信息,2栋,173户
银昌新城,(石狮市石狮中心)良狮路339号,6053,未知类型,暂无信息,暂无信息,暂无信息,1栋,108户
华鑫商住城,(泉港区泉港区)龙亭街华鑫商住城,3476,未知类型,暂无信息,暂无信息,暂无信息,6栋,145户
聚福小区,(泉港区泉港区)中兴街聚福小区,4014,未知类型,暂无信息,暂无信息,暂无信息,12栋,215户
东盛小区,(泉港区泉港区)龙亭街东盛小区,6659,未知类型,暂无信息,暂无信息,暂无信息,1栋,34户
建委套房,(晋江市宝龙广场)永德路建委套房,5438,未知类型,暂无信息,暂无信息,暂无信息,2栋,48户
顺发大厦,(泉港区泉港区)中兴街顺发大厦,4019,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
东方伟业城市广场,(泉港区泉港区)祥云中路东方伟业城市广场,4873,未知类型,暂无信息,暂无信息,暂无信息,4栋,436户
福炼社区中区,(泉港区泉港区)祥云中路福炼社区中区,4594,未知类型,暂无信息,暂无信息,暂无信息,14栋,393户
金帛山商住楼,(泉港区泉港区)锦绣街金帛山商住楼,4070,未知类型,暂无信息,暂无信息,暂无信息,2栋,49户
南亿花园,(泉港区泉港区)南山中路南亿花园,4518,未知类型,暂无信息,暂无信息,暂无信息,5栋,317户
万洲商住楼一期,(泉港区泉港区)南山中路万洲商住楼一期,3804,未知类型,暂无信息,暂无信息,暂无信息,3栋,120户
海南街,(泉港区泉港区)海南街,4519,未知类型,暂无信息,暂无信息,暂无信息,17栋,327户
