小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
家鑫水岸名家,(宜阳县宜阳县)滨河北路家鑫水岸名家,3226,未知类型,暂无信息,暂无信息,暂无信息,28栋,1976户
乳品厂家属院,(偃师市偃师市)商都东路59号,3556,塔板结合,暂无信息,暂无信息,洛阳佳居置业有限公司,2栋,44户
凯悦大厦,(西工区纱厂路)西工区金谷园街道凯悦大厦,3643,塔板结合,1.8元/平米/月,业主自管,"""苍南县中富房地产开发有限公司",1栋,112户
火车站家属院,(偃师市偃师市)商都东路97号,3034,未知类型,暂无信息,暂无信息,暂无信息,2栋,100户
凤山龙城,(伊川县伊川县)八一路凤山龙城,3496,未知类型,暂无信息,暂无信息,暂无信息,3栋,471户
金东瑞福苑,(宜阳县宜阳县)李贺大道金东瑞福苑,3360,未知类型,暂无信息,暂无信息,暂无信息,4栋,286户
天通城,(宜阳县宜阳县)文明中路43号,3044,未知类型,暂无信息,暂无信息,暂无信息,4栋,315户
红旗小区,(宜阳县宜阳县)红旗西路32号,2718,未知类型,暂无信息,暂无信息,暂无信息,3栋,224户
开发区鑫达底商住宅楼,(偃师市偃师市)商都东路开发区鑫达底商住宅楼,3858,未知类型,暂无信息,暂无信息,暂无信息,1栋,28户
府琛花园,(宜阳县宜阳县)香鹿山大道府琛花园,3603,未知类型,0.3元/平米/月,暂无信息,暂无信息,12栋,432户
河阳家园,(吉利区吉利区)中原路河阳家园,3141,板楼,1.2元/平米/月,中诚物业管理有限公司,中诚房地产开发股份有限公司,20栋,586户
鑫欣小区南苑,(瀍河回族区孟津县)振兴路鑫欣小区南苑,2742,未知类型,暂无信息,暂无信息,洛阳稳鑫置业有限公司,3栋,112户
棉花厂家属院,(偃师市偃师市)民主路35号,3119,未知类型,暂无信息,暂无信息,暂无信息,2栋,49户
石硖社区,(偃师市偃师市)商都路石硖社区,3268,未知类型,暂无信息,暂无信息,暂无信息,4栋,198户
香鹿山城市花园乙区,(宜阳县宜阳县)香鹿山大道香鹿山城市花园乙区,3125,未知类型,暂无信息,暂无信息,暂无信息,24栋,692户
瀍河分局家属院,(瀍河回族区塔湾)熙春东路瀍河分局家属院,3326,未知类型,暂无信息,暂无信息,暂无信息,1栋,72户
阳光花园,(宜阳县宜阳县)兴宜东路阳光花园,3229,塔楼,0.5元/平米/月,暂无信息,暂无信息,10栋,480户
山水福地,(宜阳县宜阳县)灵山大道山水福地,3612,未知类型,暂无信息,暂无信息,暂无信息,16栋,625户
中信小区北区,(瀍河回族区东花坛)班家街中信小区北区,3761,未知类型,暂无信息,暂无信息,暂无信息,4栋,250户
凯地城,(伊川县伊川县)滨河东路凯地城,3461,板楼,0.9元/平米/月,暂无信息,暂无信息,21栋,701户
锦山家园西院,(宜阳县宜阳县)桥兴路锦山家园西院,3446,板楼,1元/平米/月,暂无信息,暂无信息,25栋,1082户
鹤鸣花园,(伊川县伊川县)鹤鸣路355号,3886,未知类型,暂无信息,暂无信息,暂无信息,24栋,1184户
洛北小区,(瀍河回族区孟津县)河南省洛阳市瀍河回族区洛阳供电段职工培训中心西50米,3381,未知类型,暂无信息,暂无信息,暂无信息,5栋,28户
双苑社区,(吉利区吉利区)河阳路777号,2599,未知类型,暂无信息,暂无信息,暂无信息,32栋,1329户
金水湾,(宜阳县宜阳县)李贺大道金水湾,3115,未知类型,暂无信息,暂无信息,暂无信息,7栋,179户
马步社区,(孟津县孟津县)桂花大道马步社区,3160,未知类型,暂无信息,暂无信息,暂无信息,10栋,1853户
孟津县卫校小区,(孟津县孟津县)小浪底大道417号,3792,未知类型,暂无信息,暂无信息,暂无信息,2栋,105户
城关医院家属院,(孟津县孟津县)平乐路102号,3050,未知类型,暂无信息,暂无信息,暂无信息,2栋,42户
鞋厂家属院,(偃师市偃师市)明珠路鞋厂家属院,2497,未知类型,暂无信息,暂无信息,暂无信息,4栋,164户
滨河新城,(宜阳县宜阳县)滨河西路10号,3235,未知类型,暂无信息,暂无信息,暂无信息,9栋,630户
启明北路5号院,(瀍河回族区东花坛)启明北路5号,3674,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,72户
镇政府小区,(涧西区高新区)三元路镇政府小区,3675,未知类型,暂无信息,暂无信息,暂无信息,3栋,108户
华芳苑,(宜阳县宜阳县)纬一路华芳苑,3747,未知类型,暂无信息,暂无信息,暂无信息,5栋,336户
万博苑,(伊川县伊川县)杜康大道万博苑,3205,未知类型,暂无信息,暂无信息,暂无信息,12栋,480户
龙四社区,(涧西区龙鳞路)龙鳞路16号,5558,板楼,0.3元/平米/月,社区居民委员会,无,29栋,2336户
洛玻城,(涧西区高新区)凌波路003号,5323,板楼/塔板结合,0.38至1元/平米/月,业主自筹物业,河南绿都置业有限公司,21栋,1089户
广文路8号,(涧西区谷水)广文路8号,5448,板楼,0.3至0.35元/平米/月,社区居民委员会,洛阳中建地产有限公司,30栋,1575户
一品公寓,(涧西区高新区)鸿都路一品公寓,4767,板楼,0.4元/平米/月,业主自筹物业,暂无信息,1栋,83户
