小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
康和西苑,(历城全福区)黄台南路33,当前网页找不到元素（价格）,2012年建成  ,板楼,0.4至1.2元/平米/月,济南恒鼎物业管理有限公司,1,4栋,792户
舜荷苑,(历下佛山街)文化西路3号,当前网页找不到元素（价格）,2010年建成  ,板楼,暂无信息,业主自筹物业,济南市城市建设投资有限公司,1栋,84户
历山东路38至40号,(历下山大路)历山东路38至40号,当前网页找不到元素（价格）,1995年建成  ,板楼,暂无信息,无物业管理服务,无开发商,2栋,150户
市工商局宿舍,(历下文化东路)燕子山路41号,当前网页找不到元素（价格）,1992年建成  ,板楼,暂无信息,业主自筹物业,济南大杨置业公司,4栋,168户
龙腾小区,(槐荫美里湖)济齐路136号,当前网页找不到元素（价格）,2006年建成  ,板楼,0.25至25元/平米/月,大连万达物业管理有限公司济南分公司,无开发商,15栋,1512户
礼乐佳苑,(槐荫西客站)德州路礼乐佳苑,当前网页找不到元素（价格）,2010年建成  ,板楼,暂无信息,山东银河伟业,幸福实业总公司,14栋,1418户
康宁家园,(槐荫匡山区)济齐路95,当前网页找不到元素（价格）,2007年建成  ,板楼,0.5元/平米/月,山东匡山琪鑫物业有限公司,山东匡山琪鑫置业股份有限公司,16栋,809户
演马佳苑,(槐荫西客站)泰安路演马佳苑,当前网页找不到元素（价格）,2010年建成  ,板楼,暂无信息,山东银河伟业,无开发商,14栋,1358户
造纸厂职工宿舍,(槐荫匡山区)济齐路造纸厂职工宿舍,当前网页找不到元素（价格）,1990年建成  ,塔板结合,0.95元/平米/月,暂无信息,城建地产,1栋,96户
兴福佳苑,(槐荫西客站)齐鲁大道兴福佳苑,当前网页找不到元素（价格）,2010年建成  ,板楼,暂无信息,无物业管理服务,无开发商,15栋,2080户
匡山新村,(槐荫匡山区)矿山东路匡山新村,当前网页找不到元素（价格）,1996年建成  ,板楼,1.25元/平米/月,济南匡山小区物业管理有限责任公司,山东国大置业有限公司,13栋,334户
麗水华庭,(槐荫美里湖)美里路麗水华庭,当前网页找不到元素（价格）,2005年建成  ,板楼,暂无信息,无物业管理服务,无开发商,16栋,1008户
