小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
六合公寓,(美兰海甸岛)海甸岛海虹路12号,4388,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,57户
椰景花园,(琼山滨江)博雅路90号,7507,塔楼,1.23元/平米/月,业主自筹物业,暂无信息,5栋,5户
振海公司宿舍楼,(龙华解放西)龙昆下村48-1号,7379,塔板结合,0.9元/平米/月,业主自筹物业,暂无信息,1栋,1户
南天大酒店宿舍,(琼山龙昆南)金花新路123号,8209,塔楼/塔板结合,0.8元/平米/月,暂无信息,暂无信息,2栋,7户
仙桃花园,(美兰海甸岛)海甸人民大道23号,11587,板楼,1.6元/平米/月,海口昌晖物业服务有限公司,暂无信息,1栋,108户
龙祥小区,(琼山龙昆南)振兴路64号,10518,板楼,1元/平米/月,海南三友物业公司,暂无信息,1栋,36户
白沙门公寓,(美兰海甸岛)白沙门上村169号,11179,塔板结合,1.2元/平米/月,无物业管理服务,无开发商,1栋,207户
市工商局宿舍,(美兰海甸岛)三西路3号,11563,塔楼,暂无信息,无物业管理服务,暂无信息,3栋,43户
金海岸小区,(美兰海甸岛)人民大道68-2号,11108,板楼/塔板结合,0.7元/平米/月,业主自筹物业,暂无信息,2栋,96户
藤园阁,(琼山府城)新城路21号,11423,板楼,1.2元/平米/月,业主自筹物业,暂无信息,1栋,42户
山高经典,(龙华龙昆南)山高村444号,9838,塔板结合,1.2元/平米/月,海南众通房地产有限公司,暂无信息,1栋,37户
警苑小区,(美兰白龙)白龙南路27号,11553,塔板结合,0.8元/平米/月,海南金村物业管理有限公司,暂无信息,1栋,128户
海府大厦,(美兰国兴)海府一横路14-2号,10674,板楼,1.5元/平米/月,业主自筹物业,暂无信息,2栋,33户
友合花园,"(美兰海甸岛)海彤路32号, 海彤路16-3号",11032,板楼,0.9元/平米/月,海南友合物业管理有限公司,暂无信息,1栋,109户
琼山食品公司住宅楼,(琼山滨江)东门街4号,10165,塔板结合,1元/平米/月,海南三友物业公司,暂无信息,3栋,18户
冰城大厦,(美兰国兴)海府路60-1,11136,塔板结合,1元/平米/月,海南宝莹物业有限公司,暂无信息,1栋,12户
琼建大楼,(琼山府城)中山路57号,11176,塔板结合,1.2元/平米/月,业主自筹物业,暂无信息,1栋,49户
琼山建行宿舍,(琼山龙昆南)龙昆南路127号,10755,塔楼,1.2元/平米/月,业主自筹物业,暂无信息,1栋,32户
富兴大厦,(美兰明珠)大英67号,9501,塔楼,0.9元/平米/月,业主自筹物业,暂无信息,1栋,91户
瑞强大厦,(龙华金盘)建设一横路3号,11618,塔楼,0.85元/平米/月,业主自筹物业,暂无信息,1栋,130户
欣雅花园,(龙华海垦)海垦路23号欣雅花园,10675,塔板结合,1.2元/平米/月,街道办事处（居委会）代管物业,暂无信息,3栋,190户
海星家园,"(龙华金盘)金星路18-7号, 金星路18号",11033,板楼,1.5元/平米/月,海口互邦物业管理有限公司,海南云兴康盛房地产开发有限公司,8栋,1062户
文博花苑,(琼山国兴)流芳路3号,10912,塔板结合,暂无信息,无物业管理服务,暂无信息,2栋,54户
民建大院,(琼山府城)马鞍街3号,10782,板楼,1.2元/平米/月,海南红椰果物业公司,暂无信息,2栋,72户
永利公寓,(琼山府城)文庄路4号,11359,塔楼,1.2元/平米/月,海南三友物业公司,暂无信息,2栋,96户
市商务局宿舍,(美兰明珠)五指山路2号,10854,板楼,0.8元/平米/月,业主自筹物业,暂无信息,4栋,132户
凤翔花园A区,(琼山凤翔)振发横路24号,13917,塔板结合,1.8元/平米/月,海南凤翔物业有限公司,暂无信息,5栋,1721户
中北大厦,(美兰海甸岛)海甸三东路18号,11599,塔楼,1元/平米/月,暂无信息,暂无信息,1栋,47户
新宏兴大厦,(美兰海甸岛)人民大道27号,11573,塔板结合,1.5元/平米/月,海南新宏兴房地产开发有限公司,海南新宏兴房地产开发有限公司,1栋,76户
安信大厦,(美兰海甸岛)和平大道23号,11454,塔楼/板楼,0.8元/平米/月,海口利安物业管理有限公司,暂无信息,3栋,224户
翔隆楼,(琼山龙昆南)振兴路五横里11号,11394,塔板结合,1.6元/平米/月,无物业管理服务,暂无信息,1栋,18户
金银小区,(秀英秀英)海秀西路5号,11633,塔楼,1元/平米/月,海南珠江格瑞物业管理有限公司,海南泛华房地产开发有限公司,2栋,168户
瑞宏大厦,(龙华解放西)海秀东路33号,10307,塔楼,1元/平米/月,君悦物业有限公司,暂无信息,1栋,109户
椰岛大厦,(龙华国贸)金龙路1号,12134,塔楼,1元/平米/月,海南珠江物业有限公司,海南浙江椰香村建设开发有限公司,1栋,108户
中房高级公寓,(龙华国贸)玉沙路14号,10890,塔楼,1.8元/平米/月,海南崇信物业管理有限公司,暂无信息,1栋,84户
南江小区,(美兰明珠)椰林路26号,10242,板楼/平房,2元/平米/月,海南合恒皓天物业有限公司,暂无信息,7栋,212户
荣华公寓,(琼山府城)桂林下路153,10118,板楼,1元/平米/月,海南沿海物业发展有限公司,暂无信息,1栋,126户
广益大厦,"(美兰海甸岛)海彤路1号, 海甸二东路43号",9177,塔楼,1元/平米/月,暂无信息,暂无信息,1栋,83户
海房新村,"(美兰海甸岛)海甸二西路26号, 海房新村28号",11578,板楼,1元/平米/月,暂无信息,暂无信息,4栋,124户
金珠大厦,(美兰海甸岛)海达路11,9988,板楼,0.6元/平米/月,海口利安物业管理有限公司,暂无信息,1栋,42户
文龙大厦,(美兰白龙)文明东路25号,9996,塔板结合,1.25元/平米/月,业主自筹物业,暂无信息,1栋,28户
海南政法职业学院,(琼山凤翔)新大洲大道280号,10434,板楼,1元/平米/月,海南三友物业公司,暂无信息,3栋,29户
亚东公寓,(美兰和平南)文明东路52号,11264,塔楼,0.9元/平米/月,业主自筹物业,暂无信息,1栋,48户
学苑公寓,(琼山国兴)文坛路2号,11639,塔楼,1.5元/平米/月,暂无信息,海南正元地产开发有限公司,5栋,208户
海汽物业小区,"(美兰国兴)海府路81-32号, 海府路81号",11436,板楼,1.5元/平米/月,海南安逸物业管理有限公司,暂无信息,4栋,29户
