小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
于家小区,(桓台县桓台县)桓台大道于家小区,3859,板楼,0.3元/平米/月,暂无信息, 西安保亿名卓置业有限公司,20栋,641户
黄河路131号院,(高青县高青县)黄河路131号,3397,塔板结合,0.36元/平米/月,暂无信息,暂无信息,5栋,162户
农机小区,(桓台县桓台县)槐荫路农机小区,3829,塔板结合,0.18元/平米/月,暂无信息,暂无信息,1栋,72户
玉腾鱼苑,(桓台县桓台县)槐荫路1313号,3810,板楼/塔板结合,0.1至0.5元/平米/月,暂无信息,未知,3栋,180户
顺河家园,(桓台县桓台县)索镇大街顺河家园,3792,塔楼/板楼/塔板结合,0.1至0.4元/平米/月,暂无信息,淄博亚太置业有限公司,8栋,189户
花园小区(桓台县),(桓台县桓台县)渔洋街花园小区(桓台县),3811,板楼,0.2至0.5元/平米/月,淄博旭阳物业管理有限公司,淄博宝龙房地产开发有限公司,29栋,620户
金杏丽园,(张店区张店区)杏园东路南街4号,2507,塔板结合,0.55元/平米/月,无物业,暂无信息,4栋,333户
太平锦绣花园,(桓台县桓台县)三赢路太平锦绣花园,3890,未知类型,暂无信息,暂无信息,暂无信息,10栋,632户
房家村一区,(张店区张店区)王舍路房家村一区,2780,塔楼/板楼,0.3至1.2元/平米/月,龙御物业, 重庆桥达茂宸房地产开发有限公司,32栋,1100户
侨牌家园,(高青县高青县)大悦路侨牌家园,3055,板楼,0.3元/平米/月,暂无信息,中农置业淄博有限公司,2栋,182户
润泽园(张店区),(张店区张店区)四宝山街道办事处榆林村,2395,未知类型,暂无信息,暂无信息,暂无信息,17栋,744户
电厂生活区,(张店区张店区)济青路25号,3815,塔楼/板楼,0.5元/平米/月,暂无信息,暂无信息,14栋,590户
南定工业路,(张店区张店区)张店区南定工业路,3856,板楼,暂无信息,绿源物业,暂无信息,1栋,2户
洪山大街,(淄川区淄川区)洪山大街,3245,板楼,暂无信息,暂无信息,暂无信息,12栋,257户
皮革厂南宿舍,(桓台县桓台县)建设街1666号,3484,板楼,暂无信息,暂无信息,暂无信息,3栋,100户
曹一生活区,(张店区张店区)高新区四宝山镇,3216,未知类型,暂无信息,暂无信息,暂无信息,12栋,364户
方大西区,(淄川区淄川区)淄矿北路方大西区,3079,板楼,暂无信息,暂无信息,暂无信息,9栋,149户
顺意佳苑,(桓台县桓台县)中心大街3602号,3425,未知类型,暂无信息,暂无信息,暂无信息,3栋,112户
天晟社区,(淄川区淄川区)泰山瓷业路天晟社区,2201,未知类型,暂无信息,暂无信息,暂无信息,7栋,48户
洪五生活区,(淄川区淄川区)231省道洪五生活区,2508,未知类型,暂无信息,暂无信息,暂无信息,5栋,101户
松龄西路155号,(淄川区淄川区)松龄西路155号,3704,板楼,暂无信息,暂无信息,暂无信息,1栋,40户
服装城宿舍,(淄川区淄川区)留仙湖路服装城宿舍,2890,未知类型,暂无信息,暂无信息,暂无信息,1栋,60户
洪沟路2甲19号,"(张店区张店区)洪沟路2甲19号,洪沟路2甲20号",3554,未知类型,暂无信息,暂无信息,暂无信息,1栋,45户
山泉小区街东,(张店区张店区)紫荆路山泉小区街东,3618,板楼/平房,0.5元/平米/月,暂无信息,暂无信息,16栋,637户
棉麻公司,(高青县高青县)青苑路棉麻公司,3740,塔板结合,0.36元/平米/月,暂无信息,高青县兴隆房地产开发有限公司,2栋,56户
华洋街华康巷,(淄川区淄川区)华洋街华康巷9号,3849,板楼/塔板结合,0.2至0.35元/平米/月,华洋物业,暂无信息,6栋,186户
银座芳邻青年公寓,(张店区张店区)张辛西街1号,3894,未知类型,暂无信息,暂无信息,暂无信息,3栋,116户
马庄生活区,(张店区张店区)民祥路马庄生活区,2990,未知类型,暂无信息,暂无信息,暂无信息,10栋,381户
黄家佳园新民居,(桓台县桓台县)振兴路黄家佳园新民居,2321,板楼,暂无信息,暂无信息,暂无信息,8栋,173户
物价局计划委小区,(高青县高青县)黄河路物价局计划委小区,3173,板楼,0.25元/平米/月,淄博安然物业管理有限公司,暂无信息,4栋,80户
留仙湖路文化宫东巷,(淄川区淄川区)留仙湖路文化宫东巷,3617,板楼,0.3至0.5元/平米/月,金梁城建,单位自建,7栋,350户
高青县一中住宅楼,(高青县高青县)齐东路25号院,3705,塔楼/板楼,0.5元/平米/月,淄博安然物业管理有限公司,高青县兴隆房地产开发有限公司,2栋,75户
报恩寺街,(博山区博山区)中心路报恩寺街,3004,未知类型,暂无信息,暂无信息,暂无信息,29栋,1091户
凤凰花苑,(博山区博山区)泉水路20号,3684,板楼,暂无信息,暂无信息,暂无信息,9栋,252户
文姜东苑二号院,(博山区博山区)秋泉路文姜东苑二号院,3075,未知类型,暂无信息,暂无信息,暂无信息,3栋,144户
团山小苑,(博山区博山区)土门头路60号,3197,未知类型,暂无信息,暂无信息,暂无信息,8栋,223户
晨旭花园,(淄川区淄川区)三里沟顺河街北晨旭花园,3766,板楼,暂无信息,暂无信息,暂无信息,12栋,672户
高家村华福家园,(张店区张店区)华福大道高家村华福家园,3728,塔板结合,0.3元/平米/月,龙御物业, 重庆汇东房地产开发有限公司,25栋,1050户
圣樵康居,(淄川区淄川区)松龄西路163号,4395,板楼,暂无信息,将军路街道办事处,暂无信息,6栋,288户
活塞厂家属院,(高青县高青县)黄河路17号,3888,板楼,0.25至0.3元/平米/月,暂无信息,高青国盛房地产开发有限公司,4栋,116户
公义社区,(淄川区淄川区)大钟街公义社区,3883,板楼/塔板结合,暂无信息,公义村物业,金城集团,24栋,799户
高青县中医院住宅楼,(高青县高青县)田横路39号,3693,板楼,0.3元/平米/月,淄博安然物业管理有限公司,暂无信息,2栋,39户
水岸华城,(淄川区淄川区)晟地路水岸华城,3573,板楼,暂无信息,无物业,暂无信息,18栋,806户
阳光龙庭,(淄川区淄川区)泰山瓷业路阳光龙庭,3008,板楼,0.35至0.4元/平米/月,无物业,暂无信息,8栋,320户
四中宿舍楼,(高青县高青县)唐北路四中宿舍楼,3594,板楼,0.3元/平米/月,暂无信息,暂无信息,2栋,75户
南苑花园,(张店区张店区)湖光路南苑花园,3720,板楼,0.1元/平米/月,暂无信息,暂无信息,7栋,172户
朱家花园,(淄川区淄川区)三里沟大街朱家花园,3617,板楼,暂无信息,暂无信息,暂无信息,9栋,410户
高青兴隆花园西院,(高青县高青县)兴隆路高青兴隆花园西院,当前网页找不到元素（价格）,板楼,0.25元/平米/月,淄博安然物业管理有限公司,暂无信息,2栋,40户
天晟公司住宅楼,(淄川区淄川区)泰山瓷业路天晟公司住宅楼,2588,板楼,0.2至0.3元/平米/月,无物业,暂无信息,21栋,491户
物价局计划委小区,(高青县高青县)黄河路物价局计划委小区,3173,板楼,0.25元/平米/月,淄博安然物业管理有限公司,暂无信息,4栋,80户
高青县第二中学宿舍楼,(高青县高青县)文化路高青县第二中学宿舍楼,3742,未知类型,暂无信息,暂无信息,暂无信息,3栋,133户
百花苑小区,(桓台县桓台县)中和街百花苑小区,3599,未知类型,暂无信息,暂无信息,暂无信息,23栋,646户
银座芳邻青年公寓,(张店区张店区)张辛西街1号,3894,未知类型,暂无信息,暂无信息,暂无信息,3栋,116户
物资小区,(桓台县桓台县)建设街1906号,2456,板楼,0.2元/平米/月,暂无信息,暂无信息,5栋,105户
北关交警队宿舍,(淄川区淄川区)张博路北关交警队宿舍,3803,未知类型,暂无信息,暂无信息,暂无信息,4栋,84户
老一中宿舍,(桓台县桓台县)索镇大街1513号,3193,未知类型,暂无信息,暂无信息,暂无信息,8栋,146户
华洋街华康巷,(淄川区淄川区)华洋街华康巷9号,3849,板楼/塔板结合,0.2至0.35元/平米/月,华洋物业,暂无信息,6栋,186户
马庄生活区,(张店区张店区)民祥路马庄生活区,2990,未知类型,暂无信息,暂无信息,暂无信息,10栋,381户
福瑞家园(马南路),(张店区张店区)马南路福瑞家园,3537,未知类型,暂无信息,暂无信息,暂无信息,33栋,1044户
坤升社区,(张店区张店区)山泉路249号,3889,板楼,0.3元/平米/月,暂无信息,暂无信息,28栋,895户
大徐·颐滨小区,(张店区张店区)西十路大徐·颐滨小区,2465,未知类型,暂无信息,暂无信息,暂无信息,10栋,349户
建设街,(淄川区淄川区)建设街,3650,板楼,暂无信息,暂无信息,暂无信息,10栋,366户
吉光社区,(博山区博山区)水河北路6号,2949,未知类型,暂无信息,淄博吉光物业管理有限公司,暂无信息,11栋,371户
五里小区西区,(桓台县桓台县)少海路五里小区西区,2733,板楼/塔板结合,0.1元/平米/月,暂无信息,上海五里置业有限公司 ,22栋,724户
涧北二街生活区,(淄川区淄川区)涧北二街生活区,2606,板楼,暂无信息,暂无信息,暂无信息,8栋,220户
北岭小区,(博山区博山区)五岭路9号,2997,平房,暂无信息,暂无信息,暂无信息,28栋,1182户
洪山聊斋路562号,(淄川区淄川区)洪山聊斋路562号,2769,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
湖田华光小区,(张店区张店区)山东省淄博市张店区杏园街道湖罗路14号华光生活区,2959,平房,1元/平米/月,暂无信息,暂无信息,5栋,9户
