小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
钵池小区,(清江浦区迎宾大道)汕头路钵池小区,7334,塔楼/板楼/塔板结合,1至1.5元/平米/月,深圳市福田物业发展有限公司淮安分公司,开天集团,91栋,4276户
黄元小区,(清江浦区白鹭湖)深圳东路黄元小区,6991,塔楼/板楼/塔板结合,0.5至10元/平米/月,暂无信息,暂无信息,73栋,2981户
新区花园,(淮安区新城市广场)边寿民路44号,7595,塔板结合,0.5至1.1元/平米/月,暂无信息,暂无信息,68栋,2054户
化工二村,(清江浦区淮阴卷烟厂)解放西路化工二村,7254,板楼/平房,0.3至11元/平米/月,清河县富豪物业服务有限公司,暂无信息,50栋,1597户
桃李花园,(淮阴区小营)长江路桃李花园,7208,塔板结合/平房,0.4至1.5元/平米/月,暂无信息,暂无信息,42栋,1308户
化工新村二区,(清江浦区淮阴卷烟厂)城西路化工新村二区,7310,板楼,暂无信息,暂无信息,暂无信息,10栋,385户
金凤新村1区,(清江浦区淮阴卷烟厂)延安西路金凤新村1区,6957,板楼/塔板结合,1元/平米/月,浙江绿升物业鼓舞有限公司淮安分公司,金辉地产,3栋,81户
邮电局宿舍,(清江浦区外国语)健康西路154号,4608,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,35户
东城美居,(淮阴区长江东路)苏三零九省道东城美居,4885,塔板结合,2元/平米/月,暂无信息,暂无信息,31栋,302户
轻纺家园,(淮阴区小营)北京北路轻纺家园,6294,塔楼,0.6至10元/平米/月,淮安市精通物业服务有限公司,镇江轻纺城置业有限公司,6栋,145户
怡和家园,(盱眙县盱眙县)淮河东路83号,5350,未知类型,暂无信息,暂无信息,暂无信息,8栋,278户
淮河人家,(盱眙县盱眙县)淮河北路淮河人家,4333,未知类型,暂无信息,暂无信息,暂无信息,2栋,132户
融汇公寓,(盱眙县盱眙县)洪武大道16号,7500,未知类型,暂无信息,暂无信息,暂无信息,3栋,121户
香格里拉新龙城,(盱眙县盱眙县)东方大道6号,6396,未知类型,暂无信息,暂无信息,暂无信息,13栋,724户
东方名郡,(盱眙县盱眙县)东方大道9-1号,4973,未知类型,暂无信息,暂无信息,暂无信息,7栋,338户
惠源居,(盱眙县盱眙县)淮河南路100号,5692,未知类型,暂无信息,暂无信息,暂无信息,46栋,1454户
大明学府,(盱眙县盱眙县)宣化街19号,6297,未知类型,暂无信息,暂无信息,暂无信息,15栋,502户
东方新城,(盱眙县盱眙县)铁山路8号,5941,未知类型,暂无信息,暂无信息,暂无信息,2栋,49户
健力铭都,(盱眙县盱眙县)天泉路1号,7743,未知类型,暂无信息,暂无信息,暂无信息,15栋,607户
东湖小区,(盱眙县盱眙县)东湖东路70号,7231,未知类型,暂无信息,暂无信息,暂无信息,6栋,228户
东城国际(盱眙县),(盱眙县盱眙县)山水大道东城国际,7055,未知类型,暂无信息,暂无信息,暂无信息,14栋,816户
富润花园东区,(盱眙县盱眙县)东湖西路富润花园东区,6174,未知类型,暂无信息,暂无信息,暂无信息,1栋,108户
东城新天地,(清江浦区白鹭湖)鸿海路北路6号,7213,未知类型,暂无信息,暂无信息,暂无信息,2栋,3户
徐杨花园,(清江浦区白鹭湖)安澜北路徐杨花园,6059,未知类型,暂无信息,暂无信息,暂无信息,18栋,517户
砖井花园,(清江浦区白鹭湖)宏恒胜路8号,6056,未知类型,暂无信息,暂无信息,暂无信息,15栋,516户
金色港湾,(涟水县涟水县)红日大道金色港湾,7005,未知类型,暂无信息,暂无信息,暂无信息,28栋,1955户
国税局宿舍,(淮安区金地商业广场)北门大街国税局宿舍,6817,塔板结合,0.5元/平米/月,暂无信息,暂无信息,4栋,156户
西法庭宿舍,(清江浦区外国语)学院路39号,7522,板楼,暂无信息,淮安万达广场物业管理公司,万达集团,1栋,36户
国际商城,(淮安区生态新城)翔宇大道,7582,塔楼/板楼/塔板结合,0.45至1.5元/平米/月,暂无信息,淮安国华置业发展有限公司,17栋,27户
九龙湖花园,(清江浦区大学城商圈)明远路28号,7220,塔板结合,1.5元/平米/月,暂无信息,中银汇润置业有限公司,61栋,2041户
惠源居,(盱眙县盱眙县)淮河南路100号,5692,未知类型,暂无信息,暂无信息,暂无信息,46栋,1454户
淮河人家,(盱眙县盱眙县)淮河北路淮河人家,4333,未知类型,暂无信息,暂无信息,暂无信息,2栋,132户
东湖小区,(盱眙县盱眙县)东湖东路70号,7231,未知类型,暂无信息,暂无信息,暂无信息,6栋,228户
东方新城,(盱眙县盱眙县)铁山路8号,5941,未知类型,暂无信息,暂无信息,暂无信息,2栋,49户
健力铭都,(盱眙县盱眙县)天泉路1号,7743,未知类型,暂无信息,暂无信息,暂无信息,15栋,607户
龙泉雅苑,(盱眙县盱眙县)金源南路128号,6429,未知类型,暂无信息,暂无信息,暂无信息,16栋,665户
炎黄国际花园,(涟水县涟水县)炎黄大道炎黄国际花园,6292,塔板结合,暂无信息,暂无信息,暂无信息,23栋,1036户
薛行安置小区,(涟水县涟水县)金城路薛行安置小区,2641,塔楼,1.2元/平米/月,暂无信息,上海三奇置业发展有限公司,13栋,457户
银杏花园,(涟水县涟水县)郑梁梅大道22号,6239,板楼/塔板结合,0.6至1.25元/平米/月,淮安中天物业,上海西上海上食科技发展有限公司,12栋,361户
