小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
吉信大厦,(龙岗区布吉街)振兴大道15号,27000,1998年建成 ,板楼,2.75至5元/平米/月,帝庭峰物业管理有限公司,盛世房地产开发（深圳）有限公司,4栋,1134户
缤纷世纪,(龙岗区龙岗中心城)晨光路99号,26403,2010年建成 ,塔板结合,2.6元/平米/月,前海物业管理有限公司,深圳市金海港房地产有限公司,2栋,700户
龙光玖云著,(坪山区坪山)坪山新区中山大道与振环路交汇处,33000,2011年建成 ,板楼/塔板结合,4.98元/平米/月,广东龙光集团物业管理有限公司,深圳市龙光房地产有限公司,4栋,2835户
丹梓龙庭,(坪山区坪山)丹梓中路（聚龙山公园北侧）,20000,2012年建成 ,板楼,2.7元/平米/月,深圳市彩生活物业管理有限公司,深圳市华明辉置业有限公司,4栋,571户
恒丰工业城,(宝安区曦城)洲石路739号,30017,1993年建成 ,板楼/塔板结合,3.5元/平米/月,深圳市恒丰物业管理有限公司,深圳市恒丰浩森房地产有限公司,16栋,1320户
龙富花园(龙富路),(龙岗区龙岗中心城)中心城龙富路5号,26000,1994年建成 ,板楼,0.68至0.8元/平米/月,深圳市德美物业管理有限公司,深圳市龙联达实业股份有限公司,12栋,572户
坪山首座,(坪山区坪山)深圳市坪山新区横坪路汤坑小学旁,21000,1999年建成 ,塔楼/塔板结合,2.4至3.6元/平米/月,无物业管理服务,深圳市城市建设开发（集团）公司,6栋,506户
奥园峯荟,(光明区公明)光明新区公明街道南环大道与振兴路交汇处,27491,2013年建成 ,塔楼/板楼/平房,4.5至5.5元/平米/月,深圳华中物业管理有限公司,深圳市秋铭投资发展有限公司,4栋,2475户
深业沙河U中心,"(宝安区曦城)洲石路739, 洲石路743号",30888,2015年建成 ,板楼/塔板结合,6.5元/平米/月,深圳市沙河物业管理有限公司,深业集团,3栋,955户
东津名座,(坪山区坪山)比亚迪路1号,20000,2010年建成 ,塔楼,2.5元/平米/月,广东乐安居物业管理有限公司,深圳市乐安居实业发展有限公司,2栋,336户
恒通工业城,(龙岗区布吉街)吉华路280号,18388,1993年建成 ,塔板结合/平房,1.5至2元/平米/月,康达尔物业管理有限公司,恒通泛地产开发,5栋,321户
怡心广场,(龙岗区坪地)龙岗区坪地镇十八小区,21800,暂无信息 ,板楼,1.2元/平米/月,暂无信息,暂无信息,1栋,2户
启点公寓,(龙华区观澜)隆添利商业街,21310,1994年建成 ,塔楼/塔板结合,1.3元/平米/月,深圳点金物业管理有限公司,合景泰富地产控股有限公司,2栋,1835户
