小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
汇丰小区,(乐清市乐成区)宋湖路11号,5569,板楼,暂无信息,暂无信息,暂无信息,2栋,49户
坝头村,(乐清市)宁康东路坝头村,4709,未知类型,暂无信息,暂无信息,暂无信息,2栋,21户
寺西玉兰花园,(乐清市虹桥)富康东路88号,6629,未知类型,暂无信息,暂无信息,暂无信息,5栋,400户
樟湾新村,(乐清市城南区)象塔北路66号,6346,塔板结合,暂无信息,暂无信息,暂无信息,8栋,427户
绿城小区,(乐清市城东区)文明中路绿城小区,5995,板楼/平房,暂无信息,暂无信息,暂无信息,4栋,160户
欧福雅苑,(乐清市柳市)兴华东路欧福雅苑,6648,板楼/塔板结合,0.46至1.8元/平米/月,暂无信息,暂无信息,8栋,452户
伟光锦苑,(乐清市柳市)伟光路伟光锦苑,5276,未知类型,暂无信息,暂无信息,暂无信息,2栋,56户
佳乐公寓,(乐清市柳市)柳翁西路171号,5297,平房,暂无信息,暂无信息,暂无信息,2栋,56户
宋湖花园,(乐清市乐成区)宁康西路宋湖花园,5862,塔板结合,暂无信息,暂无信息,暂无信息,4栋,98户
乐湖花苑,(乐清市乐成区)乐湖路65号,7257,板楼/塔板结合,1至1.5元/平米/月,乐清市清厦物业管理有限公司,暂无信息,10栋,246户
丹霞一区,(乐清市乐成区)丹霞路255号,6049,板楼/塔板结合/平房,0.5元/平米/月,暂无信息,暂无信息,8栋,207户
西新苑,(乐清市乐成区)城西路207号,4527,未知类型,暂无信息,暂无信息,暂无信息,1栋,9户
绿园,(乐清市乐成区)乐西路89号,5565,塔板结合,暂无信息,暂无信息,暂无信息,2栋,48户
丽景花苑(平阳县),(平阳县昆阳)泰丰路66号,6028,未知类型,暂无信息,暂无信息,暂无信息,9栋,250户
联东花苑小区,(平阳县昆阳)联东路290号,4726,未知类型,暂无信息,暂无信息,暂无信息,5栋,156户
金山花苑,(平阳县鳌江)金鳌路100号,6300,未知类型,暂无信息,暂无信息,暂无信息,2栋,72户
国土公寓,(平阳县鳌江)柳浪街108号,6630,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
龙海花园,(龙港市龙港)龙宁路龙海花园,7028,未知类型,暂无信息,暂无信息,暂无信息,2栋,66户
兴鳌公寓,(平阳县鳌江)柳王路兴鳌公寓,6573,塔板结合,暂无信息,暂无信息,暂无信息,1栋,28户
西二公寓,(龙港市龙港)龙港大道西二公寓,5547,平房,暂无信息,暂无信息,暂无信息,3栋,119户
鳌江玫瑰丽园小区,(平阳县鳌江)兴鳌西路鳌江玫瑰丽园小区,4943,未知类型,暂无信息,暂无信息,暂无信息,2栋,37户
古鳌第一小区,(平阳县鳌江)新河南路古鳌第一小区,7067,未知类型,暂无信息,暂无信息,暂无信息,2栋,108户
金融大厦,(龙港市龙港)龙港大道188号,7811,未知类型,暂无信息,暂无信息,暂无信息,1栋,120户
兴鳌小区,(平阳县鳌江)通莲路88号,3899,塔板结合,暂无信息,暂无信息,暂无信息,4栋,166户
兴鳌花苑,(平阳县鳌江)兴鳌中路582号,5366,板楼,1元/平米/月,暂无信息,暂无信息,4栋,122户
古鳌中心小区,(平阳县鳌江)新河南路古鳌中心小区,5006,未知类型,暂无信息,暂无信息,暂无信息,6栋,218户
曙东新村,(平阳县鳌江)黎明路曙东新村,6886,未知类型,暂无信息,暂无信息,暂无信息,8栋,195户
鼎盛花苑,(平阳县鳌江)浦发路88-90号,6034,未知类型,暂无信息,暂无信息,暂无信息,7栋,241户
利德公寓,(平阳县鳌江)果市街12号,6861,未知类型,暂无信息,暂无信息,暂无信息,4栋,335户
望北公寓,(苍南县苍南县)望鹤北路148号,3850,板楼,暂无信息,暂无信息,暂无信息,2栋,28户
富泉花苑,(瑞安市安阳)富民北路富泉花苑,6024,未知类型,暂无信息,暂无信息,暂无信息,4栋,108户
镇鑫大厦,(瑞安市安阳)镇府路452号,5006,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
望北公寓,(苍南县苍南县)望鹤北路148号,3850,板楼,暂无信息,暂无信息,暂无信息,2栋,28户
风华小区,(苍南县苍南县)韩兴路96号,3892,板楼,暂无信息,暂无信息,暂无信息,10栋,352户
金丰公寓,(苍南县苍南县)望鹤北路金丰公寓,7329,未知类型,暂无信息,暂无信息,暂无信息,2栋,56户
联东花苑小区,(平阳县昆阳)联东路290号,4726,未知类型,暂无信息,暂无信息,暂无信息,5栋,156户
前宕名苑,(平阳县昆阳)联东北路前宕名苑,6505,未知类型,暂无信息,暂无信息,暂无信息,6栋,526户
民丰小区(平阳县),(平阳县昆阳)城水路民丰小区,4558,未知类型,暂无信息,暂无信息,暂无信息,5栋,140户
万顺家园,(平阳县平阳县)振兴西路万顺家园,6848,未知类型,暂无信息,暂无信息,暂无信息,34栋,1120户
丽景花苑(平阳县),(平阳县昆阳)泰丰路66号,6028,未知类型,暂无信息,暂无信息,暂无信息,9栋,250户
海港新村,(龙港市龙港)洪口路海港新村,5440,未知类型,暂无信息,暂无信息,暂无信息,8栋,170户
锦都花园,(龙港市龙港)上厂街108号,5956,平房,暂无信息,暂无信息,暂无信息,2栋,25户
龙湖小区,(龙港市龙港)龙湖路550号,4984,平房,暂无信息,暂无信息,暂无信息,8栋,360户
瓯南家园,(瓯海区南湖)教导路3号,5682,塔板结合,暂无信息,暂无信息,暂无信息,3栋,184户
霞金嘉园,(瓯海区雄溪)温丽高速霞金嘉园小区,5137,塔楼,0.5元/平米/月,暂无信息,暂无信息,7栋,353户
双凤住宅区,(瓯海区蟠凤)潘凤北路116号,7134,板楼,0.3元/平米/月,浙江信德物业管理有限公司,暂无信息,40栋,1157户
盛兴路,(乐清市乐成区)盛兴路,7431,未知类型,暂无信息,暂无信息,暂无信息,2栋,11户
山前花园,(乐清市乐成区)城西路山前花园,4740,板楼,暂无信息,暂无信息,暂无信息,1栋,29户
乐怡路189号,(乐清市乐成区)乐怡路189号,5582,塔板结合,暂无信息,暂无信息,暂无信息,1栋,10户
乐新小区,(乐清市乐成区)乐湖路乐新小区,6891,平房,暂无信息,暂无信息,暂无信息,6栋,88户
