小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
兴宇公寓,(长兴县长兴县)长海路321号,7212,塔板结合,2元/平米/月,暂无信息,上海兴宇企业集团,1栋,30户
山水苑,(长兴县长兴县)草槐路山水苑,4345,塔板结合,暂无信息,暂无信息, 大理耀鹏房地产开发有限责任公司,3栋,120户
银景花园,(安吉县安吉县)胜利东路银景花园,7255,未知类型,暂无信息,暂无信息,暂无信息,64栋,64户
平安小区,(长兴县长兴县)车站东路86-88号,6513,塔板结合,0.5元/平米/月,无物业公司, 重庆桥达茂宸房地产开发有限公司,35栋,231户
鑫城绿苑,(长兴县长兴县)宜安路338号,6267,塔楼,暂无信息,未知,浙江大宋房地产开发有限公司,27栋,356户
香樟苑,(长兴县长兴县)浙皖大道970号,6628,板楼/塔板结合,暂无信息,暂无信息,绿城集团,21栋,385户
华兴苑,(长兴县长兴县)永兴路华兴苑,5823,未知类型,暂无信息,暂无信息,暂无信息,7栋,113户
长兴铁鹰小区,(长兴县长兴县)车站西路121号,7580,塔楼,1.35元/平米/月,暂无信息, 五指山水墨雨林置业有限公司,9栋,185户
康城华府,(长兴县长兴县)宜安路518号,2982,塔楼,暂无信息,无物业公司,"""浙江富园房地产开发有限公司",7栋,252户
长广小区西区,(长兴县长兴县)车站西路156号,7673,塔板结合,暂无信息,暂无信息,浙江长兴港龙置业有限公司,12栋,546户
海陆新都汇,(长兴县长兴县)长城路海陆新都汇,7003,塔板结合,0.7元/平米/月,暂无信息,华升建设集团浙江置业投资股份有限公司,16栋,276户
玫瑰苑,(吴兴区东部新城)戴山路玫瑰苑,7009,未知类型,暂无信息,暂无信息,暂无信息,69栋,1300户
洪桥馨苑西区,(长兴县长兴县)洪长路洪桥馨苑西区,7160,板楼,暂无信息,暂无信息,长兴宏莲房产开发有限公司,17栋,300户
丹桂公寓,"(长兴县长兴县)和广场108109号,兴和广场108109,安东路丹桂公寓",5537,板楼,1元/平米/月,名鸿物业,佛山市南海区丹桂房地产开发有限公司,13栋,256户
宜安公寓,(长兴县长兴县)三贞路宜安公寓,5483,未知类型,暂无信息,暂无信息,暂无信息,11栋,190户
之江花园,(南浔区南浔区)常增路85号,6923,塔楼,1.6元/平米/月,湖州经典物业管理有限公司,湖州越球置业有限公司,4栋,93户
凯旋小区,(吴兴区织里镇)振兴路凯旋小区,7696,塔板结合,暂无信息,暂无信息,暂无信息,8栋,103户
七里亭佳苑,(吴兴区西南分区)七里亭路七里亭佳苑,7581,板楼/塔板结合,0.8元/平米/月,暂无信息,"""温州泛太置业有限公司",43栋,1583户
阳光小区,(安吉县安吉县)天荒坪中路阳光小区,7706,未知类型,暂无信息,暂无信息,暂无信息,3栋,36户
天启铭楼,(安吉县安吉县)胜利东路199号,6745,未知类型,暂无信息,暂无信息,暂无信息,1栋,180户
八里店社区桂花苑,(吴兴区东部新城)八里店社区桂花苑,6109,未知类型,暂无信息,暂无信息,暂无信息,82栋,1592户
湖申小区,(吴兴区织里镇)为民路78号,7588,未知类型,暂无信息,暂无信息,暂无信息,9栋,143户
兴龙之城,(安吉县安吉县)塘浦大道兴龙之城,7609,板楼,0.7元/平米/月,暂无信息,无开发商,5栋,305户
禾旭铭苑,(南浔区南浔区)湖州南浔石淙镇,6527,板楼,1.75元/平米/月,暂无信息,暂无信息,11栋,16户
织里中心花园,(吴兴区织里镇)康泰路织里中心花园,7745,未知类型,暂无信息,暂无信息,暂无信息,8栋,194户
