小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
农资宿舍,(遂溪县遂溪县)建设路五横巷农资宿,2647,板楼,暂无信息,暂无信息,暂无信息,1栋,24户
中山一路18号,(赤坎区百园片区)中山一路18号,3745,平房,4元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,1栋,63户
友谊小区(遂溪县),(遂溪县遂溪县)遂溪新风路50号,3036,塔板结合,0.5至1元/平米/月,暂无信息,暂无信息,4栋,98户
家利花苑,(遂溪县遂溪县)运河东路家利花苑,3199,板楼,暂无信息,暂无信息,暂无信息,6栋,80户
文明路安居小区,(遂溪县遂溪县)湛川路15号,3281,未知类型,暂无信息,暂无信息,暂无信息,5栋,118户
安达利,(遂溪县遂溪县)府前路十一横安达利,3175,塔楼/板楼/塔板结合,1元/平米/月,暂无信息,暂无信息,8栋,144户
恒苑小区,(遂溪县遂溪县)湛川路一横5号,3068,未知类型,暂无信息,暂无信息,暂无信息,4栋,100户
四小教师宿舍,(遂溪县遂溪县)府前路48号,3381,板楼,0.5元/平米/月,暂无信息,暂无信息,5栋,80户
新泰房地产,(遂溪县遂溪县)河东路新泰房地产,2503,板楼,暂无信息,暂无信息,暂无信息,4栋,80户
农工商总公司宿舍,(遂溪县遂溪县)新风路农工商总公司宿舍,3341,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,62户
河滨公寓,(遂溪县遂溪县)湛川路河滨公寓,2808,板楼,1元/平米/月,暂无信息,暂无信息,7栋,409户
南雅小区,(遂溪县遂溪县)湛川一横路6号,2050,塔楼/塔板结合,暂无信息,暂无信息,暂无信息,3栋,54户
城北街2号,(遂溪县遂溪县)城北街2号,3176,板楼,暂无信息,暂无信息,暂无信息,12栋,213户
环保局宿舍,(遂溪县遂溪县)新风路环保局宿舍,3028,平房,暂无信息,暂无信息,暂无信息,1栋,18户
财政局宿舍,(遂溪县遂溪县)河滨路财政局宿舍,2451,板楼,0.5元/平米/月,暂无信息,暂无信息,3栋,42户
人民银行宿舍,(遂溪县遂溪县)人民路23号,2813,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,32户
