小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
海湾太武城二期,(漳州港港尾镇)201省道海湾太武城二期,7014,板楼/塔板结合,1.6至1.98元/平米/月,暂无信息,漳州市德友盛房地产开发有限公司,5栋,633户
静海湾,(漳州港南滨大道)南滨大道静海湾,7481,板楼,1.3至2.8元/平米/月,福建百润物业管理有限公司,漳州汇众房地产开发有限公司,23栋,1378户
广华新村,"(芗城区一七五)光北路40号,元光北路38号",6761,板楼,0.5元/平米/月,0,建发房产,10栋,261户
橄榄绿洲小区,(芗城区金峰)胜利西路314号,6806,塔板结合,0.5至1元/平米/月,暂无信息,北京橄榄置业有限公司,3栋,239户
晟水名都,(南靖县南靖县)南靖县山城镇锦绣路,7500,塔板结合/平房,1.2至1.98元/平米/月,暂无信息,暂无信息,12栋,22户
华山路9号员工住宅楼,(漳州港招商大道)华山路9号,5939,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,112户
樟山花园,(龙文区蓝田宝龙商圈)九龙大道樟山花园,6126,板楼,暂无信息,暂无信息,暂无信息,2栋,50户
红旗新村,(芗城区一七五)北环城路999号,5492,板楼,0.5元/平米/月,暂无信息,A8音乐电媒控股有限公司,15栋,443户
人民里25号,(芗城区中医院)人民里25号,7802,板楼,0.5元/平米/月,暂无信息,暂无信息,4栋,151户
宏泰公寓,(角美台商投资区角美台商投资区)仁和西路2号,7318,板楼,0.85元/平米/月,暂无信息,暂无信息,1栋,33户
侨兴公寓,(角美台商投资区角美台商投资区)角海路侨兴公寓,7774,塔楼,0.5元/平米/月,暂无信息,广州珠江冶炼厂,3栋,46户
阳光公寓,(角美台商投资区角美台商投资区)角美开发区中闽大道64号,7129,板楼,1.6元/平米/月,漳州恒基发展有限公司,暂无信息,3栋,26户
市计量局宿舍,(芗城区市政府)胜利西路市计量局宿舍,7375,平房,暂无信息,暂无信息,暂无信息,2栋,21户
广益公寓,(漳浦县漳浦江滨)龙湖大道广益公寓,4213,平房,暂无信息,暂无信息,暂无信息,2栋,57户
中心花园,(漳浦县府前)朝阳路125号,4341,板楼,1元/平米/月,暂无信息,暂无信息,2栋,32户
阳光龙泉,(漳浦县漳浦城北)金浦路4-1号,4592,未知类型,暂无信息,暂无信息,暂无信息,7栋,194户
盛泰轩,(长泰区长泰县)银塘路158号,6741,未知类型,暂无信息,暂无信息,暂无信息,6栋,467户
天启花园,(芗城区石码镇)大桥头路天启花园,7577,板楼,0.6元/平米/月,暂无信息,暂无信息,1栋,20户
