小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金融服务中心,(奎文区金融街)胜利东街金融服务中心,3823,塔楼,1.4至2.9元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,5栋,2369户
联盟西院,(寿光市寿光市)晨鸣路2967号,2984,板楼,0.4元/平米/月,暂无信息,寿光金鼎置业有限公司,9栋,384户
五金公司家属院,(寿光市寿光市)新兴街五金公司家属院,3692,板楼,0.4至0.45元/平米/月,寿光市宏顺物业有限责任公司,寿光卫东置业有限公司,3栋,74户
金融小区,(寿光市寿光市)金光街4500号,3370,未知类型,暂无信息,暂无信息,暂无信息,4栋,120户
石油公司家属院,(寿光市寿光市)文圣街石油公司家属院,3575,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,48户
潍坊豪德贸易广场,(潍城区豪德广场)工业四街潍坊豪德贸易广场,3265,板楼,0.6元/平米/月,单位自管物业,潍坊水清木华置业有限公司,7栋,207户
铝箔纸厂新宿舍楼,(青州市青州市)青州中路7号,3897,未知类型,暂无信息,暂无信息,暂无信息,1栋,80户
三合村小区,(安丘市安丘市)青山云路三合村小区,3376,未知类型,暂无信息,暂无信息,暂无信息,9栋,438户
储运公司住宅,(寿光市寿光市)清河路58号,2408,未知类型,暂无信息,暂无信息,暂无信息,2栋,52户
炼油厂家属院小区,(寿光市寿光市)金光西街1109号,2307,板楼,暂无信息,暂无信息,暂无信息,2栋,72户
气象局家属院,(寿光市寿光市)文圣街5216号,3814,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
尧盛家园,(寿光市寿光市)黄海北路尧盛家园,2913,板楼,暂无信息,暂无信息,暂无信息,12栋,362户
寿光市锦都花园,(寿光市寿光市)文圣街寿光市锦都花园,3188,板楼,0.5元/平米/月,暂无信息,暂无信息,19栋,667户
福州花园,(昌乐县昌乐县)恒安街福州花园,3717,未知类型,暂无信息,暂无信息,暂无信息,6栋,45户
检察院家属院,(寿光市寿光市)金光街139号,2201,板楼,0.4元/平米/月,寿光市伊美物业服务有限公司,寿光宏安置业有限公司,2栋,54户
粮食局小区,(寿光市寿光市)公园街99号,3626,未知类型,暂无信息,暂无信息,暂无信息,2栋,40户
育英中学家属院,(安丘市安丘市)东场新巷190号,3254,未知类型,暂无信息,暂无信息,暂无信息,3栋,170户
纺织局宿舍,(奎文区则尔庄)四平路纺织局宿舍,3236,塔板结合,0.45元/平米/月,暂无信息,暂无信息,10栋,308户
录音机厂宿舍,(奎文区则尔庄)北宫东街录音机厂宿舍,3718,塔板结合,0.5元/平米/月,暂无信息,暂无信息,3栋,34户
土产公司家属院,(寿光市寿光市)光明路土产公司家属院,3607,板楼,暂无信息,暂无信息,暂无信息,1栋,32户
兴旺花园,(潍城区潍城区政府)利民路5685号,3584,板楼,0.45元/平米/月,暂无信息,暂无信息,14栋,828户
齐家庄东区,(潍城区十笏园)月河路7658号,3301,未知类型,暂无信息,暂无信息,暂无信息,5栋,313户
玲珑小区,(潍城区鸢都湖)水库路750号,3893,未知类型,暂无信息,暂无信息,暂无信息,5栋,336户
造船厂,(寿光市寿光市)古槐路造船厂,3503,板楼,0.4元/平米/月,暂无信息,暂无信息,1栋,30户
棉厂家属院,(寿光市寿光市)石马路棉厂家属院,3420,板楼,0.45元/平米/月,暂无信息,暂无信息,1栋,36户
齐民思酒厂家属院,(寿光市寿光市)圣城街齐民思酒厂家属院,3698,板楼,暂无信息,暂无信息,暂无信息,6栋,250户
丽都住宅小区,(寿光市寿光市)圣城街道建新街4445号,3585,板楼,0.4至0.5元/平米/月,暂无信息,寿光卫东置业有限公司,9栋,436户
工业组团,(寿光市寿光市)晨鸣路2897号,3520,板楼/塔板结合,0.4元/平米/月,暂无信息, 西安保亿名卓置业有限公司,7栋,274户
农机公司家属院,(寿光市寿光市)迎宾路农机公司家属院,3492,板楼,0.4元/平米/月,暂无信息,寿光晨鸣广源地产有限公司,3栋,100户
供销社家属院,(寿光市寿光市)新兴街供销社家属院,3201,板楼,0.4至0.5元/平米/月,暂无信息,寿光金鼎置业有限公司,3栋,120户
立新小区,(寿光市寿光市)迎宾路2186号,3220,板楼,暂无信息,暂无信息,寿光金鼎置业有限公司,1栋,30户
联通公司家属院,(寿光市寿光市)北海路联通公司家属院,5009,塔楼/板楼,0.4至0.5元/平米/月,暂无信息,寿光金鼎置业有限公司,5栋,145户
二毛小区,(潍城区潍坊站)胜利西街二毛小区,3651,板楼,0.2至0.5元/平米/月,暂无信息,潍坊亚星置业有限公司,9栋,344户
