小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
南山滨海假日,(龙口东海旅游度假区)大学西路128号,3452,暂无信息 ,板楼,0.6元/平米/月,烟台南山物业管理有限公司,南山佳景置业有限公司,136栋,5315户
南山碧海苑,(龙口东海旅游度假区)碧海路南山碧海苑,3512,暂无信息 ,板楼,0.6至0.8元/平米/月,麦德龙, 合肥万科瑞翔地产有限公司,322栋,9107户
高尔夫滨海华庭,(龙口东海旅游度假区)林海路277号,3653,暂无信息 ,板楼/塔板结合,0.6元/平米/月,南山物业,烟台南山置业发展有限公司,97栋,4370户
滨海假日C区,(龙口东海旅游度假区)怡景南路滨海假日C区,3438,暂无信息 ,板楼,0.6元/平米/月,麦德龙,烟台海基置业有限公司,31栋,821户
东海黄金海岸悦海苑,(龙口东海旅游度假区)沿海路东海黄金海岸悦海苑,3410,暂无信息 ,板楼/塔板结合,0.6至1.1元/平米/月,暂无信息,烟台海基置业有限公司,21栋,971户
南山世纪花园三期,(龙口南山)世纪路南山世纪花园三期,3861,暂无信息 ,板楼,0.6元/平米/月,烟台南山物业管理有限公司,烟台南山置业发展有限公司,128栋,5116户
龙族郦景,(龙口东海旅游度假区)海涛二路87号,3477,暂无信息 ,塔板结合,2元/平米/月,暂无信息,航东地产,30栋,1280户
新牟小区,(牟平工商大街)牟平区水产局东.振兴街南,3575,暂无信息 ,板楼,1.5元/平米/月,烟台美航物业管理有限公司,烟台天马产业开发有限公司,5栋,17户
文一街,(牟平工商大街)文一街,3816,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,4栋,13户
东沁街507号,(牟平工商大街)东沁街507号,3044,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
沁水河五建家属楼,(牟平牟平周边)沁水东路338号,3820,暂无信息 ,板楼,暂无信息,无物业管理服务,无开发商,9栋,304户
利民小区,(牟平工商大街)牟山路637号,3620,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,10栋,566户
湖光豪景,(龙口东海旅游度假区)龙口东海旅游度假区,3570,暂无信息 ,板楼,1元/平米/月,暂无物业公司,烟台海基置业有限公司,35栋,1510户
海立方,(龙口东海旅游度假区)龙口东海旅游度假区,3777,暂无信息 ,板楼/塔板结合,0.6元/平米/月,烟台南山物业管理有限公司,龙口东海房地产开发有限公司,21栋,791户
绿色佳苑,(招远招远)旗山路189号,3597,暂无信息 ,板楼,0.3元/平米/月,暂无信息,暂无信息,19栋,593户
