小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
德昌盛景花园,(斗门区白蕉镇)湖心路1299号,14683,板楼/塔板结合/平房,1.5至1.8元/平米/月,珠海市恒安达物业管理有限公司,澳德房产,9栋,1815户
泰和苑,(斗门区白蕉镇)金湾路泰和苑,10559,板楼,0.5至0.6元/平米/月,华厦物业有限公司,太和集团有限公司,15栋,664户
时代倾城二期,(斗门区白蕉镇)白蕉路时代倾城二期,13140,塔楼/塔板结合/平房,3元/平米/月,珠海时代物业管理有限公司,时代地产,17栋,1807户
湖星水岸华庭二期,(斗门区白蕉镇)白藤二路8号,13793,板楼,1.5至1.6元/平米/月,广州市时代物业管理有限公司珠海分公司,上海鑫泽置业有限公司,5栋,757户
金地格林泊乐一期,(斗门区白蕉镇)东湖路金地格林泊乐一期,14035,塔楼/板楼,2.8元/平米/月,珠海万威物业管理服务有限公司,四金房产,29栋,1010户
里维埃拉一期4区,(斗门区井岸镇)珠峰大道288号,12835,塔楼/塔板结合,1.4元/平米/月,珠海世荣物业管理服务有限公司,广东世荣兆业股份有限公司,16栋,1151户
时代倾城三期,(斗门区白蕉镇)虹桥三路3号,13724,塔板结合,3元/平米/月,珠海时代物业管理有限公司,时代地产,29栋,2104户
华发峰尚,(斗门区白蕉镇)禾生二路68号,13614,板楼/塔板结合,2.85元/平米/月,珠海华发物业管理有限公司,珠海市丰浩贸易有限公司,32栋,4824户
桥北一区,(斗门区井岸镇)桥北二路桥北一区,6735,板楼,0.5元/平米/月,无物业管理服务,暂无资料,31栋,502户
里维埃拉一期3区,(斗门区井岸镇)珠峰大道里维埃拉一期3区,12506,塔楼/板楼/塔板结合,1.8元/平米/月,暂无信息,广东世荣兆业股份有限公司,14栋,1328户
万科魅力之城二期,(斗门区白蕉镇)虹桥三路万科魅力之城二期,13223,塔板结合,2.6元/平米/月,珠海市万科物业管理有限公司 ,万科地产,11栋,1176户
西江月,(斗门区白蕉镇)湖心路1008号,12118,板楼,0.9至1.8元/平米/月,珠海华发物业管理有限公司,西安西江置业有限公司,25栋,2033户
荷塘物语,(金湾区红旗镇)金荷路488号,13742,板楼,0.7至1.98元/平米/月,珠海珠光物业管理有限公司,珠海玉峰房产有限公司,15栋,642户
中珠花园,(金湾区红旗镇)广安路137号,12310,板楼/塔板结合,0.5至1.4元/平米/月,珠海市中珠物业管理服务有限公司,珠海市中珠股份有限公司,9栋,487户
美湾西二区,(斗门区井岸镇)中兴中路美湾西二区,7823,塔板结合,0.5元/平米/月,珠海豪宇物业,珠海格力房产,58栋,987户
招商依云水岸,(斗门区白蕉镇)桥湖南路招商依云水岸,13070,塔板结合,2.6至3元/平米/月,招商局物业管理有限公司珠海分公司,珠海依云房地产有限公司,23栋,1983户
诚丰新园,(斗门区白蕉镇)湖心路1288号,13496,板楼,1.6至1.9元/平米/月,诚丰物业管理有限公司,珠海诚丰集团有限公司,10栋,985户
华策岭峰国际,(斗门区白蕉镇)连兴路188号,11066,塔楼/板楼,1.5至2.5元/平米/月,暂无信息,珠海市华策集团有限公司,26栋,1599户
金涛园,(金湾区红旗镇)藤山1路2号,12228,板楼,0.5至1.1元/平米/月,珠海市先诚物业顾问有限公司,上海东珠置业有限责任公司,13栋,605户
二城丽苑,(斗门区红旗镇)白藤二路西8号,14656,板楼,1.8至2.2元/平米/月,珠海市二城物业管理有限公司,上海航空工业房产经营公司,4栋,234户
湖星水岸一期,"(斗门区白蕉镇)白藤二路湖星水岸华庭3期,白藤二路8号",11067,板楼,0.5至1.5元/平米/月,暂无信息, 西安保亿名卓置业有限公司,8栋,435户
福星苑,(斗门区红旗镇)藤山一路福星苑,9085,板楼,暂无信息,无物业管理服务,无,5栋,52户
世荣名筑,(斗门区白蕉镇)白藤二路555号,14360,板楼,1.8元/平米/月,华厦物业有限公司, 陕西亿润经贸有限公司 ,8栋,856户
龙珠花园,(斗门区井岸镇)中兴南路888号,8408,板楼/平房,0.4至0.7元/平米/月,暂无信息,上海莘闵龙珠房地产开发有限公司,41栋,1375户
欧邦花园,(金湾区红旗镇)广安路131号,8991,板楼/塔板结合,1元/平米/月,暂无信息,珠海市多田有限公司,4栋,136户
