小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金汇龙湖,(盐都区盐都商圈)凤凰南路38号,7756,塔楼/板楼/塔板结合,0.5至1.2元/平米/月,盐城市中海物业,暂无信息,9栋,466户
华西苑,(亭湖区张庄商圈)文明路华西苑,7793,板楼/塔板结合/平房,1.4至4元/平米/月,盐城夏天物业管理有限公司,宏房集团,6栋,231户
永嘉小区,(亭湖区亭湖商圈)新永路永嘉小区,4387,塔板结合/平房,暂无信息,苏州万宝物业管理有限公司建湖分公司,烟台万泰实业有限公司,8栋,253户
红旗二邨,(射阳县射阳)为民路红旗二邨,5004,未知类型,暂无信息,暂无信息,暂无信息,5栋,115户
逸湖新村,(建湖县建湖县)冠华东路1086号,2395,未知类型,暂无信息,暂无信息,暂无信息,21栋,598户
阳光一号,(建湖县建湖县)振阳路8号,4753,未知类型,暂无信息,暂无信息,暂无信息,10栋,289户
幸福1号公馆,(射阳县射阳)幸福大道402号,6635,未知类型,暂无信息,暂无信息,暂无信息,12栋,685户
东方御花园,(建湖县建湖县)湖中南路52号,3712,未知类型,暂无信息,暂无信息,暂无信息,20栋,507户
御景尊园,(建湖县建湖县)滨河北路御景尊园,5141,未知类型,暂无信息,暂无信息,暂无信息,7栋,542户
都市华城,(射阳县射阳)兴盛路99号,6542,未知类型,暂无信息,暂无信息,暂无信息,10栋,204户
清华园(阜宁县),(阜宁县阜宁县)苏州路288号,6163,未知类型,暂无信息,暂无信息,暂无信息,27栋,1083户
水木清华苑,(射阳县射阳)黄海路108号,4897,未知类型,暂无信息,暂无信息,暂无信息,11栋,326户
富景园,(射阳县射阳)双拥北路218号,5958,未知类型,暂无信息,暂无信息,暂无信息,15栋,448户
华庭之星,(建湖县建湖县)湖中北路华庭之星,4452,未知类型,暂无信息,暂无信息,暂无信息,24栋,748户
荣安花园小区,(射阳县射阳)化工巷2号,5036,未知类型,暂无信息,暂无信息,暂无信息,3栋,224户
香樟园,(射阳县射阳)兴阳路80号,7356,未知类型,暂无信息,暂无信息,暂无信息,9栋,407户
南苑小区(射阳县),(射阳县射阳)解放路31号,4781,未知类型,暂无信息,暂无信息,暂无信息,18栋,628户
金港湾,(建湖县建湖县)建宝路288号,5884,未知类型,暂无信息,暂无信息,暂无信息,25栋,1579户
紫荆华庭,(射阳县射阳)幸福大道紫荆华庭,6703,未知类型,暂无信息,暂无信息,暂无信息,6栋,320户
紫宸公寓,(建湖县建湖县)向阳西路309号,7413,未知类型,暂无信息,暂无信息,暂无信息,1栋,64户
朝阳小区(射阳县),(射阳县射阳)幸福大道498号,4747,未知类型,暂无信息,暂无信息,暂无信息,14栋,594户
华瑞佳苑北区,(建湖县建湖县)南京路华瑞佳苑北区,4035,未知类型,暂无信息,暂无信息,暂无信息,40栋,1122户
金河湾,(射阳县射阳)达阳路77号,5788,未知类型,暂无信息,暂无信息,暂无信息,6栋,176户
海鑫华府,(阜宁县阜宁县)新兴路海鑫华府,6212,未知类型,暂无信息,暂无信息,暂无信息,11栋,392户
苏州花苑,(阜宁县阜宁县)苏州路398号,5910,未知类型,暂无信息,暂无信息,暂无信息,6栋,392户
教师新村,(滨海县滨海公园商圈)师苑路118号,7613,未知类型,暂无信息,暂无信息,暂无信息,10栋,230户
富康新村,(滨海县滨海体育中心商圈)景湖路107号,5766,未知类型,暂无信息,暂无信息,暂无信息,6栋,180户
金港家园,(响水县响水县)和谐路金港家园,4393,未知类型,暂无信息,暂无信息,暂无信息,49栋,1990户
花园小区,(大丰区大丰区)东宁南路花园小区,5737,未知类型,暂无信息,暂无信息,暂无信息,14栋,157户
向阳花苑,(阜宁县阜宁县)向阳路77号,6209,未知类型,暂无信息,暂无信息,暂无信息,22栋,656户
卧龙花苑,(盐都区盐都商圈)卧龙路卧龙花苑,4889,塔楼/板楼/平房,1.2至1.5元/平米/月,江苏新昌物业管理有限公司,郑州郑报豫美置业有限公司,15栋,435户
东景濠庭,(盐都区盐都商圈)吉安路东景濠庭,6725,塔楼/塔板结合,1至1.2元/平米/月,盐城新欣物业有限公司,暂无信息,12栋,595户
百安居东苑,(亭湖区亭湖商圈)三元宫东路16号,7634,塔板结合,1.25至30元/平米/月,江苏百城物业股份有限公司,盐城金鼎置业有限公司,8栋,276户
华欧公寓,(盐都区人民公园商圈)凤凰南路华欧公寓,7462,塔楼/板楼/塔板结合,1.4元/平米/月,盐城市乾和物业管理有限公司,暂无信息,5栋,278户
文化名苑,(盐都区张庄商圈)坊桥路文化名苑,6867,板楼/塔板结合,0.42至0.8元/平米/月,盐城市家馨物业服务有限公司,暂无信息,8栋,303户
