小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
自由港,(长安南三条)和平东路20号,7012,塔楼,1.12至1.2元/平米/月,石家庄自由港物业服务有限公司,物业和度娘都不知道开发商名称,5栋,3383户
龙泉花园东区,(鹿泉鹿泉市)上庆大街龙泉花园东区,6917,塔楼/板楼/塔板结合,0.6至1元/平米/月,河北帝华物业公司,河北帝华房地产集团有限公司,42栋,6657户
凯嘉大厦,(桥西平安公园)桥东区中山路126号,7505,塔楼,2元/平米/月,开发商自持物业,石家庄万胜房地产开发有限公司,1栋,1426户
润德陶瓷城,(裕华河北科大新校区)胜利南街353号,6418,板楼/塔板结合,1至1.2元/平米/月,石家庄创世纪物业管理有限公司,临汾恒瑞通投资有限公司,9栋,2444户
龙洲新城,(鹿泉鹿泉市)康庄大路龙洲新城,6599,板楼/塔板结合,1.2元/平米/月,河北帝华物业公司,河北帝华房地产集团有限公司,8栋,4412户
天地荣域,(开发区富力)天地荣域,7401,板楼,1元/平米/月,石家庄中硕物业服务有限公司,石家庄天地房地产开发有限公司,8栋,1632户
东城国际商务广场,(开发区天山海世界)黄河大道98号,6074,塔板结合,1.1至1.2元/平米/月,河北恒辉物业服务集团有限公司,山西晋建房地产开发有限公司,5栋,1681户
百盛郁金香,"(桥西裕西公园)西三环路百盛郁金香, 中山西路818号",6933,板楼,1.2元/平米/月,开发商自持物业,石家庄百盛房地产开发有限公司,4栋,768户
康星家园,(藁城藁城市)创业路5号,7431,板楼,0.8元/平米/月,小区物业,暂无信息,12栋,593户
品汇大厦,(新华二中)中山路81号,7434,塔楼,0.5元/平米/月,单位物业,"""浙江富园房地产开发有限公司",1栋,484户
东坡家园,(栾城栾城县)栾武路东坡家园,7384,板楼,0.6至1元/平米/月,开发商自持物业,暂无信息,19栋,612户
华创大厦,(新华北苑)钟旺路19号,6521,板楼,1.2元/平米/月,小区物业,河北英华房地产开发有限公司,2栋,644户
惠源小区东区,(栾城栾城县)栾城新开街与宏达路交叉口西北角,7466,板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,22栋,874户
惠源小区西区,(栾城栾城县)宏远路惠源小区西区,6850,板楼/塔板结合,0.1至0.6元/平米/月,暂无信息,暂无信息,20栋,930户
龙海南苑,(鹿泉鹿泉市)龙泉东路89号,6160,塔楼/板楼/塔板结合,1至1.2元/平米/月,河北帝华物业公司,河北帝华房地产集团有限公司,9栋,5010户
纯粹家园,(长安滹沱)强镇街北沿线纯粹家园,6745,板楼,0.5元/平米/月,开发商自持物业,暂无信息,4栋,278户
福源里,(栾城栾城县)长春街福源里,6320,板楼,1元/平米/月,暂无信息,石家庄市栾城区新营房地产开发有限公司,1栋,40户
华丰小区,(栾城栾城县)新开北街38号,6721,板楼,0.3元/平米/月,小区物业,暂无信息,9栋,266户
华阳公寓,(开发区天山海世界)天山大街东200米华阳公寓,6503,板楼,1.2元/平米/月,天元物业公司,华阳房地产开发公司,2栋,576户
西街花园,(栾城栾城县)太行南大街西街花园,7358,板楼,0.5元/平米/月,小区物业,玉田县正信房地产开发有限公司无终西街销售分公司,6栋,326户
县医院家属院,(元氏县元氏县)向阳街81号,6103,板楼,1.2元/平米/月,暂无信息,石家庄京丰农业科技有限公司,5栋,204户
西部峰景,(鹿泉鹿泉市)镇宁路2号,7230,板楼,1.2元/平米/月,河北帝华物业服务有限公司,河北帝华房地产集团有限公司,11栋,4109户
祥和居,(藁城藁城市)开发大街6号,6132,板楼,1元/平米/月,暂无信息,福建天山投资有限公司,2栋,66户
众美欢乐汇商务公馆,(裕华南焦)建华大街与南二环交叉口南行200米路西,7693,塔楼,2元/平米/月,河北衡美物业服务有限公司,河北众美房地产开发集团有限公司,3栋,845户
润都盛和广场,(开发区天山海世界)黄河大道与祁连街交汇处西南角,6820,塔楼/板楼/塔板结合/平房,2.5元/平米/月,小区物业,河北润都房地产开发有限公司,6栋,520户
滨江商务大厦,(桥西平安公园)中山东路158号,6935,塔板结合,2.8元/平米/月,社区内部自持物业,暂无信息,2栋,864户
中心小区,(栾城栾城县)中心路中心小区,5465,板楼,暂无信息,无物业管理服务,石家庄市栾城区新营房地产开发有限公司,1栋,24户
裕通小区,(栾城栾城县)横井路裕通小区,7633,板楼,1.2元/平米/月,小区物业,河北智高房地产开发有限责任公司,4栋,196户
聚丙烯小区,(藁城藁城市)西安大街聚丙烯小区,7255,板楼,0.1至0.6元/平米/月,小区物业, 石家庄博皓房地产开发公司有限公司,5栋,240户
卡萨国际,(正定正定县)车站东街49号,5213,板楼/塔板结合,1.1元/平米/月,石家庄盛广龙庭物业服务有限公司,河北高远企业投资集团有限公司,4栋,1178户
龙海新区,(鹿泉鹿泉市)海山南大街99号,6970,塔楼/板楼/塔板结合,0.6至1.2元/平米/月,河北帝华物业公司,河北帝华房地产集团有限公司,29栋,4481户
华强国际写字楼,(新华二中)中华大街民族路交汇处东行50米路北(市公安局旧址),7191,塔楼/板楼/塔板结合,2.8元/平米/月,深圳华强物业管理有限公司石家庄分公司,石家庄华强广场房地产开发有限公司,6栋,4565户
马家庄供销社祥和苑,(栾城栾城县)凌文桥路12号,6026,板楼,0.3元/平米/月,暂无信息,石家庄市栾城区新营房地产开发有限公司,4栋,127户
法院宿舍,(栾城栾城县)龙威街法院宿舍,6405,板楼,0.8元/平米/月,暂无信息,石家庄旌旗房地产开发有限公司栾城分公司,2栋,41户
东上华府,(藁城藁城市)富强大街东上华府,7504,塔板结合,1元/平米/月,小区物业,未知,1栋,144户
兴业苑,(正定正定县)兴华路油泵厂家属楼,7580,板楼,0.3元/平米/月,小区物业,无,5栋,200户
建设局家属楼,(栾城栾城县)宏达路建设局家属楼,6750,板楼,暂无信息,开发商自持物业,天津开发区福城房地产开发有限公司栾城分公司,3栋,81户
天翔园,(新华二中)青年街38号,5817,塔楼/塔板结合,1.25元/平米/月,石家庄成铭物业公司,暂无信息,2栋,283户
颐宏大厦,(新华赵陵铺)中华北大街298号,7698,塔楼/塔板结合,1.2至2元/平米/月,卓达物业管理有限公司,暂无信息,2栋,641户
