小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
贵安新天地贵邦苑,(连江县贵安)芳园路贵邦苑,6562,塔楼/板楼/塔板结合,1.2至1.35元/平米/月,暂无信息,福建欢乐天地置业有限责任公司,8栋,3108户
中美小区,(闽侯县闽侯大学城)溪源宫路1号,10970,板楼,1至1.4元/平米/月,平潭综合实验区政护物业管理有限公司, 陕西亿润经贸有限公司 ,11栋,1089户
台江万达广场,(台江区台江万达)鳌江路8号,13512,塔楼/平房,2.8至7.5元/平米/月,福州万达广场商业物业管理有限公司,福州万达广场投资有限公司,6栋,2333户
龙江云山墅,(闽侯县上街)上街镇国宾大道598号,15048,板楼,1.2元/平米/月,戴德梁行物业有限公司,福晟集团,36栋,1088户
贵安新天地贵府苑,(连江县贵安)欢乐大道贵府苑,7257,塔楼/板楼/塔板结合,1.25至2.15元/平米/月,暂无信息,福建欢乐天地置业有限责任公司,29栋,3997户
英泰第一城A区,(闽侯县上街)国宾大道338号,14468,塔楼/板楼/塔板结合/平房,0.5至1.2元/平米/月,暂无信息,福建英泰房地产发展有限公司,68栋,620户
贵安新天地贵居苑,(连江县贵安)欢乐大道贵居苑,6146,塔楼/板楼/塔板结合/平房,1.35元/平米/月,昆明世纪城物业管理有限公司连江分公司,福建欢乐天地置业有限责任公司,41栋,3088户
贵安新天地贵祥苑,(连江县贵安)欢乐大道贵安新天地贵祥苑,6779,塔楼/板楼,1.2至1.35元/平米/月,暂无信息,福建欢乐天地置业有限责任公司,25栋,1738户
西海岸广场,(闽侯县甘蔗)滨江大道100号,10211,塔楼,2.5至2.8元/平米/月,阳光城物业,阳光城集团,4栋,1436户
贵安新天地贵盛苑,(连江县贵安)世纪金源大道贵盛苑,6863,塔楼/板楼,1.25至1.35元/平米/月,暂无信息,福建欢乐天地置业有限责任公司,22栋,2000户
正祥林语墅,(闽侯县南屿)虎秀路正祥林语墅,14154,板楼,1.8至2元/平米/月,暂无信息,福建正祥置业发展有限公司,12栋,2694户
融侨宜家一期,(闽侯县南屿)五都路融侨宜家一期,15271,板楼/塔板结合,1.7至70元/平米/月,福州融侨物业管理有限公司,福建融侨集团有限公司,6栋,1751户
