小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
崇安里,(嵊州市嵊州城北)安平西路崇安里,6626,未知类型,暂无信息,暂无信息,暂无信息,23栋,726户
安平里,(嵊州市嵊州城北)官河路834号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,11栋,338户
艇湖里,(嵊州市嵊州城北)安平东路艇湖里,6952,板楼,暂无信息,暂无信息,暂无信息,7栋,232户
金山御景园,(嵊州市嵊州城北)西后街66号,7567,未知类型,暂无信息,暂无信息,暂无信息,1栋,160户
仙景花苑,(嵊州市嵊州城南)仙国路仙景花苑,5535,未知类型,暂无信息,暂无信息,暂无信息,5栋,151户
盛都公寓,(嵊州市嵊州城南)惠民街598号,7512,未知类型,暂无信息,暂无信息,暂无信息,14栋,242户
思贤家园,(柯桥区齐贤)兴齐路140号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,16栋,228户
八字桥农民公寓,(柯桥区齐贤)柯海公路八字桥农民公寓,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,2栋,40户
新湖园,(越城区迪荡)胜利东路新湖园,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,7栋,286户
仁让堰,(柯桥区柯岩)未央路仁让堰,当前网页找不到元素（价格）,塔楼,暂无信息,暂无信息,暂无信息,49栋,2918户
星河景苑小区,(新昌县新昌县)孝行路487号,7727,板楼,0.5元/平米/月,精英物业管理（上海）有限公司,上海闵行房地(集团)有限公司,12栋,318户
新时代广场,(新昌县新昌县)鼓山西路93号,7486,未知类型,暂无信息,暂无信息,暂无信息,16栋,374户
印花新村,(新昌县新昌县)西昌北路21号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,2栋,122户
青山绿景苑,(新昌县新昌县)新昌大道青山绿景苑,7001,未知类型,暂无信息,暂无信息,暂无信息,36栋,828户
丹青幸福里,(新昌县新昌县)孝行路丹青幸福里,当前网页找不到元素（价格）,塔板结合,1元/平米/月,业主自筹物业,上海丹青置业有限责任公司,8栋,415户
湖滨商业中心,(越城区迪荡)湖滨商业中心1幢135室,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,2栋,9户
金鸥公寓,(越城区孙端)又新路金鸥公寓,当前网页找不到元素（价格）,板楼,1.7元/平米/月,暂无信息,暂无信息,4栋,79户
财富中心步行街,(越城区斗门)财富中心步行街146号,当前网页找不到元素（价格）,塔板结合,2.3元/平米/月,绍兴绿泰物业管理有限公司,恒大集团,1栋,21户
益民路新邨,(越城区马山)益民路新邨,当前网页找不到元素（价格）,板楼,0.7元/平米/月,暂无信息,暂无信息,3栋,26户
秋实公寓,(柯桥区柯桥滨海)秋实路秋实公寓,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,44栋,1062户
摩尔城一区,(越城区绍兴市区)环城北路15-26号,当前网页找不到元素（价格）,板楼,暂无信息,暂无信息,暂无信息,3栋,7户
五云村素潭,(越城区迪荡)云东路944号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,3栋,61户
绿洲新村,(越城区城南)长城路23号,17805,板楼,1元/平米/月,暂无信息,暂无信息,6栋,114户
鉴水人家西区,(柯桥区柯岩)柯南大道鉴水人家西区,当前网页找不到元素（价格）,板楼,0.8元/平米/月,深圳开元国际物业有限公司, 西安保亿名卓置业有限公司,13栋,606户
兴发公寓,(柯桥区钱清)二环路兴发公寓,7678,板楼,暂无信息,暂无信息,暂无信息,1栋,77户
俪晶湾,(上虞区开发区)鸿雁路俪晶湾,当前网页找不到元素（价格）,塔楼,1.5元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,14栋,210户
南明三村,(新昌县新昌县)南明路南明三村,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,9栋,191户
新叶新村,(新昌县新昌县)文体路32号,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,3栋,72户
悦澜山,(新昌县新昌县)泰坦大道29号,5617,未知类型,暂无信息,暂无信息,暂无信息,8栋,374户
城东四村,(新昌县新昌县)梅花一弄城东四村,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,20栋,642户
皋埠银春公寓,(越城区皋埠)银春路400号,7308,未知类型,暂无信息,暂无信息,暂无信息,1栋,3户
新城棠樾,(柯桥区)兴工路新城棠樾,当前网页找不到元素（价格）,板楼,2.5至4元/平米/月,绍兴经济开发区新城物业管理有限公司,暂无信息,83栋,1444户
任家畈小区,(柯桥区兰亭)浙江省绍兴市柯桥区杭绍台高速,当前网页找不到元素（价格）,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
