小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
六二四小区,(江油市江油)新华路中段186号,3855,板楼,0.5元/平米/月,暂无信息,暂无信息,20栋,682户
长城新村一号南区,(江油市江油)建设中路长城新村一号南区,2955,塔楼/板楼/平房,0.5元/平米/月,江油宏安房产,长城地产,42栋,1972户
阳光苑,(江油市江油)梁园路29号,3792,塔板结合,0.5元/平米/月,暂无信息,华丰建筑公司,2栋,202户
虹桥街46号,(江油市江油)虹桥街46号,3537,塔楼/板楼,暂无信息,暂无信息,华秀花园公司,5栋,246户
华丽花园,(江油市江油)祥和路109号,3726,塔板结合,1.2元/平米/月,四川长城恒昶物业服务有限公司,华丰房地产,6栋,292户
城铁江油机务A区,(江油市江油)涪江路机务段A区,3766,板楼/塔板结合,0.3至0.4元/平米/月,华丰物业,华丰建筑公司,7栋,265户
电务小区,(江油市江油)建设北路电务小区,2485,板楼/平房,20元/平米/月,暂无信息,华丰房地产,6栋,264户
铭洋丽景天下小区,(江油市江油)荷花巷铭洋丽景天下小区,3657,板楼/塔板结合,0.35至5.5元/平米/月,暂无信息,华丰建筑公司,6栋,416户
东岳小区,(涪城区高新)飞云大道东段东岳小区,3720,板楼,0.5元/平米/月,暂无信息,暂无信息,6栋,528户
新兴小区,(江油市江油)太华路北段125号,3429,未知类型,暂无信息,暂无信息,暂无信息,2栋,63户
茂华小区,(江油市江油)锦城路13号,3828,板楼,暂无信息,暂无信息,暂无信息,3栋,117户
长足小区,"(江油市江油)太平路中段237号,太平路中段33号",3117,塔楼/塔板结合,0.2元/平米/月,泰发物业,上海东金博置业有限公司,2栋,41户
供电局宿舍,(江油市江油)太平路东段供电局宿舍,3551,板楼,0.4元/平米/月,华丰物业,华丰建筑公司,6栋,214户
祥和苑(江油市),(江油市江油)新华路南段30号,3840,板楼,0.3元/平米/月,暂无信息,成都弘旭建筑工程有限责任公司,6栋,400户
先锋二小区,(江油市江油)先锋路先锋二小区,3427,板楼,0.5元/平米/月,无物业管理服务,暂无信息,2栋,128户
天裕小区,(江油市江油)劳动街57号,3821,塔板结合,0.5元/平米/月,宏安物业,华丰建筑公司,1栋,143户
阳光小区(南苑路),(江油市江油)南苑路47号,3760,未知类型,暂无信息,暂无信息,暂无信息,7栋,336户
西山小区,(江油市江油)乾元路北段西山小区,3633,塔楼,0.5元/平米/月,暂无信息,暂无信息,15栋,718户
富康小区,(江油市江油)花园路南段56号,3613,未知类型,暂无信息,暂无信息,暂无信息,8栋,186户
金城小区,(江油市江油)太华路北段95号,3414,未知类型,暂无信息,暂无信息,暂无信息,4栋,94户
鱼市口小区,(江油市江油)广东街2号,3265,未知类型,0.5元/平米/月,暂无信息,暂无信息,1栋,56户
富红水晶郦城,(盐亭县盐亭)红光东路29号,3802,塔楼/板楼,1.6元/平米/月,暂无信息,暂无信息,10栋,360户
科学城三区,(游仙区科学城)绵山路64号,3368,未知类型,暂无信息,暂无信息,暂无信息,45栋,2011户
科学城八区,(游仙区越王楼)绵山路64号,3773,未知类型,暂无信息,暂无信息,暂无信息,51栋,1732户
翰林佳园,(涪城区青义)碧云路72号,3588,塔板结合,暂无信息,暂无信息,暂无信息,4栋,283户
青羊家园,"(涪城区青义)科大路青羊家园,科大路322号",3340,平房,0.4元/平米/月,暂无信息,暂无信息,6栋,39户
科学城四区,(游仙区科学城)绵山路64号,3480,塔板结合,暂无信息,暂无信息,暂无信息,42栋,2222户
明珠小区,(江油市江油)江西街52号,3587,塔板结合,暂无信息,暂无信息,暂无信息,4栋,166户
瑞华苑小区,(江油市江油)荷花巷瑞华苑小区,3445,塔板结合,1元/平米/月,时代物业管理有限公司,上海中建孚泰置业有限公司,1栋,84户
金色家园,(江油市江油)诗仙路中段220号,3216,未知类型,暂无信息,暂无信息,暂无信息,1栋,84户
科学城四区,(游仙区科学城)绵山路64号,3480,塔板结合,暂无信息,暂无信息,暂无信息,42栋,2222户
青羊家园,"(涪城区青义)科大路青羊家园,科大路322号",3340,平房,0.4元/平米/月,暂无信息,暂无信息,6栋,39户
外贸宿舍(江油市),(江油市江油)涪江路西三巷4号,3318,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
压延厂小区,(江油市江油)东大街北段111号,3423,未知类型,暂无信息,暂无信息,暂无信息,3栋,72户
人民银行宿舍,(江油市江油)花园巷42号,3745,板楼,暂无信息,暂无信息,暂无信息,2栋,56户
电信小区,(江油市江油)会昌巷8号,3432,板楼,0.4至0.8元/平米/月,华丰物业,汇华丰公司,4栋,225户
纪念碑小区,(江油市江油)劳动街33号,3311,板楼,暂无信息,暂无信息,暂无信息,4栋,126户
临江小区,(江油市江油)涪江路中段64-5号,3507,塔板结合,0.4元/平米/月,华丰物业,暂无信息,3栋,98户
新嘉苑小区,(江油市江油)涪江路东段162号,3686,塔楼,暂无信息,小区物业,宏工集团,3栋,276户
学府芳邻,(江油市江油)建设中路26号,3981,板楼,0.5元/平米/月,暂无信息,暂无信息,5栋,134户
