小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
奇瑞BOBO城,(经济开发区BOBO商业步行街)泰山路8号,6687,板楼/塔板结合,0.7至1.2元/平米/月,安徽鹏徽物业管理有限公司,奇瑞地产有限公司,159栋,5410户
芜湖碧桂园镜湖春色,(三山区龙湖街道)繁昌江堤芜湖碧桂园镜湖春色,7279,塔板结合,1.5元/平米/月,广东碧桂园物业管理有限公司芜湖分公司,碧桂园集团,26栋,4429户
芜湖碧桂园白鹭湾,(三山区龙湖街道)碧桂园大道芜湖碧桂园白鹭湾,7114,塔楼/板楼/塔板结合,1.5元/平米/月,广东碧桂园物业管理有限公司芜湖分公司,碧桂园集团,22栋,3160户
新里城观澜苑,(经济开发区BOBO商业步行街)松花江路新里城观澜苑,7064,塔楼/板楼/塔板结合,1.21元/平米/月,暂无信息,成都金科卓瑞房地产开发有限公司,13栋,1853户
芜湖碧桂园江心环玉苑区,(三山区龙湖街道)碧桂园大道芜湖碧桂园江心环玉苑区,7315,塔板结合,1.8元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,25栋,1561户
家和园,(经济开发区BOBO商业步行街)尖山路家和园,7183,板楼/塔板结合,0.8元/平米/月,暂无信息,奇瑞地产有限公司,29栋,1179户
宇润人才公寓,(经济开发区波尔卡商业区)裕安路宇润人才公寓,7233,板楼,0.5至0.7元/平米/月,暂无信息,奇瑞地产有限公司,21栋,761户
金湾锦苑,(鸠江区学府商业广场)九华北路452号,6930,板楼,0.2至20元/平米/月,暂无信息,合肥伟星置业有限公司,59栋,2076户
柏庄时代金座,(弋江区柏庄时代广场)大工山路柏庄时代金座,7404,塔板结合,1.2至2.4元/平米/月,暂无信息,"""浙江富园房地产开发有限公司",2栋,878户
新里城天门苑,(经济开发区BOBO商业步行街)尖山路新里城天门苑,7404,板楼/塔板结合,1.2至1.21元/平米/月,暂无信息,南安世茂新里程置业有限公司,7栋,1097户
水岸星城东区,(鸠江区绿地镜湖新城)赭山东路水岸星城,7207,板楼,0.5至12元/平米/月,芜湖市鸠兹物业管理有限责任公司, 重庆汇东房地产开发有限公司,57栋,2008户
银湖华庭,(经济开发区波尔卡商业区)银湖北路218号,7768,塔楼/板楼/塔板结合,1至1.2元/平米/月,暂无信息,合肥伟星置业有限公司,15栋,569户
万春新苑雅苑,(鸠江区万春购物广场)梦溪路万春新苑雅苑,6547,板楼,0.3元/平米/月,芜湖万良物业管理有限公司 ,合肥伟星置业有限公司,49栋,6113户
万春新苑,(鸠江区万春购物广场)万春湖路万春新苑,6311,板楼,1.3至10元/平米/月,南京万科物业管理有限公司芜湖分公司,合肥伟星置业有限公司,77栋,2487户
滨江新居,(经济开发区四褐山街道)长江北路滨江新居,5303,塔楼,暂无信息,无物业管理服务,合肥伟星置业有限公司,43栋,1288户
水岸星城西区,(鸠江区绿地镜湖新城)黄山东路水岸星城西区,7260,板楼,0.5至10元/平米/月,芜湖市鸠兹物业管理有限责任公司,天津世通建设发展有限公司,30栋,1186户
芜轴新村,(经济开发区凤鸣湖小学)长江北路芜轴新村,6964,板楼/塔板结合,0.5元/平米/月,1.33,华润置地,14栋,348户
永盛花园,(弋江区火龙岗镇)九华南路永盛花园,7331,板楼/塔板结合,0.6至1元/平米/月,海螺物业, 五指山水墨雨林置业有限公司,16栋,760户
龙湖新城一期,(三山区龙湖街道)栗元路龙湖新城,5157,板楼,0.1至15元/平米/月,芜湖向正物业管理有限公司,龙湖地产,70栋,1992户
白马浅湾安置区,(弋江区火龙岗镇)漳河路白马浅湾安置区,6664,塔楼/塔板结合,1元/平米/月,业主自筹物业,安徽芜湖地矿置业有限公司,71栋,3777户
锅炉新村小区,(经济开发区波尔卡商业区)长江路230号,6580,板楼/塔板结合,暂无信息,社区, 陕西亿润经贸有限公司 ,16栋,571户
褐山花苑小区一期,(经济开发区四褐山街道)银湖北路褐山花苑小区一期,5894,塔楼,暂无信息,无物业管理服务, 合肥万科瑞翔地产有限公司,27栋,840户
奇瑞花园,(经济开发区波尔卡商业区)浦江路8号,7003,塔板结合,1.1元/平米/月,暂无信息,奇瑞地产有限公司,8栋,235户
澛港新区中区,(弋江区澛港新区)文津西路99号,7802,塔楼/板楼,0.9至20元/平米/月,芜湖正天物业管理有限公司,临澧伟星置业有限公司,280栋,1870户
莲花新城一期,(三山区三山时代广场)孙滩路莲花新城一期,4256,塔楼,暂无信息,暂无信息,莲花房地产开发商,44栋,730户
莲花新城二期,(三山区三山时代广场)峨溪路莲花新城二期,4216,塔楼,暂无信息,暂无信息,莲花物业,47栋,2424户
万春花园西区,(鸠江区万春购物广场)万春东路万春花园西区,6228,板楼,1元/平米/月,芜湖万良物业管理有限公司 ,天津万春房地产开发有限公司,20栋,3541户
春江苑,(芜湖县芜湖周边)芜湖南路春江苑,3637,塔板结合,0.8元/平米/月,兆通物业管理公司,青岛公共住房建设投资有限公司,47栋,1747户
绿地新都会,(镜湖区绿地镜湖新城)经二路绿地新都会,7730,塔楼,1.5至2.1元/平米/月,暂无信息,上海绿地集团,5栋,2061户
元盛阳光城,(芜湖县芜湖周边)保沙路元盛阳光城,6457,板楼/塔板结合,1.2至1.5元/平米/月,伟星物业,暂无信息,38栋,2470户
四褐山小区,(经济开发区四褐山街道)长江北路四褐色山小区,4611,塔楼,暂无信息,无物业管理服务,合肥伟星置业有限公司,38栋,1237户
金桥一区,(繁昌县繁昌县)沿河南路242号,6490,板楼,暂无信息,暂无信息,暂无信息,9栋,103户
大坂城,(南陵县南陵县)春谷南路大阪城C区,5516,板楼,1.2元/平米/月,暂无信息,暂无信息,8栋,230户
锦绣龙湾小区,(鸠江区无为县)化工西路锦绣龙湾小区,7629,板楼,暂无信息,暂无信息,暂无信息,20栋,956户
金石新城D区,(弋江区火龙岗镇)南经二路金石新城D区,4131,塔板结合,1元/平米/月,安徽伟星物業管理有限公司,临澧伟星置业有限公司,10栋,306户
金石新城A区,(弋江区火龙岗镇)南经二路金石新城A区,4798,塔板结合,0.8元/平米/月,芜湖市鸠兹物业管理有限责任公司,南通金石置业有限公司,39栋,1881户
绿地新都会,(镜湖区绿地镜湖新城)经二路绿地新都会,7730,塔楼,1.5至2.1元/平米/月,暂无信息,上海绿地集团,5栋,2061户
水岸兰庭,(南陵县南陵县)漳河大道水岸兰庭,5419,板楼/平房,1.2元/平米/月,芜湖万达商业管理有限责任公司,黑龙江你好房地产开发有限公司,17栋,409户
峨桥花苑,(三山区龙湖街道)峨溪河大桥峨桥花苑,4435,板楼,0.5至1元/平米/月,伟星物业,上海明城花苑管理有限公司,7栋,434户
君和皇家花园,(芜湖县芜湖周边)世纪大道君和皇家花园,4684,塔板结合/平房,0.8至1元/平米/月,芜湖柏庄置业有限公司,上海君和置业有限公司,9栋,1036户
麒麟山庄,(南陵县南陵县)籍山大道麒麟山庄,4472,塔板结合,0.01元/平米/月,暂无信息,暂无信息,22栋,361户
大公馆,(南陵县南陵县)弋江大道大公馆,5644,板楼/塔板结合,0.66元/平米/月,暂无信息,暂无信息,12栋,932户
东方家园B区,(无为县无为县)渡江路东方家园B区,6762,未知类型,暂无信息,暂无信息,暂无信息,33栋,1154户
三山时代广场,(三山区三山时代广场)龙湖路时代花园,7687,塔板结合,1.1元/平米/月,暂无信息,芜湖润地置业有限公司,13栋,881户
西苑小区,(繁昌县繁昌县)迎春路780号,6305,塔板结合,暂无信息,暂无信息,暂无信息,19栋,160户
奇瑞花园,(经济开发区波尔卡商业区)浦江路8号,7003,塔板结合,1.1元/平米/月,暂无信息,奇瑞地产有限公司,8栋,235户
金石新城C区,(弋江区火龙岗镇)南经二路金石新城C区,4683,板楼,1元/平米/月,芜湖伟星东部房地产开发有限公司,金广物业,4栋,68户
金石新城F区,(弋江区火龙岗镇)南经二路金石新城F区,5089,塔板结合,10元/平米/月,暂无信息,临澧伟星置业有限公司,10栋,456户
都市花园松苑,(芜湖县芜湖周边)南湖路都市花园松苑,3903,未知类型,暂无信息,暂无信息,暂无信息,30栋,1020户
