小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
华东商业城商务公寓,(吴江松陵)淞兴路与庞北路交汇处,7397,暂无信息 ,塔楼/板楼/塔板结合,1.4至2.1元/平米/月,昆山市佛奥物业管理有限公司,苏州华东国际商业城投资发展有限公司,11栋,767户
维也纳国际酒店,(吴中越溪)吴中大道1109号,6532,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,545户
金百盛家纺广场,(吴江盛泽)市场路吴江农村商业银行西,7232,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3栋,666户
雅都大厦,(吴江盛泽)强武路99号,7573,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,449户
望湖北区,(吴江七都)望湖中路1869号附近,7524,暂无信息 ,板楼,暂无信息,业主自主物业,暂无信息,13栋,98户
中安路散盘,(吴中临湖)中安路230号、中安路256号、中安路286号,5108,暂无信息 ,板楼,暂无信息,小区自主物业,暂无信息,3栋,27户
名宇商务广场,(吴中城南)东吴北路125号,7376,暂无信息 ,板楼,4.95元/平米/月,嘉正物业,暂无信息,4栋,430户
万亚广场,(吴江松陵)松陵镇中山北路98号,7420,暂无信息 ,板楼,2.4元/平米/月,吴江市伟业物业管理有限公司,苏州伟业迎春地产有限公司,1栋,1183户
悦来二村,(张家港锦丰)合兴路悦来二村,7742,暂无信息 ,板楼/塔板结合,2.5元/平米/月,暂无信息,暂无信息,26栋,647户
大唐花园,(昆山千灯)景泾路大唐花园,6943,暂无信息 ,塔板结合,0.6元/平米/月,昆山市福娃娃物业管理有限公司,鼎浩开发公司,10栋,159户
安定新村,(张家港金港)中兴南路安定新村,7091,暂无信息 ,塔板结合,1.5元/平米/月,暂无信息,暂无信息,38栋,1155户
文昌小区北区,(张家港金港)文昌路文昌小区,6256,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,28栋,780户
嘉裕广场,(昆山周市)春晖路664号,7514,暂无信息 ,塔楼/板楼,1.4元/平米/月,常熟市金乡邻物业服务有限公司,上海南上海动拆迁置业有限公司,2栋,485户
长江花苑,(张家港金港)中港北路长江花苑西区,4904,暂无信息 ,塔板结合,2.3元/平米/月,暂无信息,暂无信息,15栋,292户
沪太锦苑,(太仓港区)太仓市浮桥镇浏家港新港东路30号1#204,5983,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,5栋,370户
晶钻大厦,(昆山玉山城北)萧林路875,7576,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,1栋,10户
亿丰机电城,(昆山玉山老城区)昆山开发区朝阳东路109号2幢3060室,6024,暂无信息 ,未知类型,2.31元/平米/月,暂无信息,暂无信息,2栋,14户
弘源星城,(张家港金港)江海北路7号,5261,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,7栋,169户
秦峰星尚公寓,(昆山千灯)昆山市千灯镇炎中路,7607,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,1栋,221户
伟业大厦,"(吴江松陵)永康路18号, 天鹅弄2号",7540,暂无信息 ,塔楼,2.75元/平米/月,吴江市伟业物业管理有限公司,暂无信息,1栋,285户
丽景花园东区,(吴江松陵)华盛大道516号,6077,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,4栋,5户
聚汇装饰城,(吴江盛泽)盛东路2778号,7802,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,5户
镇南新村,(吴江震泽)禹迹路与镇南路交叉口西南150米,7798,暂无信息 ,塔楼/板楼,暂无信息,小区自主物业,暂无信息,26栋,431户
中兴新村,(张家港金港)长江中路58号,6589,暂无信息 ,未知类型,1元/平米/月,暂无信息,暂无信息,36栋,465户
昆山国际上湖,(昆山巴城)迎宾西路3555号,7291,暂无信息 ,塔楼,20元/平米/月,暂无信息,阳澄湖投资有限公司,12栋,669户
林屋上街65号,(吴中西山)林屋上街65号,6153,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
长欣社区,(张家港金港)长宏路长欣社区,6951,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,160栋,1454户
海港二村,(张家港金港)园林路海港二村,7065,暂无信息 ,板楼/塔板结合,1元/平米/月,暂无信息,暂无信息,9栋,216户
江海新村,(张家港金港)江海中路江海新村,5909,暂无信息 ,板楼/塔板结合,暂无信息,暂无信息,暂无信息,4栋,88户
团结新村（张家港）,(张家港金港)团结路团结新村,6086,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,8栋,131户
爱乐国际公寓,(常熟虞山高新区)东山路4号,6890,暂无信息 ,塔楼/板楼/塔板结合,1元/平米/月,暂无信息,暂无信息,3栋,739户
新晨花园,(张家港金港)天台南路17号,4777,暂无信息 ,塔板结合,1.13元/平米/月,暂无信息,暂无信息,6栋,151户
林屋上街65号,(吴中西山)林屋上街65号,6153,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
晶钻大厦,(昆山玉山城北)萧林路875,7576,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,1栋,10户
沪太锦苑,(太仓港区)太仓市浮桥镇浏家港新港东路30号1#204,5983,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,5栋,370户
新茂花园,(张家港大新)府前路339号,6331,暂无信息 ,塔板结合,0.5元/平米/月,业主自主物业,暂无信息,28栋,343户
阳光家园南区,(张家港大新)锦江路阳光家园南区,7074,暂无信息 ,板楼/塔板结合,0.75元/平米/月,暂无信息,暂无信息,60栋,1565户
堂里街,(吴中西山)堂里街,4973,暂无信息 ,塔板结合,暂无信息,无物业管理服务,暂无信息,5栋,39户
淀南路69号,(昆山周庄)周庄镇淀南路69号,7611,暂无信息 ,塔板结合,0.8元/平米/月,暂无信息,暂无信息,1栋,1户
海城花苑,(常熟滨江开发区)苏州市常熟市兴港路与伟业路交叉路口往东约50米,7396,暂无信息 ,塔楼/板楼,2.5元/平米/月,暂无信息,暂无信息,4栋,411户
水岸府邸,(常熟董浜镇)星文路65号,7243,暂无信息 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,11栋,141户
长江润发国际大厦,(张家港金港)长江路长江润发国际大厦,4418,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,272户
上海春天,(太仓港区)新港东路106号,5482,暂无信息 ,塔板结合,0.5至2元/平米/月,暂无信息,暂无信息,13栋,83户
瑞豪酒店,(昆山玉山老城区)震川东路868号,7108,暂无信息 ,板楼,2.8元/平米/月,暂无信息,暂无信息,1栋,572户
新华新村,(张家港锦丰)永新路新华新村,5548,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,24栋,532户
海沙二村,(张家港锦丰)海沙路海沙二村,5613,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,20栋,496户
金桥花园一区,(张家港金港)勤政路金桥花园,7627,暂无信息 ,板楼/塔板结合,暂无信息,金桥物业,暂无信息,45栋,1090户
乐江新村,(张家港乐余)乐园路乐江新村,5984,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,46栋,880户
新城花园（吴江）,(吴江震泽)吴江镇南一路(近新丰路),6179,暂无信息 ,塔板结合,0.33元/平米/月,苏州工业园区建屋物业发展有限公司,暂无信息,85栋,1027户
金谷小区,(张家港凤凰)西妙路金谷小区,7566,暂无信息 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,57栋,1226户
沙钢厚生新村,(张家港锦丰)锦丰镇人民路1号,5686,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,18栋,513户
滨江花园,(张家港大新)永凝路195号,7298,暂无信息 ,板楼,2元/平米/月,苏州市今日物业管理有限公司,暂无信息,24栋,293户
今日新城,(张家港金港)中兴北路78号,4756,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,13栋,282户
青年路,(张家港锦丰)青年路,5112,暂无信息 ,未知类型,1元/平米/月,暂无信息,暂无信息,5栋,84户
长江润发幸福小区,(张家港金港)鑫苑路长江润发幸福小区,6269,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,40栋,9户
文星新村,(张家港金港)文星北路文星新村,5399,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,7栋,156户
团结新村（张家港）,(张家港金港)团结路团结新村,6086,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,8栋,131户
长江花苑B区,(张家港金港)中兴北路89号,5466,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,120户
新城花园（太仓）,(太仓港区)南环路新城花园,5400,暂无信息 ,板楼/塔板结合,2元/平米/月,暂无信息,暂无信息,120栋,4386户
新联花苑,(张家港南丰)泗兴路新联花苑,7681,暂无信息 ,板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,6栋,289户
聚福苑2区,(常熟滨江开发区)扬子江大道聚福苑2区,6176,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,150栋,150户
张丰苑,(常熟辛庄镇)迎宾路张丰苑,7649,暂无信息 ,板楼,1.6元/平米/月,广东中奥物业管理有限公司苏州分公司,暂无信息,4栋,120户
星岛花苑,(常熟董浜镇)金城路52号,6589,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,120户
城市之星,(常熟常福)黄河路275号,6850,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,216户
滨河嘉园,(常熟董浜镇)星晨路13号,7356,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,23栋,930户
张家港合影兴星火公寓,(张家港锦丰)阿里山路张家港合影兴星火公寓,6989,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,180户
民丰小区,(张家港南丰)民丰南路民丰小区,6913,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,24栋,37户
利泰新村,(太仓沙溪)油化路利泰新村,7248,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,7栋,180户
康居花园,(太仓港区)南环路康居花园,5381,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,68栋,2401户
镇山小区东区,(张家港金港)老张家港路镇山小区东区,7762,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,14栋,1041户
绿地大道商铺,(昆山花桥)昆山市花桥镇绿地大道255弄1号209室,6883,暂无信息 ,板楼/塔板结合,2.56至4元/平米/月,上海绿地物业服务有限公司苏州分公司,暂无信息,7栋,70户
西菜场,(张家港塘桥)鹿苑西菜场,6057,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
西墩新村,(张家港金港)西墩路西墩新村,5267,暂无信息 ,塔板结合,2.5元/平米/月,暂无信息,暂无信息,1栋,40户
西北街65号,(吴江汾湖)西北街65号,7304,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
丽晶新城,(太仓璜泾)玄武路88号,6235,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1栋,56户
板桥财富广场,(太仓娄江新城)南京东路板桥财富广场,6641,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,303户
兴业大厦,(太仓城厢)人民南路139号,6320,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,180户
青阳北路752号,(昆山周市)青阳北路752号,7736,暂无信息 ,未知类型,0.56元/平米/月,暂无信息,暂无信息,1栋,1户
上福新村,(张家港金港)江海中路上福新村,6082,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,23户
长江花苑B区,(张家港金港)中兴北路89号,5466,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,120户
团结新村（张家港）,(张家港金港)团结路团结新村,6086,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,8栋,131户
汝南弄,(吴江盛泽)盛泽镇汝南弄12-2号402室,7366,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,6栋,16户
同丰新村北区,(张家港乐余)乐丰路同丰新村北区,5033,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,24户
五洋商城,(太仓城厢)县府西街五洋商城,6001,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,6栋,362户
朱家弄,(吴江盛泽)朱家弄,6121,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,6栋,6户
福民家园,(张家港金港)福中路福民家园,5463,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,6栋,157户
府园路,(张家港锦丰)府园路,4870,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,18户
琴湖城市广场,(常熟琴湖)富春江西路10号,5000,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,275户
黄金樽小区,(太仓璜泾)园林路168号,6354,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,56户
江南花苑,(太仓璜泾)玉影路江南花苑,6310,暂无信息 ,板楼/塔板结合,0.45至1.5元/平米/月,暂无信息,暂无信息,9栋,380户
九曲弄38号,(吴江汾湖)九曲弄38号,7803,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
天台南路170号,(张家港金港)天台南路170号,5000,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
长江中路240号,(张家港金港)长江中路240号,6094,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,42户
同仁堂弄7号,(吴江盛泽)同仁堂弄7号,6237,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
金都邻里坊,(张家港金港)勤政路527号,5619,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,13户
金港晶港湾,(张家港金港)长江中路金港晶港湾,6818,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,32户
健康北路86号,(张家港金港)健康北路86号,5556,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,2栋,48户
沪太锦苑,(太仓港区)太仓市浮桥镇浏家港新港东路30号1#204,5983,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,5栋,370户
晶钻大厦,(昆山玉山城北)萧林路875,7576,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,1栋,10户
上海春天,(太仓港区)新港东路106号,5482,暂无信息 ,塔板结合,0.5至2元/平米/月,暂无信息,暂无信息,13栋,83户
常熟国际汽配城,(常熟藕渠)苏州市常熟市青墩塘路198号,4740,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,9栋,106户
锦丰新村,(张家港锦丰)金鹿路锦丰新村,6691,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,25栋,836户
富都花园,(张家港金港)天台北路15号,5808,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,176户
金湾花园,(张家港金港)中华路20号,5920,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,23栋,514户
聚兴苑,(张家港锦丰)锦中路5号,7162,暂无信息 ,板楼,1元/平米/月,暂无信息,暂无信息,40栋,777户
程墩花苑,(张家港凤凰)金阳路程墩花苑,4583,暂无信息 ,未知类型,1元/平米/月,暂无信息,暂无信息,15栋,338户
聚成苑,(张家港南丰)新丰路聚成苑,7755,暂无信息 ,塔板结合,1.2元/平米/月,业主自管,暂无信息,21栋,1088户
城建花园,(张家港金港)中港南路12号,6932,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,2栋,76户
文昌小区南区,(张家港金港)文昌路1号,6165,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,10栋,226户
锦中路7号,(张家港锦丰)锦中路7号,5945,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,24户
元丰小区,(张家港金港)天霸路元丰小区,6236,暂无信息 ,板楼/平房,1元/平米/月,暂无信息,暂无信息,35栋,893户
安利四村,(张家港金港)天台北路安利四村,6448,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,61户
和平苑,(张家港锦丰)锦绣路40号,6558,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,22栋,367户
塍德社区,(张家港金港)文星南路塍德社区,7153,暂无信息 ,塔板结合,1元/平米/月,暂无信息,暂无信息,45栋,1313户
中行家属楼,(张家港金港)中圩路中行家属楼,5805,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,28户
