小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
东湖国际花园,(襄州区襄州区)车城湖北路3号,7504,板楼,0.7至1.5元/平米/月,湖北华嘉物业公司,湖北华人置业投资有限公司,61栋,1722户
铁路大院南区,(樊城区樊城东区)白鹤巷铁路大院南区,7754,板楼,0.4至12元/平米/月,暂无信息,东大有限公司,8栋,447户
东津世纪城14区崇文府,(襄州区东津区)秦岭路东津世纪城14区崇文府,7685,塔板结合,1.4元/平米/月,湖北民发物业服务有限公司襄州分公司,民发实业集团有限公司,24栋,3045户
铁路老三院,(樊城区樊城东区)春城路铁路老三院,6737,塔楼/板楼/塔板结合/平房,0.2至0.4元/平米/月,单位自己物业,无,26栋,1387户
优地美舍,(襄州区襄州区)奔驰大道优地美舍,7494,板楼/平房,0.9至9元/平米/月,湖北枫林物业服务有限公司,襄阳康鑫佳实业有限公司,12栋,405户
和信名城,(襄州区襄州区)名城路20号,7424,塔板结合,1.4元/平米/月,好管家物业管理,襄阳瀚德房地产有限公司,7栋,1152户
东津世纪城13区瀚林院,(襄州区东津区)秦岭路东津世纪城13区瀚林院,7767,塔板结合,1.4元/平米/月,湖北民发物业服务有限公司襄州分公司,襄阳世纪城投资有限责任公司,24栋,2566户
蔬菜公司家属院,(樊城区樊城东区)大庆西路蔬菜公司家属院,7147,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,无,6栋,125户
天润坐标城,(襄州区襄州区)天润大道88号,4717,塔板结合,1.2元/平米/月,襄阳华中光彩大市场物业管理有限公司,润天地产,6栋,550户
人民路5710号,(樊城区樊城东区)人民路5710号,7763,板楼/平房,0.6元/平米/月,无物业管理服务,无,11栋,339户
襄阳新城A区,(襄州区襄州区)钻石大道68号,6921,板楼,1至1.3元/平米/月,襄阳市襄州瑞邦物业管理有限公司,襄阳九鼎房地产开发有限公司,17栋,1010户
锦绣家园,(襄城区鱼梁洲)明珠路6号,7568,塔楼/板楼/塔板结合,0.5至1.4元/平米/月,湖北丰茂物业服务有限公司,锦绣天地房产,31栋,654户
东风电器厂家属院,(襄城区襄城区)环山路东风电器厂家属院,7002,塔楼/板楼/塔板结合/平房,0.5至0.7元/平米/月,暂无信息,暂无信息,28栋,839户
董台小区烟厂家属院,(樊城区樊城东区)中清路董台小区烟厂家属院,7694,塔楼/板楼/塔板结合/平房,0.4至1.2元/平米/月,暂无信息,东风襄阳置业有限公司,28栋,1497户
经晨红星城市花园,(襄州区襄州区)交通路69号,7689,板楼,0.7至1.4元/平米/月,湖北威洋物业管理有限公司,湖北经晨投资实业集团有限公司,10栋,554户
储运家属院,(樊城区樊城东区)大庆东路12号,6436,板楼/塔板结合,暂无信息,暂无信息,单位自建,4栋,306户
轴承厂家属院 九街坊居民小区 襄城区,(襄城区襄城区)宝通路承厂家属院 九街坊居民小区 襄城区,6513,板楼,0.5元/平米/月,湖北丰茂物业服务有限公司,暂无信息,15栋,466户
福如家园,(樊城区樊城东区)丹江路23号,7716,板楼,0.6至1.4元/平米/月,襄阳市福如物业管理有限责任公司,襄阳福如房地产开发有限公司,5栋,266户
二汽新区,(襄州区襄州区)东风汽车大道1号,6625,板楼,0.7至1.2元/平米/月,东风襄阳置业有限责任公司物业服务分公司,东风置业公司,38栋,1308户
长征小区,(樊城区樊城东区)长征路112号,7129,塔楼/板楼/平房,0.5至20元/平米/月,暂无信息,新长征集团,9栋,362户
铁三院四合院,(樊城区樊城东区)前进路铁三院四合院,6251,塔楼/板楼/塔板结合,暂无信息,暂无信息, 重庆桥达茂宸房地产开发有限公司,5栋,187户
襄阳中环,(樊城区樊城西区)066县道襄阳中环,4293,板楼,0.5元/平米/月,暂无信息,单位自建,2栋,60户
