小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
陕西省高速公路建设集团有限公司西渭分公司家属院,(灞桥浐河西路)东三环西辅道36号,7485,板楼,0.2元/平米/月,陕西高速开发物业管理有限责任公司, 大理耀鹏房地产开发有限责任公司,4栋,87户
天正花园,(高陵高陵)长庆西路26号,7485,板楼/平房,0.3至1.2元/平米/月,暂无信息,暂无信息,46栋,2389户
潏河·公园世家,(长安长安)韦曲街潏河·公园世家,6390,板楼/平房,0.3至5元/平米/月,暂无信息,中山市丽景集团有限公司,9栋,527户
基建粮站家属院,(灞桥纺织城)纺建路92号,7757,未知类型,暂无信息,暂无信息,暂无信息,4栋,29户
三府湾天悦小区,(灞桥安装四处)长荣路三府湾天悦小区,7764,塔板结合,1.2元/平米/月,暂无信息,大连长荣房屋开发有限公司,1栋,465户
华融国际,(碑林黄雁村)南二环西段21号,7801,塔楼/塔板结合,2.5至12元/平米/月,西安怡利物业管理有限责任公司,无,3栋,293户
裕朗国际,(新城区城内)东二路183号（民生百货南侧）,7772,塔板结合,9元/平米/月,陕西曼联德威物业服务有限公司,陕西裕华房地产开发有限公司,1栋,870户
天坛西路杏园小区,(雁塔城南)长安南路196号,6994,塔楼/板楼/塔板结合/平房,0.4至1.5元/平米/月,业主自筹物业,常州市天坛置业有限公司,34栋,1758户
铭翔花园,(未央经开北)未央大学城向西200米,4748,板楼/塔板结合,0.6元/平米/月,西安长庆物业管理有限公司,河北铭祥投资有限公司,14栋,786户
香格里拉尚城,(未央经开北)昭远门路2398号,7467,塔板结合,1至1.2元/平米/月,西安宏尚物业公司,陕西省华洋投资开发有限公司,28栋,2304户
九月华城,(未央城北)城北鸵鸟王大厦向北200米路西,7801,塔板结合,1元/平米/月,暂无信息,大连永乐宏业集团有限公司,2栋,898户
荷花名苑,(未央城西)武警路附近,6576,塔板结合,1至2元/平米/月,小区物业,	西安大德房地产开发有限公司,14栋,1158户
高红小区,(未央经开北)城北北郊张家堡仕字东常青一路30号,5350,板楼,1至1.2元/平米/月,西安长庆物业管理有限公司,陕西高红房地产开发有限公司,14栋,655户
鑫园小区(未央),(未央西咸)孙武路鑫园小区,6247,板楼,暂无信息,暂无信息,暂无信息,6栋,240户
华清园小区,(临潼临潼)临潼区人民西路,6471,板楼/塔板结合,0.4元/平米/月,暂无信息,暂无信息,8栋,249户
西安正合锻压厂居民小区,(灞桥世博园)纺渭路1号北侧,6418,板楼,0.5元/平米/月,西安正合物业管理有限公司含元分公司,暂无信息,4栋,20户
四季长安,(长安长安)韦斗路以北,7165,塔楼/板楼/塔板结合,0.5元/平米/月,暂无信息,中海一号（天津）置业有限公司,30栋,1609户
