小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
许继光明小区,(魏都区魏都区)光明路3号,3671,塔楼/板楼,0.2至1元/平米/月,许昌物业管理有限公司,许昌市四通房地产开发公司,13栋,544户
光明新村,(魏都区魏都区)向阳路光明新村,3305,板楼/塔板结合,1元/平米/月,许昌物业管理有限公司,暂无信息,18栋,501户
纺织品家属院,(魏都区魏都区)解放路48号,3894,塔板结合,暂无信息,暂无信息,许昌市鼎鑫房产开发有限公司,4栋,181户
烟机厂家属院,(魏都区魏都区)光明路12号,3530,板楼/塔板结合/平房,0.1至1元/平米/月,许昌物业管理有限公司,暂无信息,24栋,758户
美墅福邸,(长葛市长葛市)铁东路842号,3303,塔板结合,1元/平米/月,暂无信息,许昌金悦置业有限公司,3栋,142户
南苑小区(长葛市),(长葛市长葛市)胥李街南苑小区,3040,塔板结合,1.5元/平米/月,业主自筹物业,河南利达置业有限公司,9栋,206户
消防支队家属院,(魏都区魏都区)毓秀路消防支队家属院,3547,板楼,暂无信息,单位自管物业,暂无信息,1栋,60户
许昌市五交化家属院,(魏都区魏都区)怡心街许昌市五交化家属院,3903,板楼/塔板结合,0.1至0.3元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,3栋,93户
大成公司家属院,(魏都区魏都区)铁西街32号,3561,板楼/塔板结合,0.3元/平米/月,暂无信息,四川大成建设开发有限公司,13栋,400户
农机校家属院,(魏都区魏都区)延安北路农机校家属院,3292,塔楼/板楼,暂无信息,许昌安居物业有限公司,许昌运输经贸集团公司,2栋,191户
玻璃厂家属院,(魏都区魏都区)工农路玻璃厂家属院,3114,板楼,0.8元/平米/月,暂无信息,"""苍南县中富房地产开发有限公司",5栋,183户
人防办家属院,(魏都区魏都区)五一路38号,3735,塔板结合,0.6元/平米/月,暂无信息,暂无信息,1栋,48户
孙湾小区,(魏都区魏都区)许都路孙湾小区,3746,塔楼,1.5元/平米/月,龙祥物业管理有限公司,龙翔房地产开发公司,16栋,1027户
市日杂公司家属院,(魏都区魏都区)新兴路109号,3486,板楼,1元/平米/月,暂无信息,暂无信息,1栋,6户
九六七六厂西家属院,(魏都区魏都区)光明路6号,3754,板楼,1元/平米/月,暂无信息,暂无信息,8栋,224户
裕丰家属院,(魏都区魏都区)运粮河街裕丰家属院,3816,未知类型,暂无信息,暂无信息,暂无信息,2栋,25户
许昌市魏都区畜牧局家属院,(魏都区魏都区)华佗路许昌市魏都区畜牧局家属院,3190,平房,0.6元/平米/月,暂无信息,万象天成（北京）商用置业有限公司,1栋,70户
豫冠食品有限公司2号家属院,(魏都区魏都区)新兴西路豫冠食品有限公司2号家属院,3903,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,21户
工商局家属院,(建安区建安区)振兴路35号,3548,板楼,1元/平米/月,暂无信息,许昌金质建设有限公司,2栋,42户
日月苑,(魏都区魏都区)新兴路53号,3871,板楼,0.8元/平米/月,明苑物业管理有限公司, 嘉兴世茂新世纪置业有限公司,10栋,372户
万通小区,(建安区建安区)许由西路463号,3463,板楼,0.5元/平米/月,暂无信息, 嘉兴世茂新世纪置业有限公司,4栋,144户
康居小区,(魏都区魏都区)许由西路2045号,3474,塔板结合,1.8元/平米/月,暂无信息,许昌广杰房地产有限公司,2栋,96户
兴昌小区,(建安区建安区)兴昌路717号,2881,板楼,暂无信息,暂无信息,暂无信息,2栋,84户
物资局家属院(建安区),(建安区魏都区)农贸路北段170号,3800,塔板结合,8元/平米/月,暂无信息,上海中辉置业发展有限公司,3栋,44户
铁路家属院北院,(魏都区魏都区)解放北路铁路家属院北院,3791,板楼/塔板结合,0.5元/平米/月,许昌东安物业管理有限公司,暂无信息,10栋,437户
园丁小区,(魏都区魏都区)裴山庙路园丁小区,3313,塔板结合,0.8元/平米/月,暂无信息,许昌中原房地产开发有限公司,6栋,172户
华丽小区北区,(魏都区魏都区)许由路华丽小区北区,3605,板楼,0.8元/平米/月,暂无信息,暂无信息,4栋,155户
塔湾村第三小组,(魏都区魏都区)毓秀路塔湾村第三小组,3841,板楼,0.5元/平米/月,无物业管理服务,沈阳恒辉不动产置业有限公司塔湾分公司,2栋,14户
双龙小区,(魏都区魏都区)延安路双龙小区,3850,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,57户
电影公司家属院(长葛市),(长葛市长葛市)机场路198号,2619,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
豫冠食品有限公司2号家属院,(魏都区魏都区)新兴西路豫冠食品有限公司2号家属院,3903,板楼,0.5元/平米/月,暂无信息,暂无信息,2栋,21户
铁路家属院北院,(魏都区魏都区)解放北路铁路家属院北院,3791,板楼/塔板结合,0.5元/平米/月,许昌东安物业管理有限公司,暂无信息,10栋,437户
园丁小区,(魏都区魏都区)裴山庙路园丁小区,3313,塔板结合,0.8元/平米/月,暂无信息,许昌中原房地产开发有限公司,6栋,172户
双龙小区,(魏都区魏都区)延安路双龙小区,3850,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,57户
电影公司家属院(长葛市),(长葛市长葛市)机场路198号,2619,板楼,暂无信息,暂无信息,暂无信息,1栋,20户
物资贸易中心家属院,(魏都区魏都区)解放北路物资贸易中心家属院,3296,板楼,1元/平米/月,暂无信息,无开发商,5栋,149户
孙湾小区,(魏都区魏都区)许都路孙湾小区,3746,塔楼,1.5元/平米/月,龙祥物业管理有限公司,龙翔房地产开发公司,16栋,1027户
工行家属院(魏都区),(魏都区魏都区)许继大道工行家属院,3580,板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,2栋,61户
工商局家属院,(建安区建安区)振兴路35号,3548,板楼,1元/平米/月,暂无信息,许昌金质建设有限公司,2栋,42户
日月苑,(魏都区魏都区)新兴路53号,3871,板楼,0.8元/平米/月,明苑物业管理有限公司, 嘉兴世茂新世纪置业有限公司,10栋,372户
万通小区,(建安区建安区)许由西路463号,3463,板楼,0.5元/平米/月,暂无信息, 嘉兴世茂新世纪置业有限公司,4栋,144户
铁路分局家属院,(魏都区魏都区)解放路铁路分局家属院,3499,塔板结合,0.8元/平米/月,暂无信息,暂无信息,1栋,32户
物资局家属院(建安区),(建安区魏都区)农贸路北段170号,3800,塔板结合,8元/平米/月,暂无信息,上海中辉置业发展有限公司,3栋,44户
许继延边小区,(魏都区魏都区)向阳路许继延边小区,2981,未知类型,暂无信息,暂无信息,暂无信息,6栋,101户
许由金苑,(魏都区魏都区)许由西路许由金苑,3650,板楼,0.5元/平米/月,暂无信息,许昌金质建设有限公司,5栋,242户
康居小区,(魏都区魏都区)许由西路2045号,3474,塔板结合,1.8元/平米/月,暂无信息,许昌广杰房地产有限公司,2栋,96户
兴昌小区,(建安区建安区)兴昌路717号,2881,板楼,暂无信息,暂无信息,暂无信息,2栋,84户
五一路办事处光明中段,(魏都区魏都区)五一路办事处光明中段,3758,塔板结合,0.2元/平米/月,暂无信息,暂无信息,2栋,73户
新许路12号,(建安区建安区)新许路12号,3454,板楼,0.2元/平米/月,暂无信息,暂无信息,1栋,10户
枪杆刘村小区,(建安区建安区)新许路西772号,3587,板楼,1元/平米/月,暂无信息,暂无信息,1栋,36户
七里店乡政府住宅楼,(魏都区魏都区)颍川路七里店乡政府住宅楼,2866,板楼,暂无信息,暂无信息, 合肥万科瑞翔地产有限公司,1栋,11户
第一橡胶厂家属院,(魏都区魏都区)碾后街第一橡胶厂家属院,3379,板楼/塔板结合,暂无信息,许昌安居物业有限公司,许昌万方置业有限公司,7栋,144户
建安区人民武装部家属院,(建安区建安区)瑞贝卡大道建安区人民武装部家属院,3788,塔板结合,1元/平米/月,暂无信息,暂无信息,1栋,7户
县工商局院,(建安区建安区)魏风路县工商局院,3492,板楼,1元/平米/月,暂无信息,暂无信息,1栋,20户
铁路家属院,(魏都区魏都区)冯庄巷铁路家属院,3638,未知类型,0.15元/平米/月,暂无信息,暂无信息,4栋,126户
柏梁社区,(鄢陵县鄢陵县)许鄢城际快速通道柏梁社区,3854,塔板结合,1.2元/平米/月,暂无信息,暂无信息,30栋,1097户
梅苑新村,(鄢陵县鄢陵县)开源路梅苑新村,3542,塔板结合,1.2元/平米/月,暂无信息,暂无信息,21栋,582户
水厂家属院,(魏都区魏都区)向阳路水厂家属院,3980,塔楼/板楼,0.5元/平米/月,腾飞物业管理有限公司,腾飞地产开发有限公司,3栋,115户
203北院,(魏都区魏都区)许由西路203北院,3516,板楼,暂无信息,暂无信息,暂无信息,2栋,110户
长葛众品家属院,(长葛市长葛市)铁东路长葛众品家属院,2203,未知类型,暂无信息,暂无信息,暂无信息,17栋,239户
海韵国际花园,(长葛市长葛市)钟繇北路2299号,3189,板楼,0.68元/平米/月,长葛市佳园物业有限公司,许昌市海港置业有限公司,19栋,823户
市政法干校家属院,(魏都区魏都区)文峰中路市政法干校家属院,3658,板楼,0.65元/平米/月,暂无信息,暂无信息,1栋,24户
市交警支队家属院中院,(魏都区魏都区)塔东路市交警支队家属院中院,3793,塔板结合,0.9至10元/平米/月,无物业管理服务,上大阳光,3栋,62户
废旧家属院小区,(魏都区魏都区)向阳路废旧家属院小区,3757,塔板结合,0.5元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,2栋,33户
御通苑,(禹州市禹州市)倒座南街76号,2401,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
学府佳苑,(禹州市禹州市)槐荫街110号,3204,未知类型,暂无信息,暂无信息,暂无信息,1栋,180户
航韵华府,(禹州市禹州市)远航路168号,3689,未知类型,暂无信息,暂无信息,暂无信息,4栋,240户
金地小区,(长葛市长葛市)人民路金地小区,2235,板楼,暂无信息,暂无信息,暂无信息,3栋,92户
智达幸福港湾,(长葛市长葛市)文明街智达幸福港湾,3540,未知类型,暂无信息,暂无信息,河南智达置业有限公司,3栋,161户
铭心小区,(长葛市长葛市)铭心路铭心小区,1921,未知类型,暂无信息,暂无信息,暂无信息,10栋,276户
许昌技术经济学校家属区,(长葛市长葛市)学苑路许昌技术经济学校家属区,3312,塔板结合,0.78元/平米/月,许昌天晟物业管理有限公司,河南民安置业集团,12栋,536户
红旗小区A区,(长葛市长葛市)人民南路1137号,2649,未知类型,暂无信息,暂无信息,暂无信息,3栋,79户
盛世名苑,(长葛市长葛市)长社中路盛世名苑,3653,塔板结合,20元/平米/月,许昌盛世德物业管理有限公司,河南世纪金源置业有限公司,3栋,109户
文兴路种子公司家属院,(建安区建安区)文兴路种子公司家属院,3743,塔板结合,0.5元/平米/月,暂无信息,暂无信息,2栋,31户
君都小区,(长葛市长葛市)秦公路君都小区,3519,塔板结合,0.75元/平米/月,暂无信息,君华集团有限公司,3栋,129户
百禾·中央都市公寓,(长葛市长葛市)铁东路百禾·中央都市公寓,3723,板楼,1元/平米/月,暂无信息,百合置业有限公司,7栋,199户
老农委家属院,(魏都区魏都区)南关大街老农委家属院,3805,板楼,0.4元/平米/月,暂无信息,武汉宏源祥商贸有限公司,1栋,54户
市农场家属院,(魏都区魏都区)建安路15号,3323,未知类型,暂无信息,暂无信息,暂无信息,1栋,40户
幸福佳苑,(长葛市长葛市)铁东北路278号,2429,塔楼,1元/平米/月,暂无信息,暂无信息,11栋,233户
美景花园,(长葛市长葛市)铁东南路907号,2582,板楼,1元/平米/月,暂无信息,河南九合置业有限公司,5栋,39户
万丰小区,(长葛市长葛市)长社路万丰小区,2523,板楼,0.3元/平米/月,暂无信息,暂无信息,2栋,66户
丽英怡苑,(长葛市长葛市)铭心路丽英怡苑,3600,板楼,0.2元/平米/月,暂无信息,长葛滨海置业有限公司,1栋,288户
八一新村,(长葛市长葛市)建设路八一新村,2331,板楼/平房,0.5元/平米/月,暂无信息,暂无信息,5栋,64户
城市花园二号院,(长葛市长葛市)秦公路149号,2369,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,4栋,198户
长葛市第一小学南家属院,(长葛市长葛市)新华路202号,2079,塔板结合,暂无信息,暂无信息,暂无信息,1栋,32户
怡居苑,(长葛市长葛市)滨河路288号,3830,塔板结合,0.5元/平米/月,暂无信息,中怡投资有限公司,3栋,84户
农技校家属院,(长葛市长葛市)新华西路206号,2996,塔板结合,0.65元/平米/月,暂无信息,暂无信息,4栋,73户
兴和苑,(长葛市长葛市)铁东路兴和苑,3285,塔板结合,0.65元/平米/月,暂无信息,暂无信息,8栋,197户
长葛市益民村家属院,(长葛市长葛市)益民街长葛市益民村家属院,2009,塔板结合,0.6元/平米/月,暂无信息,暂无信息,2栋,42户
农机公司家属院,(长葛市长葛市)人民路373号,3860,平房,0.8元/平米/月,暂无信息,暂无信息,3栋,90户
天隆小区,(长葛市长葛市)建设南路2221号,2221,板楼,1元/平米/月,暂无信息,暂无信息,4栋,104户
宇龙居民生活区,(长葛市长葛市)长社中路宇龙居民生活区,1964,塔板结合,1元/平米/月,暂无信息,暂无信息,7栋,152户
首府花园,(长葛市长葛市)八七路首府花园,3176,塔楼,1元/平米/月,自持物业,上海乾首置业有限公司,3栋,267户
许昌市科技局住宅楼,(魏都区魏都区)光明路许昌市科技局住宅楼,3456,塔板结合,暂无信息,腾飞物业管理有限公司,许昌腾飞地产开发有限公司,4栋,76户
禹王花苑,(禹州市禹州市)禹王大道禹王花苑,3611,未知类型,暂无信息,暂无信息,暂无信息,6栋,214户
文锦苑,(长葛市长葛市)建设南路文锦苑,2639,板楼,12元/平米/月,金科物业服务集团有限公司许昌分公司,河南万隆方正置业有限公司,3栋,150户
锦绣华府(长葛市),(长葛市长葛市)潩水路锦绣华府(长葛市),3460,板楼,暂无信息,暂无信息,暂无信息,3栋,68户
塔湾村第七小组第三小区,(魏都区魏都区)毓秀北路1068号,2704,板楼,0.5元/平米/月,暂无信息,无开发商,2栋,26户
国税局家属院,(魏都区魏都区)建设路国税局家属院,2201,板楼,0.5元/平米/月,许昌市万和物业管理有限公司, 重庆汇东房地产开发有限公司,4栋,134户
阳光小区(长葛市),(长葛市长葛市)长社西路1399号,3003,塔板结合,0.57元/平米/月,暂无信息,许昌市恒达建设有限公司,4栋,121户
食品公司家属院,(魏都区魏都区)新兴西路食品公司家属院,4049,板楼,30元/平米/月,许昌市物业管理有限公司,许昌市市政实业有限公司,2栋,49户
计量所家属院,(魏都区魏都区)向阳路计量所家属院,3187,塔板结合,1元/平米/月,暂无信息,暂无信息,3栋,33户
许昌卫生学校家属院北院,(魏都区魏都区)五一路许昌卫生学校家属院北院,3635,板楼/塔板结合,暂无信息,暂无信息,暂无信息,3栋,64户
解放南路502号,(魏都区魏都区)解放南路502号,3658,未知类型,暂无信息,暂无信息,暂无信息,5栋,169户
粮食局集资楼,(建安区建安区)魏风路232号,2999,未知类型,暂无信息,暂无信息,暂无信息,2栋,124户
戏曲艺术发展中心家属院,(魏都区魏都区)文峰中路戏曲艺术发展中心家属院,2741,塔楼,0.5元/平米/月,暂无信息,许昌市海港置业有限公司,1栋,50户
宾馆院,(魏都区魏都区)建安大道东段宾馆院,3707,板楼,暂无信息,暂无信息,暂无信息,2栋,48户
汽贸工行家属院,(魏都区魏都区)许继大道汽贸工行家属院,3249,未知类型,暂无信息,暂无信息,暂无信息,2栋,78户
建安社区,(魏都区魏都区)华佗路建安社区,3869,板楼,1元/平米/月,暂无信息,许昌大正置业有限公司,4栋,168户
大成公司家属院,(魏都区魏都区)劳动西巷204号,3811,板楼,暂无信息,暂无信息,暂无信息,3栋,96户
绝缘厂家属院,(魏都区魏都区)群众路绝缘厂家属院,3274,板楼,暂无信息,暂无信息,许昌大正置业有限公司,5栋,127户
绝缘厂家属院北苑,(魏都区魏都区)董碾路绝缘厂家属院北苑,3818,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
万里公司22号家属院,(魏都区魏都区)兴华路万里公司22号家属院,3695,板楼/塔板结合,0.4至4元/平米/月,万里物业管理有限公司,万里开发有限公司,13栋,379户
魏都农贸市场住宅楼,(魏都区魏都区)解放路魏都农贸市场住宅楼,3672,板楼,1元/平米/月,河南华丰物业有限公司,佳木斯正阳大成投资有限公司,6栋,45户
化工公司家属院,(魏都区魏都区)文会街化工公司家属院,3211,板楼,1元/平米/月,许昌鼎鑫物业服务有限公司,海南省化工厂,2栋,66户
烟行街房管局家属院,(魏都区魏都区)烟行街房管局家属院,3657,板楼,0.4元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,3栋,61户
热电厂宿舍楼,(魏都区魏都区)五一路热电厂宿舍楼,3698,板楼,暂无信息,暂无信息,暂无信息,5栋,151户
