小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
安峡时代广场,(清镇市清镇)清镇市安峡时代广场,3892,塔楼,1.2元/平米/月,暂无信息,暂无信息,6栋,21户
创业小区,(清镇市清镇)后午路创业小区,3887,未知类型,暂无信息,暂无信息,暂无信息,4栋,33户
湖滨小区1号,(清镇市清镇)清镇市红枫湖镇清镇发电厂湖滨小区2栋2单元1层1号,3359,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
清坊家属区,(清镇市清镇)星坡路318号,3839,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
富源中路70号,(南明区二戈寨)富源中路70号,3738,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
后午电厂宿舍,(清镇市清镇)清镇市(红枫湖东北侧约50米),3077,未知类型,暂无信息,暂无信息,暂无信息,10栋,53户
后午电建二公司生活宿舍,(清镇市清镇)贵州省贵阳市清镇市红枫湖镇清电社区居委会,3168,未知类型,暂无信息,暂无信息,暂无信息,2栋,2户
新华路8号,(清镇市清镇)新华路8号,3803,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
百花湖乡竹林村车田组1栋,(观山湖区百花湖)观山湖区百花湖乡竹林村车田组1栋,3889,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
富源南路278号,(南明区二戈寨)富源南路278号,3309,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
幸福小区,(白云区白云师大)文化路17号,5820,板楼,0.48至0.5元/平米/月,暂无信息,物业和度娘都不知道开发商名称,9栋,394户
白云社区服务中心,(白云区白云公园)同心东路白云社区服务中心,5713,板楼,暂无信息,暂无信息,暂无信息,1栋,83户
碧龙花园,(南明区二戈寨)西南环路碧龙花园,6029,未知类型,暂无信息,暂无信息,暂无信息,18栋,802户
乌当后所新村,(乌当区乐湾国际)北京东路乌当后所新村,4576,塔板结合,1元/平米/月,暂无信息,暂无信息,33栋,1033户
阳光水岸,(清镇市清镇)贵阳市清镇市红枫湖镇云岭东路,5131,塔楼,1.2元/平米/月,暂无信息,暂无信息,5栋,384户
安泰小区,(乌当区保利温泉)新泉路12号,5788,塔板结合,0.8元/平米/月,无物业公司,暂无资料,4栋,186户
市西巷92号,(云岩区大西门)市西巷92号,5302,板楼,暂无信息,暂无信息,贵州红星利尔置业有限公司,1栋,28户
阳晨美林,(乌当区振华广场)威门路阳晨美林,5350,板楼,1.2元/平米/月,四川中川物业管理有限公司,贵州金晨置业投资开发有限公司,19栋,860户
建设小区,(白云区白云公园)支四路建设小区,5494,塔楼/板楼/塔板结合,暂无信息,贵阳振华物业,贵阳金凤凰大厦房屋开发公司,12栋,382户
