小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
解放路22号,(章贡区老城区)解放路22号,3816,未知类型,暂无信息,暂无信息,暂无信息,2栋,55户
明珠花苑,(瑞金市瑞金市)龙珠路220号,3606,塔楼,1.2元/平米/月,暂无信息,赣州航城置业有限公司,3栋,75户
中心农贸市场,(南康区南康区)宝林路8-6号,3805,塔板结合,0.9元/平米/月,暂无信息,宏康房地产开发有限公司,4栋,139户
财富港南区,(会昌县会昌县)湘南三路财富港南区,3686,未知类型,暂无信息,暂无信息,暂无信息,3栋,177户
尚水龙城,(大余县大余县)尚水龙城路尚水龙城,当前网页找不到元素（价格）,板楼,1元/平米/月,吉祥物业,赣州市章贡佳和置业有限公司,9栋,552户
华能大道83号,(赣县区赣县区)华能大道83号,3157,平房,暂无信息,暂无信息,暂无信息,1栋,6户
茅店兴农路,(赣县区赣县区)茅店兴农路,2741,未知类型,暂无信息,暂无信息,暂无信息,2栋,7户
燕塘公寓,(赣县区赣县区)赣新大道燕塘公寓,3712,平房,0.5元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,1栋,42户
梅林大街33号,(赣县区赣县区)梅林大街33号,5939,塔板结合,15元/平米/月,彩生活物业有限公司,深圳实业(深圳)有限公司,4栋,104户
政协家属楼,(南康区南康区)泰康西大道政协家属楼,3631,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
解放西路15号,(宁都县宁都县)解放西路15号,3798,平房,1.1元/平米/月,暂无信息,暂无信息,1栋,1户
松三里小区,(赣县区赣县区)三角塘路松三里小区,3752,未知类型,暂无信息,暂无信息,暂无信息,7栋,125户
东门北路258号,(南康区南康区)东门北路258号,3668,未知类型,暂无信息,暂无信息,暂无信息,1栋,48户
关爱路33号,(章贡区老城区)关爱路33号,3783,未知类型,暂无信息,暂无信息,暂无信息,1栋,4户
工商银行家属楼,(南康区南康区)迎春路工商银行家属楼,3565,平房,暂无信息,暂无信息,暂无信息,2栋,72户
菜市北路1号,(赣县区赣县区)菜市北路1号,3627,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
房管局家属楼,(南康区南康区)迎春路房管局家属楼,3482,未知类型,暂无信息,暂无信息,暂无信息,1栋,8户
茅店新市民公寓,(赣县区赣县区)赣县区教育路,3397,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
迎宾东大道167号,(南康区南康区)迎宾东大道167号,3835,未知类型,暂无信息,暂无信息,暂无信息,1栋,14户
盛世名城南区,(大余县大余县)梅国南路盛世名城南区,3811,未知类型,暂无信息,暂无信息,暂无信息,3栋,112户
东门北路196号,(南康区南康区)东门北路196号,3751,塔板结合,暂无信息,暂无信息,暂无信息,1栋,21户
手工业联社家属楼,(南康区南康区)宝林路手工业联社家属楼,3257,未知类型,暂无信息,暂无信息,暂无信息,1栋,70户
章贡安置区,(赣县区赣县区)城南大道章贡安置区,2824,未知类型,暂无信息,暂无信息,暂无信息,64栋,2706户
奎角上71号,(南康区南康区)东门北路奎角上71号,3566,未知类型,暂无信息,暂无信息,暂无信息,1栋,12户
经贸大厦,(南康区南康区)宝林路经贸大厦,3537,未知类型,暂无信息,暂无信息,暂无信息,1栋,56户
梅林大街61号,(赣县区赣县区)梅林大街61号,3830,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
