小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
世纪苑安置房,(通川区中心广场)朝阳东路599号,3245,板楼,0.5元/平米/月,未知,未知,2栋,105户
国土局安置房,(达川区南客站)韩家巷162号,3801,塔板结合,0.5元/平米/月,无,达州市通川区恒基经济开发有限责任公司,7栋,593户
绥定小区,(通川区中心广场)荷叶街100号,3631,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,无开发商,6栋,186户
干警小区,(通川区北客站)风鸣街干警小区,3749,板楼/平房,0.9元/平米/月,暂无信息,暂无信息,11栋,250户
曹家梁社区,(达川区万达路)福达街2063号,3122,板楼,0.4至0.5元/平米/月,暂无信息,四川清晨实业集团有限公司,10栋,378户
曹家梁社区四小区,(达川区万达路)曹家梁街116,3054,塔楼/塔板结合,暂无信息,暂无信息,暂无信息,12栋,553户
天源大厦,(达川区三里坪)西环路1023号,3879,塔板结合,0.7元/平米/月,暂无信息,四川建筑公司,2栋,176户
芳维公寓,(达川区三岔路口)石家湾路228号,3572,板楼,0.6元/平米/月,暂无信息,物业和度娘都不知道开发商名称,2栋,119户
科利达小区,(达川区南客站)永定巷102号,3768,板楼,0.4至0.7元/平米/月,暂无信息,上海万毅实业发展有限公司,2栋,45户
富康大院,(达川区南客站)南新巷171号,3505,板楼,20元/平米/月,无物业管理服务,达州福森置业有限公司,2栋,74户
达州市达川区审计局,(达川区南客站)富民街65号,3059,塔楼/塔板结合,0.8元/平米/月,暂无信息,达州凯龙置业有限公司,3栋,224户
四合院小区263号,(达川区南坝)南坝路265号,3450,板楼,0.5元/平米/月,暂无信息,暂无信息,1栋,84户
中山大厦,(达川区南客站)民乐街176号,3785,板楼,0.6元/平米/月,暂无信息, 西安保亿名卓置业有限公司,1栋,79户
四通宾馆,(达川区三岔路口)西南巷四通宾馆,3146,板楼,0.8元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,2栋,120户
阳光新跨越小区,(达川区三岔路口)西环路861号,3905,塔楼,0.5元/平米/月,暂无信息,物业和度娘都不知道开发商名称,3栋,167户
金煌花园,(通川区复兴镇)魏复路金煌花园,3123,塔楼,0.5元/平米/月,暂无信息,暂无信息,2栋,133户
金丝花园,(达川区三岔路口)金丝街24号,3394,塔板结合,暂无信息,无物业管理服务,四川高达房产,5栋,206户
达州市气象局,(达川区三岔路口)天桥巷94号,3079,塔楼,0.5元/平米/月,四川路桥通锦物业有限公司,四川长富集团,4栋,114户
金南社区,(通川区西客站)金龙大道金南社区,3306,塔板结合,0.5元/平米/月,四川达州市鼎豪物业公司, 陕西亿润经贸有限公司 ,3栋,160户
新南街95号,(达川区三岔路口)新南街95号,3657,塔板结合,10元/平米/月,暂无信息,达县正南房地产开发有限公司,1栋,36户
康鑫花苑,(通川区西客站)金龙大道58号,3655,塔板结合,15元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,6栋,201户
财政局家属院,(达川区三里坪)通达东路200号,3790,塔楼,0.5元/平米/月,四川心连心物业服务有限公司,达州市银河房地产开发公司,3栋,62户
南滨路一段276号,(达川区三里坪)南滨路一段276号,3242,未知类型,暂无信息,暂无信息,暂无信息,2栋,96户
