小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金属公司家属楼,(中牟县中牟城区)东风路金属公司家属楼,3903,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
索河路招待所家属楼,(荥阳市荥阳城区)索河路135-40号,3680,板楼,暂无信息,暂无信息,河南绿洲集团,1栋,35户
大潘庄潘大栓开发楼,(中牟县中牟城区)民康路大潘庄潘大栓开发楼,3722,未知类型,暂无信息,暂无信息,暂无信息,3栋,12户
中牟印刷厂家属院,(中牟县中牟城区)青年路中牟印刷厂家属院,3872,塔板结合,0.3元/平米/月,河南兴联物业, 重庆汇东房地产开发有限公司,2栋,48户
城东路丁玉香,(中牟县中牟城区)城东路丁玉香,3840,板楼,25元/平米/月,郑州好利来,河南民安置业集团,1栋,3户
矿务局家属院,(荥阳市荥阳城区)汜河路矿务局家属院,3840,板楼,0.5元/平米/月,河南一安物业管理有限公司公司, 西安保亿名卓置业有限公司,2栋,64户
政协家属院,(新郑市新郑城区)中华路南段226号,3772,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
统计局家属院改造区,(荥阳市荥阳城区)索河西路36号,3865,板楼/塔板结合,0.17至5元/平米/月,暂无信息, 郑州四棉置业有限公司,4栋,82户
城关信用社,(荥阳市荥阳城区)成皋路城关信用社,3528,板楼,5元/平米/月,暂无信息,建业住宅集团,1栋,36户
塔山路13号,(荥阳市荥阳城区)塔山路13号,3881,塔板结合,5元/平米/月,郑州唯科物业管理有限公司,烟台塔山临海置业有限公司,3栋,72户
招待所改造区,(荥阳市荥阳城区)索河路58号,3895,板楼,0.21元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,3栋,60户
水务局楼院,(中牟县中牟城区)官渡大街水务局楼院,3902,未知类型,暂无信息,暂无信息,暂无信息,3栋,66户
金龙小区,(上街区上街区)丹江北路金龙小区,3856,板楼/塔板结合,0.35至0.5元/平米/月,暂无信息,潍坊亚星置业有限公司,8栋,231户
友谊街15号院,(上街区上街区)友谊街15号院,3887,塔板结合,0.8元/平米/月,暂无信息,未知,4栋,160户
天和花园,(登封市登封市)太和路天和花园,3820,未知类型,暂无信息,暂无信息,暂无信息,12栋,564户
祥和三街六巷1号,(新郑市新郑城区)祥和三街六巷1号,3729,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
物资公司家属院,(荥阳市荥阳城区)汜河路物资公司家属院,3549,板楼,5元/平米/月,暂无信息,河南一九四九置业公司,1栋,49户
