小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
金竹村残联集资综合楼,(江津西段)滨西街13号,3868,2004年建成 ,板楼,0.8元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,1栋,24户
物价局家属院,(江津西段)广法宫街84号,3886,2000年建成 ,塔板结合,暂无信息,业主自筹物业, 重庆汇东房地产开发有限公司,1栋,86户
斑竹村小区,(北碚城南新区)天生路216号,3880,1995年建成 ,塔板结合,1.8元/平米/月,佳源物业, 重庆汇东房地产开发有限公司,21栋,467户
璧铜路203号,(璧山璧山)璧铜路203号,3890,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,50户
民主路104号,(璧山璧山)民主路104号,3891,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,46户
龙源居,(璧山璧山)向阳街255号,3891,2010年建成 ,塔板结合,0.5元/平米/月,暂无信息,暂无信息,1栋,40户
璧渝路333号,(璧山璧山)璧渝路333号,3905,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,36户
学林雅园,(合川合川)瑞山西路10号,3877,2008年建成 ,板楼,0.3至0.65元/平米/月,暂无信息,暂无信息,6栋,314户
重庆市巫山县县人民医院宿舍,(巫山县巫山县)广东路重庆市巫山县县人民医院宿舍,3875,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,79户
远林一街6号,(璧山璧山)远林一街6号,3880,暂无信息 ,未知类型,0.3元/平米/月,暂无信息,暂无信息,1栋,50户
大有后街综合楼,"(江津西段)三九街10号, 三九街12号",3868,暂无信息 ,塔楼,1元/平米/月,电建物业,暂无信息,1栋,27户
教委家属院,(合川合川)瑞山路教委家属院,3873,暂无信息 ,未知类型,0.1元/平米/月,暂无信息,暂无信息,3栋,92户
璧青北路472附1号,(璧山璧山)璧青北路472号附1号,3871,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
利川花苑,(合川合川)高利路利川花苑,3880,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,3栋,50户
璧永路29号附2号,(璧山璧山)璧永路29号附2号,3889,2007年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,1栋,64户
新生街56号,(璧山璧山)新生街56号,3864,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,18户
嘉滨路202号,(合川合川)嘉滨路202号,3900,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,16户
嘉陵街11号,(合川合川)嘉陵街11号,3883,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,112户
渝荣小区,(荣昌区荣昌)海棠4支路29号,3905,2005年建成 ,塔板结合,1元/平米/月,暂无信息,暂无信息,6栋,490户
朵力半岛香颂西苑,(长寿桃花新城)桃源东一路3号,4848,2011年建成 ,塔楼,1.1元/平米/月,重庆朵力物业管理有限公司,重庆钢铁集团朵力房地产股份有限公司,11栋,3113户
顺风亭,(长寿老城片区)黄桷湾,4175,2000年建成 ,塔楼/板楼,暂无信息,无物业管理服务,长寿第六建筑有限公司,18栋,5733户
桃花大道,(长寿老城片区)桃花大道,4318,1998年建成 ,塔楼/板楼/塔板结合,0.6元/平米/月,无物业管理服务,无开发商,74栋,3728户
在水一方二期,(长寿桃花新城)站东路18号,4381,2000年建成 ,塔楼/板楼/平房,1.1元/平米/月,暂无信息,重庆银星公司,15栋,2298户
怡然街,(江津老城区)怡然街,4780,1994年建成 ,塔楼/板楼/塔板结合,0.3元/平米/月,无物业管理服务,无开发商,46栋,1193户
长寿路,(长寿老城片区)长寿路,4001,1928年建成 ,板楼/塔板结合/平房,0.2至10元/平米/月,无物业管理服务,无开发商,150栋,7832户
向阳街(长寿),(长寿老城片区)向阳街(长寿),4759,1989年建成 ,塔楼/板楼/塔板结合/平房,0.7至2元/平米/月,无物业管理服务,无开发商,58栋,4720户
望江路,(长寿老城片区)望江路,4274,1988年建成 ,塔楼/板楼/塔板结合/平房,0.8至20元/平米/月,无物业管理服务,无开发商,290栋,10622户
云顶香榭,(长寿老城片区)平湖路3号,4029,2000年建成 ,塔楼/板楼,0.8至1.1元/平米/月,无物业管理服务,金科地产开发有限公司,5栋,444户
龙凤一村,(北碚城南新区)龙凤路龙凤一村,4772,1990年建成 ,板楼,8元/平米/月,暂无信息,重庆银星公司,21栋,502户
锦绣佳苑,(江津滨江中路)江津区几江长风路562号,4662,2008年建成 ,板楼,0.4元/平米/月,重庆市富强物业管理有限公司,重庆皓正房地产开发有限责任公司,3栋,187户
陈家坡,(长寿老城片区)凤岭,4153,1985年建成 ,塔楼/板楼/塔板结合,18元/平米/月,无物业管理服务,重庆光宇建设开发有限公司,23栋,1076户
东方之骄,(长寿老城片区)桃花大道58号,4463,1999年建成 ,塔楼/塔板结合,0.8至0.9元/平米/月,无物业管理服务,无开发商,25栋,2427户
生活林,(江津老城区)鼎山大道500号,4025,2001年建成 ,塔楼/板楼,0.4元/平米/月,重庆市富强物业管理有限公司,重庆市江津区建宇房地产开发有限责任公司,12栋,548户
蜀果花园,(江津西段)鼎山大道130号,4733,2005年建成 ,塔楼,0.6元/平米/月,暂无信息,重庆市江津建筑建材总公司,1栋,240户
寿城水岸,(长寿古镇片区)寿城水岸,4498,2002年建成 ,塔楼,1.5元/平米/月,暂无信息,金科地产开发有限公司,14栋,3300户
城南,"(江津老城区)树人街125号, 城南路10号, 城南路61号",4724,1985年建成 ,板楼,0.5元/平米/月,重庆富强物业有限公司,无开发商,17栋,1298户
津源居,(江津西段)滨江路西段31号,4453,2001年建成 ,塔楼/板楼,0.5至0.67元/平米/月,重庆市巨恒物业,重庆市德高房地产开发有限公司,12栋,470户
荣华,(江津西段)滨江路西段28号,4246,2000年建成 ,塔楼/板楼,0.4元/平米/月,重庆市江津区荣华物业管理有限公司,无开发商,3栋,2740户
云峰阁,(长寿老城片区)园丁路28号,4869,2000年建成 ,板楼,暂无信息,无,无开发商,19栋,2509户
西园路56号,(江津西段)西园路56号,4490,2000年建成 ,塔楼,0.5元/平米/月,暂无信息,重庆融华房地产有限公司/重庆融汇实业有限公司,1栋,28户
渝西半岛二号还房,"(江津东部新城)鼎山大道50号, 鼎山大道854号",4582,2005年建成 ,塔楼,0.25元/平米/月,江津鹏程物业管理有限公司,重庆渝西半岛实业有限公司,11栋,1154户
金山华府,(长寿老城片区)金 山街8号,4155,2008年建成 ,塔楼/板楼,0.8元/平米/月,重庆欧瑞置业发展有限公司,四川省聚丰房地产开发有限责任公司3,3栋,570户
骑龙山庄(江津),(江津琅山片区)鼎山大道638号,4519,2006年建成 ,塔板结合,0.5元/平米/月,重庆市君信物业管理有限公司,重庆市贵福房地产开发有限公司,11栋,1138户
黄桷逸景,(长寿老城片区)黄桷路12号,4549,2000年建成 ,塔楼/板楼,0.6元/平米/月,重庆隆安物业服务有限公司,重庆巨龙实业有限公司,6栋,558户
津华大厦,(江津祥瑞片区)塔坪路97号,4889,2006年建成 ,塔楼,0.3元/平米/月,重庆市江津区津华物业管理有限公司,无开发商,1栋,232户
城西步行街,(江津西段)长城路,4407,2000年建成 ,板楼,暂无信息,业主自筹物业,无开发商,2栋,180户
名桂园,(长寿桃花新城)长 寿区桃源东路2号,4847,2010年建成 ,塔楼/板楼,1.2元/平米/月,重庆盛都物业管理有限公司,无开发商,11栋,1132户
信合大厦（江津）,(江津老城区)滨江大道中段信合大厦,4142,1994年建成 ,板楼,0.6元/平米/月,暂无信息,重庆融华房地产有限公司/重庆融汇实业有限公司,1栋,3户
桃西雅图,(长寿长寿)桃花西路桃西雅图,4315,2000年建成 ,塔楼/板楼/塔板结合,暂无信息,无物业管理服务,重庆百年佳乐置业有限公司,25栋,3442户
江岸丽水,(江津西段)滨江大道西段291号,4859,2006年建成 ,塔楼/板楼,0.5元/平米/月,重庆高天物业有限公司,重庆宝泽房地产开发有限公司,10栋,317户
几江大院,(江津西段)丁香街86号,4714,2008年建成 ,塔楼/板楼,暂无信息,仲量联行物业管理有限公司,重庆天福地产集团有限公司,6栋,194户
大同路160号,(江津老城区)大同路160号,4311,1991年建成 ,板楼,0.3元/平米/月,街道办事处（委员会）代管物业,无开发商,8栋,315户
津辉花园,(江津老城区)竹器街109号,4674,2002年建成 ,板楼,0.36元/平米/月,重庆策华物业管理有限责任公司,无开发商,5栋,338户
在水一方三期,(长寿桃花新城)长 寿区站东路19号,4419,2002年建成 ,塔楼/平房,1元/平米/月,无物业管理服务,中建城开环境建设股份有限公司,6栋,1188户
祥和小区,(璧山璧山)璧青北路543号,4237,1997年建成 ,塔板结合,0.5至1元/平米/月,重庆三木实业有限责任公司, 广州吉高展览策划有限公司,6栋,490户
水木年华燕安庭,(江津老城区)燕窝穴街163号,4107,2003年建成 ,板楼/塔板结合,0.15元/平米/月,重庆新祥瑞物业管理有限公司,重庆祥瑞房地产集团有限公司,23栋,421户
凤西苑,(长寿长寿)古镇,4575,1990年建成 ,塔楼/塔板结合,5元/平米/月,暂无信息,四川省聚丰房地产开发有限责任公司1,32栋,10560户
琅山部队还房小区（琅山菜市场）,(江津琅山片区)柳林街,4533,2001年建成 ,塔楼,暂无信息,业主自筹物业,无开发商,1栋,253户
西城新时代,(长寿老城片区)园丁路26号,4437,2004年建成 ,塔楼,1元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1栋,300户
泊景湾,(长寿老城片区)桃花大道56号,4433,2007年建成 ,塔楼,1元/平米/月,无物业管理服务,无开发商,12栋,1172户
顺风亭二期,(长寿老城片区)经开路顺风庭二期,4159,2000年建成 ,塔楼/塔板结合,2元/平米/月,重庆金科物业管理公司,重庆金科科健置业有限公司,9栋,1829户
南桥胜天,(长寿桃花新城)桃花大道21号,4459,2011年建成 ,塔楼,1.1元/平米/月,重庆光亮禾顺物业管理有限公司,金科地产开发有限公司,1栋,528户
滨江怡苑,(江津老城区)滨江路西段95号,4420,2002年建成 ,塔楼/板楼/塔板结合,0.45至0.5元/平米/月,重庆市江津区洛维物业管理有限公司,重庆市洛维房地产开发有限公司,4栋,396户
北固门,"(江津老城区)北固门街, 怡然街116号",4600,1993年建成 ,塔楼/板楼,0.3元/平米/月,业主自筹物业,无开发商,44栋,1716户
津南明珠,(江津琅山片区)几江凤凰路1号,4349,2007年建成 ,塔楼/板楼,0.45元/平米/月,重庆市圆通物业管理有限公司,逢源房地产开发有限公司,15栋,531户
大同路,(江津东门)大同路,4099,1980年建成 ,塔楼/板楼/塔板结合,0.4至10元/平米/月,暂无信息,重庆市江津建筑建材总公司,12栋,216户
农业局家属院(鼎山大道),(江津老城区)客运中心旁,4636,暂无信息 ,塔板结合,暂无信息,暂无信息,暂无信息,5栋,70户
帝景花园,(璧山璧山)璧青北路636号,4525,1998年建成 ,板楼/塔板结合,0.3至1.2元/平米/月,暂无信息,河南亚新投资集团,6栋,365户
卡萨时光,(长寿老城片区)平湖路7号,4053,2000年建成 ,塔楼/板楼/塔板结合,1.2元/平米/月,无物业管理服务,无开发商,5栋,472户
东方水岸,(长寿老城片区)桃花大道,4577,2009年建成 ,塔楼,1.3元/平米/月,暂无信息,金科地产开发有限公司,3栋,1106户
得胜街,(江津老城区)得胜街150号,4750,1990年建成 ,塔楼/板楼,0.3至1.5元/平米/月,街道办事处（委员会）代管物业,重庆市江津建筑建材总公司,23栋,761户
在水一方一期B区,(长寿老城片区)渡舟正街,4113,2010年建成 ,塔板结合,2元/平米/月,暂无信息,重庆市红光中学,7栋,1016户
骑鞍街,(长寿老城片区)骑鞍街,4365,1987年建成 ,板楼/塔板结合,1.5元/平米/月,无物业管理服务, 合肥万科瑞翔地产有限公司,20栋,1052户
鑫银大厦,(北碚朝阳区)龙溪支路7号,4529,2001年建成 ,板楼,1.2元/平米/月,重庆八十一物业发展有限公司,开天集团,1栋,192户
滨江路5幢,(江津东门)滨江大道鼎山段,4610,1998年建成 ,板楼,暂无信息,暂无信息,重庆市江津建筑建材总公司,1栋,32户
名豪商贸区,(江津东门)南安街53号,4223,2003年建成 ,板楼/塔板结合,暂无信息,暂无信息,"重庆盈普投资有限公司,重庆盈睿投资有限公司",5栋,239户
山奇小区,"(江津东门)四方井街19号, 四方井街31号",4697,1994年建成 ,塔楼/板楼,1至1.8元/平米/月,无物业管理服务,无开发商,9栋,562户
朵力6号,(长寿古镇片区)桃源支路6号,4821,2009年建成 ,塔楼,1.1元/平米/月,重庆朵力物业管理有限公司,重庆钢铁集团朵力房地产股份有限公司,6栋,1664户
江岸丽都,(江津西段)滨江路西段30号,4445,2005年建成 ,塔板结合,0.52元/平米/月,重庆浩博物业管理有限公司,无开发商,4栋,446户
香山美地,(长寿老城片区)桃花大道69号,4346,2010年建成 ,塔楼,1至12元/平米/月,无物业管理服务,无开发商,8栋,1632户
茂园小区,(江津西段)鲤鱼石街10号,4461,2001年建成 ,板楼,0.25元/平米/月,重庆茂园物业管理有限公司,重庆江津山奇房地产有限公司,1栋,163户
百货公司综合楼,(江津西段)大有后街百货公司综合楼,4333,1998年建成 ,板楼,0.4元/平米/月,暂无信息,重庆市江津建筑建材总公司,1栋,32户
怡然街269号,(江津老城区)怡然街269号,4402,1994年建成 ,板楼,0.5元/平米/月,暂无信息,无,1栋,42户
锦程花园,"(江津西段)长城路块38号, 长城路490号附19号",4783,2006年建成 ,塔楼,0.35元/平米/月,重庆金桥中小企业服务有限公司,重庆金桥投资控股（集团）有限公司,4栋,928户
市政府职工集资楼,(江津琅山片区)凤凰路88号,4177,2003年建成 ,板楼/塔板结合,0.2元/平米/月,重庆策华物业管理有限责任公司,江津城市投资开发有限公司,8栋,113户
金凤新城,(长寿老城片区)平湖路6号,4188,2005年建成 ,板楼/塔板结合,0.85元/平米/月,暂无信息,金科地产开发有限公司,6栋,1839户
滨江路6-3号,(江津老城区)滨江路6-3号,4598,1994年建成 ,板楼,0.3元/平米/月,暂无信息,无开发商,1栋,40户
三口佳苑,(北碚北碚老城区)银翔大道三口佳苑,4525,2012年建成 ,板楼,0.8至1.23元/平米/月,重庆市银翔物业管理有限公司,重庆银翔房地产开发有限公司,19栋,1572户
家和小区,(江津琅山片区)琅山大道42号,4281,2006年建成 ,塔楼,暂无信息,无物业管理服务,江津城市投资开发有限公司,4栋,161户
德高名仕城,(江津西段)德高名仕城7号,4407,2003年建成 ,板楼,0.25元/平米/月,重庆市巨恒物业,重庆市德高房地产开发有限公司,4栋,484户
点金苑,(江津西段)西关街,4435,2002年建成 ,塔板结合,0.5元/平米/月,暂无信息,重庆鑫源置业集团,1栋,107户
圣瑞华府,(长寿古镇片区)桃源北一路,4763,2015年建成 ,塔板结合,1.2元/平米/月,重庆多泰物业管理有限公司,金科地产开发有限公司,1栋,468户
津西花园,(江津西段)西园路101号,4269,1998年建成 ,板楼/塔板结合,0.25至1元/平米/月,业主自筹物业,江津市房地产开发有限公司,8栋,500户
三通街,"(江津老城区)老米市街47号, 三通街43号, 三通街51号, 三通街7号, 三通街46号",4603,1993年建成 ,塔楼/板楼,暂无信息,业主自筹物业,无开发商,42栋,5694户
卞家厅,(江津老城区)卞家厅街,4189,1994年建成 ,板楼/塔板结合,0.3元/平米/月,业主自筹物业,无开发商,30栋,5127户
四不挨,"(江津老城区)江 津百货街, 江津相府路203号",4357,2000年建成 ,塔楼/板楼,0.15至1.5元/平米/月,业主自筹物业,无开发商,7栋,1134户
凤园路,(长寿老城片区)凤园路,4150,1990年建成 ,板楼/塔板结合,2至6元/平米/月,无物业,无开发商,43栋,2356户
首信凰冠壹号,(长寿老城片区)陈家坡2号,4547,2002年建成 ,塔楼,3元/平米/月,重庆悦榕庄,四川省聚丰房地产开发有限责任公司3,2栋,571户
瑞兴花园,(涪陵涪陵)黎明路,4627,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,22户
学府花园,(涪陵涪陵)兴华中路,4276,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,51户
吉祥鑫座,(江津西段)军民路193号,4195,2002年建成 ,板楼,0.5元/平米/月,无物业管理服务,无开发商,4栋,331户
桃源水郡,(长寿桃花新城)长寿区桃源东一路二号,4077,2010年建成 ,塔板结合,0.8元/平米/月,重庆光亮禾顺物业管理有限公司,金科地产开发有限公司,11栋,209户
顺帆名鼎,(长寿老城片区)桃花大道,4060,2007年建成 ,塔楼,暂无信息,无物业管理服务,无开发商,1栋,300户
歌舞剧团宿舍,(涪陵涪陵)广场路,4874,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,2栋,50户
太极一小区,(涪陵涪陵)黎明路,4034,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,52户
荣华苑,(长寿老城片区)桃花西路6号,4470,2000年建成 ,塔楼,1元/平米/月,暂无信息,重庆银星公司,6栋,360户
法院小区,(长寿桃花新城)桃源支路2号,4510,1999年建成 ,平房,1.5元/平米/月,暂无信息,金科地产开发有限公司,4栋,168户
卫古路,(长寿老城片区)卫古路,4374,1993年建成 ,板楼/塔板结合/平房,1.2至6元/平米/月,无物业,四川省聚丰房地产开发有限责任公司3,36栋,2593户
道角二村,(巴南龙洲湾)道角二村,4860,1998年建成 ,塔楼,暂无信息,暂无信息,暂无信息,12栋,70户
津华苑,"(江津西段)江 津区长城路, 西关路181号",4665,2002年建成 ,塔楼/板楼,0.47元/平米/月,重庆市江津区津华物业管理有限公司,重庆市祥瑞实业集团房地产开发有限公司,5栋,245户
人大家属院,(江津西段)鼎山大道139号,4850,1998年建成 ,塔楼,0.4元/平米/月,业主自筹物业,无开发商,1栋,81户
滨江明珠,(江津老城区)临江路200号,4469,2000年建成 ,板楼,0.4至0.6元/平米/月,重庆策华物业管理有限责任公司,重庆祥瑞房地产集团有限公司,5栋,276户
工商职高家属院,(江津西段)泡桐树街56号,4304,2002年建成 ,板楼,暂无信息,街道办事处（委员会）代管物业,无开发商,11栋,195户
三机关,(涪陵涪陵)太极大道,4417,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,17栋,1866户
金桥花园,(江津西段)江 津客运中 心旁,4340,2002年建成 ,塔楼/板楼,0.25至2.1元/平米/月,重庆金桥中小企业服务有限公司,重庆金桥房地产开发有限公司,5栋,221户
部队还房,(江津琅山片区)几江琅山民营区部队还房综合楼,4192,1994年建成 ,板楼,0.25元/平米/月,业主自筹物业,无开发商,5栋,174户
鼎新小区,(江津西段)江 津区客运中心转盘边上,4490,1997年建成 ,塔楼/板楼,暂无信息,无物业管理服务,无开发商,5栋,239户
九龙丽景,(綦江綦江)重庆綦江区九龙大道75号,4760,2000年建成 ,塔楼/板楼,1元/平米/月,重庆雅捷物业管理有限公司,綦江明全房屋开发有限公司,6栋,384户
顺帆名鼎,(长寿老城片区)桃花大道,4060,2007年建成 ,塔楼,暂无信息,无物业管理服务,无开发商,1栋,300户
卫古路,(长寿老城片区)卫古路,4374,1993年建成 ,板楼/塔板结合/平房,1.2至6元/平米/月,无物业,四川省聚丰房地产开发有限责任公司3,36栋,2593户
津西花园,(江津西段)西园路101号,4269,1998年建成 ,板楼/塔板结合,0.25至1元/平米/月,业主自筹物业,江津市房地产开发有限公司,8栋,500户
卞家厅,(江津老城区)卞家厅街,4189,1994年建成 ,板楼/塔板结合,0.3元/平米/月,业主自筹物业,无开发商,30栋,5127户
神仙口,(江津老城区)江 津区相府路,4209,2000年建成 ,板楼,暂无信息,业主自筹物业,无开发商,4栋,184户
德高名仕城,(江津西段)德高名仕城7号,4407,2003年建成 ,板楼,0.25元/平米/月,重庆市巨恒物业,重庆市德高房地产开发有限公司,4栋,484户
点金苑,(江津西段)西关街,4435,2002年建成 ,塔板结合,0.5元/平米/月,暂无信息,重庆鑫源置业集团,1栋,107户
凤园路,(长寿老城片区)凤园路,4150,1990年建成 ,板楼/塔板结合,2至6元/平米/月,无物业,无开发商,43栋,2356户
首信凰冠壹号,(长寿老城片区)陈家坡2号,4547,2002年建成 ,塔楼,3元/平米/月,重庆悦榕庄,四川省聚丰房地产开发有限责任公司3,2栋,571户
圣瑞华府,(长寿古镇片区)桃源北一路,4763,2015年建成 ,塔板结合,1.2元/平米/月,重庆多泰物业管理有限公司,金科地产开发有限公司,1栋,468户
三通街,"(江津老城区)老米市街47号, 三通街43号, 三通街51号, 三通街7号, 三通街46号",4603,1993年建成 ,塔楼/板楼,暂无信息,业主自筹物业,无开发商,42栋,5694户
四不挨,"(江津老城区)江 津百货街, 江津相府路203号",4357,2000年建成 ,塔楼/板楼,0.15至1.5元/平米/月,业主自筹物业,无开发商,7栋,1134户
道角二村,(巴南龙洲湾)道角二村,4860,1998年建成 ,塔楼,暂无信息,暂无信息,暂无信息,12栋,70户
鱼胡路3号,(巴南龙洲湾)鱼胡路3号,4676,2000年建成 ,塔板结合,暂无信息,厦门联发（集团）物业服务有限公司重庆分公司,中建地产,1栋,73户
秦家院菜市楼上,(巴南鱼洞)鱼洞新二村55号,4668,2007年建成 ,板楼,暂无信息,街道办事处（委员会）代管物业,无开发商,1栋,72户
果研所家属院,(江津西段)鼎山大道176号,3930,2000年建成 ,板楼/塔板结合,暂无信息,业主自筹物业,无开发商,3栋,145户
广电家属院,(江津西段)长城路广电家属院,4119,2001年建成 ,板楼,0.35至0.45元/平米/月,业主自筹物业,无开发商,5栋,67户
渝西半岛3号还房,"(江津东部新城)半岛明珠后, 江津区鼎山街道555号",4668,2009年建成 ,塔楼,0.4元/平米/月,重庆策华物业管理有限责任公司,重庆渝西半岛实业有限公司,1栋,84户
老米市街,"(江津老城区)老米市街26号, 老米市街33号附3号",4290,1990年建成 ,板楼/平房,0.5元/平米/月,重庆市江津区物业管理有限公司,无,7栋,274户
电信大楼,(江津西段)江 津鼎山大道,4247,1999年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,1栋,117户
凤城大院,(长寿老城片区)向阳路15号,4125,2003年建成 ,板楼,1.2至1.5元/平米/月,无物业管理服务,无开发商,15栋,408户
太极一小区,(涪陵涪陵)黎明路,4034,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,5栋,52户
瑞兴花园,(涪陵涪陵)黎明路,4627,暂无信息 ,塔楼,暂无信息,暂无信息,暂无信息,3栋,22户
秦家院菜市楼上,(巴南鱼洞)鱼洞新二村55号,4668,2007年建成 ,板楼,暂无信息,街道办事处（委员会）代管物业,无开发商,1栋,72户
道角二村,(巴南龙洲湾)道角二村,4860,1998年建成 ,塔楼,暂无信息,暂无信息,暂无信息,12栋,70户
汇锦小区,(江津老城区)滨江大道西段138号,3957,2000年建成 ,板楼,1元/平米/月,暂无信息,重庆市江津建筑建材总公司,1栋,37户
