小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
四季新城,(金东区金东区)府后路四季新城,12408,塔板结合,1元/平米/月,金华市四季物业管理有限公司,安徽新华新茂置业有限公司,43栋,941户
海伦堡珺玥府,(金东区金义都市新区)金港大道豪都金尊华府,15608,板楼/塔板结合/平房,1.8至3元/平米/月,金华非凡物业管理有限公司,海伦堡地产,167栋,2262户
龙庭一品,(金东区金义都市新区)法华街龙庭一品,15002,板楼,2至2.8元/平米/月,浙江绿城物业管理,浙江嘉伦房地产开发有限公司,97栋,1568户
北苑小区(婺城区),(婺城区江北)丰亭西路88号,15476,板楼,0.35至1元/平米/月,暂无信息,未知,51栋,1849户
四海铭门,(金东区金义都市新区)金港大道1666号,14285,塔板结合,1.6至1.8元/平米/月,上海明君物业管理有限公司,华统集团有限公司,18栋,1350户
金华万达广场SOHO,(金东区金东区)光南路金华万达广场,11159,塔楼,2.3元/平米/月,金华市万达花园物业管理有限公司,万达集团,6栋,4179户
东塘湖畔花园,(金东区金义都市新区)法华街东塘湖畔花园,12207,板楼,1.8元/平米/月,尚德物业,金华胜城房地产开发有限公司,7栋,1479户
申华翡翠城,(金东区金东区)金瓯路申华翡翠城,12991,板楼,0.5至0.55元/平米/月,金华市绿恒物业管理有限公司,金华市现代房产建设开发有限公司,32栋,1008户
香堤意墅,(金东区金东区)孝川路1039号,13651,塔板结合,0.8元/平米/月,浙江万全物业管理有限公司,绿园置业公司,53栋,1430户
新城花园(婺城区),(婺城区婺城新区)深泽路新城花园,10987,塔楼/板楼/塔板结合,0.5至5元/平米/月,暂无信息,暂无信息,14栋,466户
聚佳美丽园,(金东区金东区)孝川路聚佳美丽园,13625,塔板结合,1.6元/平米/月,金华聚佳物业管理有限公司,山西永晟元房地产开发有限公司,45栋,950户
意谐缤虹星城,(婺城区婺城新区)红羲公路意谐缤虹星城,14301,板楼/塔板结合,1.7至1.74元/平米/月,香港雅居乐物业管理有限公司,金华意谐房地产开发有限公司,15栋,2996户
金山大厦,(金东区金东区)华发路金山大厦,9859,塔楼,1.2元/平米/月,暂无信息,华丰房地产,3栋,510户
白沙春晓,(婺城区婺城新区)金龙路白沙春晓,12205,塔板结合,0.5至1.2元/平米/月,暂无信息,暂无信息,23栋,574户
蓝湾国际花园,(婺城区婺城新区)华龙南街1008号,15133,塔板结合,0.6至1.65元/平米/月,暂无信息,暂无信息,43栋,962户
金色港湾(金东区),(金东区金义都市新区)金华市金东经济开发区东山街，长春路南侧,12723,板楼,4元/平米/月,暂无信息,红星地产,25栋,381户
都市豪园,(金东区金义都市新区)欣居街288号,13407,塔板结合,1.2至1.35元/平米/月,浙江正方本家物业服务有限公司,万都地产有限公司,40栋,1478户
华鼎公馆,(婺城区婺城新区)新洲路290号,15122,板楼,1.2元/平米/月,暂无信息,金华华鼎置业有限公司,4栋,396户
嘉禹和家园,(兰溪市兰溪市)永进路嘉禹和家园,8282,未知类型,暂无信息,暂无信息,暂无信息,5栋,160户
童家邨,(兰溪市兰溪市)星辰路童家邨,10498,未知类型,暂无信息,暂无信息,暂无信息,16栋,228户
溪西四区沐霞邨,(兰溪市兰溪溪望文华)体育场路溪西四区沐霞邨,9897,未知类型,暂无信息,暂无信息,暂无信息,31栋,2697户
罗兰城,(兰溪市兰溪市)华丰路333号,9357,未知类型,暂无信息,暂无信息,暂无信息,1栋,44户
金色家园(兰溪市),(兰溪市兰溪溪望文华)西山路468号,9885,未知类型,暂无信息,暂无信息,暂无信息,55栋,1379户
紫金嘉苑,(兰溪市兰溪市)李渔路金角区紫金村,11447,未知类型,暂无信息,暂无信息,暂无信息,21栋,453户
四季澜庭,(兰溪市兰溪溪望文华)西山路四季澜庭,13821,未知类型,暂无信息,暂无信息,暂无信息,14栋,1049户
溪西四区栖霞邨,(兰溪市兰溪溪望文华)府前路溪西四区栖霞邨,10054,未知类型,暂无信息,暂无信息,暂无信息,8栋,304户
香兰邨,(兰溪市兰溪市)辅仁路香兰邨,11805,未知类型,暂无信息,暂无信息,暂无信息,21栋,586户
中亚东方华都,(兰溪市兰溪市)黄大仙路212号,11735,未知类型,暂无信息,暂无信息,暂无信息,16栋,800户
兰庭国际公馆,(兰溪市兰溪市)清河路999号,9114,未知类型,暂无信息,暂无信息,暂无信息,10栋,787户
铂金名邸,(兰溪市兰溪溪望文华)和宁巷5号,8166,未知类型,暂无信息,暂无信息,暂无信息,2栋,96户
锦绣天成,(兰溪市兰溪溪望文华)振兴路555号,12878,未知类型,暂无信息,暂无信息,暂无信息,62栋,1410户
溪西三区辅仁邨,(兰溪市兰溪溪望文华)辅仁路溪西三区辅仁邨,11847,未知类型,暂无信息,暂无信息,暂无信息,14栋,486户
城北安居苑,"(兰溪市兰溪市)凯旋路113号, 清河路682号",10011,未知类型,暂无信息,暂无信息,暂无信息,23栋,1416户
大公殿区英溪村,(兰溪市兰溪市)枣树路大公殿区英溪村,9620,未知类型,暂无信息,暂无信息,暂无信息,18栋,555户
嘉怡花苑小区,(兰溪市兰溪市)丹溪大道229号,10517,未知类型,暂无信息,暂无信息,暂无信息,7栋,230户
后畈邨,(兰溪市兰溪市)莲花路后畈邨,7658,未知类型,暂无信息,暂无信息,暂无信息,35栋,1336户
东岘新村,(东阳市东阳市)艺海南路81号,13545,未知类型,暂无信息,暂无信息,暂无信息,135栋,2224户
秦宫壹号金桂茗苑一期,(东阳市横店)影视大道西50米,13614,塔板结合,暂无信息,暂无信息,暂无信息,26栋,26户
东岘雅苑,(东阳市东阳市)吴宁东路228号,11786,未知类型,暂无信息,暂无信息,暂无信息,5栋,186户
学士华府,(东阳市东阳市)学士南路学士华府,13232,未知类型,1.6元/平米/月,暂无信息,暂无信息,1栋,396户
禹阳小区,(东阳市横店)禹阳路51号,6302,未知类型,暂无信息,暂无信息,暂无信息,6栋,90户
荆江铭苑,(东阳市横店)明清宫街95号,7423,平房,暂无信息,暂无信息,暂无信息,3栋,58户
富润家园,(金东区金东区)金瓯路富润家园,13825,板楼,0.5元/平米/月,金华市绿恒物业管理有限公司,三河市亿启德投资有限公司,5栋,156户
振兴花苑,(东阳市东阳市)振兴路555号,11864,未知类型,暂无信息,暂无信息,暂无信息,1栋,18户
巨龙腾逹湾名座,(婺城区婺城新区)宾虹西路2727号,13589,塔楼,1.5元/平米/月,暂无信息,暂无信息,2栋,132户
劳动路550号,(婺城区江北)劳动路550号,15367,未知类型,暂无信息,暂无信息,暂无信息,4栋,165户
耀江苑,(婺城区婺城新区)金江南街耀江苑,8255,板楼,0.5至0.6元/平米/月,暂无信息,暂无信息,7栋,168户
广天大厦,(婺城区江北)倍熙街59号,14130,板楼,1元/平米/月,暂无信息,暂无信息,1栋,55户
凤山街478弄21号,(婺城区江北)凤山街478弄21号,13772,未知类型,暂无信息,暂无信息,暂无信息,1栋,30户
中港大厦,(婺城区江北)人民西路968号,13739,未知类型,暂无信息,暂无信息,暂无信息,1栋,40户
得春路36号,(婺城区江北)得春路36号,12865,未知类型,暂无信息,暂无信息,暂无信息,1栋,47户
昌平路39号,(婺城区江北)昌平路39号,13132,板楼,0.8元/平米/月,暂无信息,暂无信息,1栋,72户
外贸小区,"(婺城区江北)九章路35号,九章路33号",13084,未知类型,暂无信息,暂无信息,暂无信息,2栋,66户
婺州街89号,(婺城区江南)婺州街89号,12384,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
人民西路128号,(婺城区江北)人民西路128号,14721,平房,1.5元/平米/月,无物业管理服务,无,1栋,32户
青春西路258号,(婺城区江北)青春西路258号,15592,未知类型,暂无信息,暂无信息,暂无信息,2栋,33户
金果苑,(金东区金东区)金瓯路金果苑,14089,塔板结合,1.2元/平米/月,暂无信息,金华市现代房产建设开发有限公司,11栋,28户
湘江小区,(婺城区江北)迪耳路483号,13954,板楼,0.5元/平米/月,暂无信息,暂无信息,5栋,143户
柳青十区,(义乌市北苑)柳青路柳青十区,11863,未知类型,暂无信息,暂无信息,暂无信息,31栋,988户
北岭雅苑,(武义县武义县)莹乡路北岭雅苑,12028,塔板结合,暂无信息,暂无信息,暂无信息,8栋,568户
曙光花园(后城里街),(婺城区江北)后城里街299号,13341,板楼,0.5至1元/平米/月,暂无信息,无,17栋,600户
汇鑫花园,(婺城区乾西)天师路157号,14312,板楼,暂无信息,暂无信息,暂无信息,15栋,736户
婺城区乾西福民新村,(婺城区乾西)盛会街281号,13918,板楼,暂无信息,暂无信息,暂无信息,17栋,556户
东景小区东区,(婺城区江北)秀景路东景小区东区,15076,板楼,0.5元/平米/月,暂无信息,集资房,4栋,168户
江东庭院东区,(金东区金东区)金瓯路615号,14448,塔板结合,1元/平米/月,暂无信息,金华市金报置业有限公司,5栋,150户
金瓯佳苑,(金东区金东新城)金瓯路555号,12845,板楼,1元/平米/月,无物业管理服务,浙江申华置业集团有限公司,4栋,120户
南屏佳园,(婺城区江南)环城南路西段1631号,13477,板楼,2元/平米/月,南宁安瑞物业服务有限公司,大连逸盛元置业有限公司,4栋,168户
金义华府,(金东区金东区)环镇南路57号,12396,板楼,1.2元/平米/月,暂无信息,开发区建设集团建设开发分公司开发,10栋,348户
西城悦居,(婺城区婺城新区)文溪街269号,13627,板楼/平房,0.8至1元/平米/月,暂无信息,暂无信息,4栋,192户
星河湾风渡,(婺城区婺城新区)工业街999号,13509,板楼,0.5元/平米/月,暂无信息,暂无信息,15栋,420户
