小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
西夏小区,(西夏区西夏区)北京西路581号,3526,板楼,0.2至0.5元/平米/月,暂无信息,银川建发集团股份有限公司,63栋,2759户
江南小区,(西夏区西夏区)宁朔南街江南小区,3294,板楼/塔板结合,0.2至0.9元/平米/月,江南小区物业公司,宁夏华尊立达房地产开发集团有限公司,12栋,584户
兴夏苑小区南区,(西夏区西夏区)北京西路兴夏苑小区南区,3868,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,21栋,856户
宁华园,(西夏区西夏区)北京西路宁华园,3265,板楼,0.35至0.9元/平米/月,暂无信息,暂无信息,63栋,2244户
满城小区,(金凤区森林公园)长宁巷满城小区,3857,板楼/塔板结合,0.5至0.7元/平米/月,学仕园物业公司, 五指山水墨雨林置业有限公司,3栋,150户
玫瑰园小区,(西夏区宁夏大学)朔方路68号,3762,板楼,0.4元/平米/月,宁夏银祥物业服务有限公司, 重庆桥达茂宸房地产开发有限公司,26栋,1095户
怡安小区西区,"(西夏区西夏区)怡安小区西区, 文昌北街98号",3817,板楼,0.3至0.4元/平米/月,暂无信息,天津建工集团,20栋,1071户
石化建小区,(西夏区西夏区)宁朔南街石化建小区,3213,板楼,0.2至0.4元/平米/月,暂无信息,宁夏新材房地产开发有限公司,6栋,282户
典农家园,(兴庆区兴庆区)典农街典农家园,3005,板楼/塔板结合,0.5至0.8元/平米/月,宁夏广兴源物业公司,暂无信息,20栋,880户
百货小区,(兴庆区兴庆区)解放东街210号,3718,塔板结合,1至30元/平米/月,中瀛泰富,广州城建发地产,4栋,186户
康乐小区,(兴庆区市医院)康乐巷3号,3842,板楼/塔板结合,1至1.3元/平米/月,宁夏众一物业, 石家庄博皓房地产开发公司有限公司,5栋,259户
友爱一区,(兴庆区新一中)清和南街586号,3887,塔楼/板楼/塔板结合,0.5至1元/平米/月,宁夏燕葆物业服务有限公司,银川银基房地产开发有限公司,18栋,643户
区工商局住宅小区,(兴庆区市医院)三林巷区工商局住宅小区,3363,板楼,0.5元/平米/月,无物业管理服务,银川众一集团房地产开发有限公司,4栋,66户
瑞秀园,(兴庆区中山公园)玉皇阁北街165号,3811,板楼,1.2元/平米/月,宁夏兴泰隆,宁夏新材房地产开发有限公司,1栋,33户
友爱二区,(兴庆区新一中)清和南街友爱二区,3946,板楼,0.8至1.4元/平米/月,康庄先去物业公司, 重庆汇东房地产开发有限公司,5栋,200户
二一七社区,(西夏区宁夏大学)贺兰山西路780号,3065,板楼/塔板结合,0.35至0.4元/平米/月,暂无信息,物业和度娘都不知道开发商名称,15栋,685户
宏嘉小区,(兴庆区市医院)富宁街142号,3889,板楼,0.35元/平米/月,暂无信息,宁夏和睦家投资置业有限公司,4栋,88户
团结小区(永宁县),(永宁县永宁县)团结路团结小区,当前网页找不到元素（价格）,平房,1.4元/平米/月,暂无信息,暂无信息,6栋,105户
明珠苑A区,(灵武市灵武市)朝阳路明珠苑A区,2244,未知类型,暂无信息,暂无信息,暂无信息,13栋,470户
宁水园,(西夏区宁夏大学)爱民巷5号,3314,板楼,0.3元/平米/月,暂无信息, 广州吉高展览策划有限公司,9栋,380户
怡安小区东区,(西夏区同心路)文昌北街107号,3350,板楼,0.4至0.5元/平米/月,暂无信息,北京建工地产,5栋,390户
怡宁小区西区,(西夏区同心路)北京西路怡宁小区西区,3857,板楼,0.4至0.5元/平米/月,宁夏建投物业有限公司,北京建工地产,12栋,522户
平安小区,(西夏区西夏区)北京西路629号,3480,板楼,0.3至0.5元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,10栋,430户
宁祥园(西夏区),(西夏区宁夏大学)双拥街2号,3702,板楼/塔板结合,0.3至0.5元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,11栋,385户
凤北家园一期,(金凤区金凤区)沈阳中路凤北家园一期,3559,塔楼/板楼/塔板结合,0.5至8.6元/平米/月,银川安逸物业管理公司,无,41栋,1909户
上前康居南区,(兴庆区城南)友爱中心路上前康居南区,2824,塔楼/板楼/塔板结合,0.3至1元/平米/月,宁夏中房物业,宁夏鸿海置业有限公司,23栋,858户
财贸小区,(兴庆区南门)解放东街500号,3832,板楼/平房,0.45元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,3栋,162户
红花苑小区,(兴庆区兴庆区)北京东路626号,3408,板楼/塔板结合,0.4至1.1元/平米/月,宁夏汇融物业,宁夏和睦家投资置业有限公司,3栋,120户
清和苑,(永宁县永宁县)胜利路清和苑,3037,板楼/塔板结合,0.45至0.5元/平米/月,暂无信息,永宁房产开发有限公司,12栋,820户
永泰家园B区,"(永宁县永宁县)宁昌南街32号, 宁昌南街34号",3591,板楼/塔板结合,0.5至0.8元/平米/月,暂无信息,暂无信息,22栋,738户
水木灵州拆迁安置小区,(灵武市灵武市)西平路水木灵州拆迁安置小区,3726,未知类型,暂无信息,暂无信息,暂无信息,17栋,806户
灵馨苑,(灵武市灵武市)广德路灵馨苑,3443,未知类型,暂无信息,暂无信息,暂无信息,39栋,1536户
枣香苑,(灵武市灵武市)朔方路枣香苑,2492,未知类型,暂无信息,暂无信息,暂无信息,34栋,1219户
龙苑小区,(灵武市灵武市)朔方路龙苑小区,2970,未知类型,暂无信息,暂无信息,暂无信息,2栋,1户
杨和新村三期小区,(永宁县永宁县)南环路杨和新村三期小区,2257,未知类型,0.45至1元/平米/月,暂无信息,暂无信息,57栋,2635户
惠丰雅苑,(永宁县永宁县)宁丰街惠丰雅苑,1940,板楼/塔板结合,1至2元/平米/月,学林园物业公司,长城地产,65栋,2963户
金穗小区,(永宁县永宁县)胜利东路14号,3336,未知类型,暂无信息,暂无信息,暂无信息,1栋,24户
幸福小镇,(永宁县永宁县)胜利路幸福小镇,2947,板楼/塔板结合,0.5至0.6元/平米/月,暂无信息,暂无信息,28栋,1481户
杨和康城,(永宁县永宁县)宁丰路杨和康城,2051,塔楼,0.5元/平米/月,暂无信息,暂无信息,72栋,3194户
友爱二区,(兴庆区新一中)清和南街友爱二区,3946,板楼,0.8至1.4元/平米/月,康庄先去物业公司, 重庆汇东房地产开发有限公司,5栋,200户
丽苑小区,(兴庆区新一中)永通巷89号,3736,板楼,0.5至0.6元/平米/月,银川住宅物业有限公司, 嘉兴世茂新世纪置业有限公司,4栋,225户
芦花州小区,(西夏区西夏区)新顾公路芦花州小区,3567,板楼,0.5至0.8元/平米/月,银川住宅物业有限公司,暂无信息,62栋,2642户
