小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
铃兰苑,(京口大港新区)港中路铃兰苑,4003,塔楼/板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,15栋,568户
英格兰印象,(丹徒区风景城邦商圈)华山路65-18号,7658,塔楼/板楼/塔板结合,0.8至1.5元/平米/月,江苏南徐中天物业管理有限公司,暂无信息,68栋,2193户
瑞鑫嘉园,(京口大港新区)银河路92号,4577,塔楼/板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,29栋,4105户
康泰花园,(京口丁卯商圈)丁卯桥路162号,7249,板楼,0.3元/平米/月,镇江金港物业管理有限公司,山西中中房地产开发有限公司,19栋,1003户
九华山庄芳庭苑,(丹徒区南山商圈)马山路2号,6677,板楼,0.3元/平米/月,暂无信息,暂无信息,15栋,1486户
宜业苑,(京口大港新区)平昌路宜业苑,4656,塔楼/塔板结合/平房,0.6至2.4元/平米/月,暂无信息,暂无信息,41栋,2945户
御带河花园,(京口学府路商圈)禹山路御带河花园,6269,板楼,0.3元/平米/月,暂无信息,暂无信息,30栋,2690户
九华山庄香榭苑,(丹徒区南山商圈)友谊路九华山庄香榭苑,6497,板楼/塔板结合,0.3元/平米/月,暂无信息,暂无信息,12栋,1239户
美林湾五区,(京口丁卯商圈)美林湾路美林湾五区,6689,塔板结合,0.4至1.7元/平米/月,暂无信息, 大理耀鹏房地产开发有限责任公司,25栋,1199户
碧桂园华东科技新城,(句容碧桂园凤凰城)宁杭北路碧桂园华东科技新城,7021,塔楼,2至3.5元/平米/月,碧桂园物业,句容碧桂园房地产开发有限公司,11栋,1126户
水木阳光小区,(京口丁卯商圈)学府路308号,7503,塔楼,1元/平米/月,暂无信息,暂无信息,22栋,800户
永安新城家园西区,(丹徒区区政府商圈)爱民街136号,7441,塔板结合,0.85至1.6元/平米/月,暂无信息,暂无信息,46栋,1078户
东风新家园,(京口丁卯商圈)禹山路,6214,塔板结合,0.4元/平米/月,暂无信息,暂无信息,24栋,876户
恒华苑,(京口丁卯商圈)经七路恒华苑,7143,板楼/塔板结合,0.4至0.7元/平米/月,暂无信息,镇江地产,11栋,388户
金谷家园,"(丹徒区宝龙商圈)金谷东路36号, 龙山路金谷家园",7743,板楼,0.65元/平米/月,暂无信息,无,16栋,356户
官塘绿苑一区,(润州官塘商圈)宝平路官塘绿苑,6705,塔楼/板楼/塔板结合,1元/平米/月,暂无信息,镇江市地产经营有限公司,10栋,1368户
龙泉新苑,(京口大港新区)港东路龙泉新苑,4351,塔楼,1.2元/平米/月,暂无信息,暂无信息,21栋,2712户
镇江新区四海家园,(京口大港新区)通港路镇江新区四海家园,4548,塔楼,0.9元/平米/月,暂无信息,暂无信息,2栋,198户
宜东铭苑,(丹徒区宝龙商圈)龙山路96号,6957,塔楼/塔板结合,0.6至0.8元/平米/月,暂无信息,暂无信息,25栋,1849户
花园新村,(京口梦溪商圈)桃花坞路170号,6610,板楼/塔板结合,0.4元/平米/月,暂无信息,无,12栋,498户
新茂苑,(京口京口)瑞城路新茂苑,4222,塔楼/板楼/塔板结合,0.6至1.2元/平米/月,暂无信息,暂无信息,85栋,4177户
学林雅郡,(京口学府路商圈)经十二路889号,7576,塔楼/塔板结合,1元/平米/月,镇江富佳物业管理有限公司,山西中中房地产开发有限公司,46栋,1908户
美林湾,(京口丁卯商圈)兴卯路美林湾,6792,板楼/塔板结合,0.4至0.7元/平米/月,暂无信息,上海美林阁置业有限公司,26栋,1077户
索普新村,(京口丁卯商圈)谷阳路索普新村,6726,板楼,0.6元/平米/月,暂无信息,镇江索普房地产开发有限公司,22栋,671户
银湖花园,(京口丁卯商圈)智慧大道399号,7438,塔楼/板楼/塔板结合,1.3至1.5元/平米/月,镇江润德置业有限公司,暂无信息,12栋,1365户
大桥家园,(润州创业园商圈)龙门港路耀金家园,6290,塔板结合,0.8元/平米/月,暂无信息,暂无信息,17栋,2305户
迎春小区,(丹阳市丹阳开发区商圈)迎春路迎春小区,7530,板楼,暂无信息,暂无信息,北京丹阳房产开发有限公司,26栋,776户
新乐苑,(京口京口)五峰山路新乐苑,4349,塔楼/板楼/塔板结合,0.6元/平米/月,暂无信息,暂无信息,54栋,2754户
画意江南,(丹徒区风景城邦商圈)长山路199号,7640,塔板结合,0.52至1.05元/平米/月,暂无信息,无,53栋,1226户
水云新村,(丹阳市丹阳城区商圈)水关路水云新村,6501,塔楼/板楼,1元/平米/月,暂无信息,暂无信息,40栋,1258户
电永小区,(丹阳市丹阳开发区商圈)金陵西路9号,6500,板楼,暂无信息,暂无信息,暂无信息,6栋,220户
老干部安置公寓,(句容句容市区)北四巷老干部安置公寓,7496,未知类型,暂无信息,暂无信息,暂无信息,4栋,84户
文化新村(扬中市),(扬中市扬中市)文化南路48号,7528,未知类型,暂无信息,暂无信息,暂无信息,69栋,1477户
美乐花园,(丹阳市丹阳城区商圈)丹伏路17号,3968,未知类型,暂无信息,暂无信息,暂无信息,20栋,540户
新城雅居,(句容句容市区)长龙山路新城雅居,7017,塔楼,暂无信息,暂无信息,暂无信息,42栋,1668户
景阳花园,(丹阳市丹阳华南商圈)丹金路景阳花园,7126,未知类型,暂无信息,暂无信息,暂无信息,10栋,343户
华南园中园,(丹阳市丹阳华南商圈)华南路333号,7021,板楼,暂无信息,暂无信息,暂无信息,18栋,664户
凰嘉花苑,(丹阳市丹阳华南商圈)312国道凰嘉花苑,5040,板楼,暂无信息,暂无信息,暂无信息,78栋,2466户
河畔花园,(丹阳市丹阳城区商圈)中山路12号,6807,板楼,0.8元/平米/月,暂无信息,北京丹阳房产开发有限公司,10栋,200户
鸿运楼,(丹阳市丹阳城区商圈)司徒镇光明中路,7055,板楼,0.4元/平米/月,暂无信息,暂无信息,1栋,40户
風雅尚都,(丹阳市丹阳城区商圈)丹句路风雅尚都,7201,塔楼,暂无信息,暂无信息,暂无信息,14栋,618户
兰陵大厦小区,(丹阳市丹阳城区商圈)新民中路130号,6609,板楼,暂无信息,暂无信息,暂无信息,1栋,33户
万宏天源城,(句容句容市区)华阳南路17-6号,7289,板楼/塔板结合,0.4至0.5元/平米/月,暂无信息,暂无信息,17栋,1150户
梅花苑,(句容句容市区)文昌中路梅花苑,6587,塔楼/板楼/塔板结合,0.2至1元/平米/月,暂无信息,暂无信息,23栋,580户
美域湾,(丹阳市丹阳开发区商圈)天禄路10号,5854,板楼,暂无信息,暂无信息,暂无信息,6栋,528户
锦城大厦,(句容句容市区)洪武路锦城大厦,6355,未知类型,暂无信息,暂无信息,暂无信息,1栋,114户
梅苑新邨,(丹徒区区政府商圈)龙山路117号,6254,板楼/塔板结合,0.45至0.8元/平米/月,暂无信息,镇江市世茂置业有限公司,5栋,151户
中凯花园,(丹徒区区政府商圈)金谷路1号,7687,板楼/塔板结合,0.82元/平米/月,暂无信息,暂无信息,20栋,454户
金谷家园W区,(丹徒区宝龙商圈)金谷东路36号,6439,板楼,0.65元/平米/月,暂无信息,镇江建民置业投资有限公司,8栋,220户
塔山路8号院,(京口青年广场商圈)塔山路塔山路8号院,6718,塔板结合,1.2元/平米/月,金润物业,河南中中置业集团有限公司,2栋,32户
永裕家园,(丹徒区区政府商圈)千禧路111号,5849,板楼,0.45至2元/平米/月,暂无信息,暂无信息,24栋,1401户
兰陵公寓,(丹阳市丹阳城区商圈)中山路19号,5161,板楼,暂无信息,暂无信息,暂无信息,1栋,50户
康乐公寓,(丹阳市丹阳城区商圈)化工路26号,5678,未知类型,暂无信息,暂无信息,暂无信息,2栋,78户
锦泰园,(丹阳市丹阳城区商圈)胜景路锦泰园,6389,板楼,0.5元/平米/月,暂无信息,暂无信息,9栋,247户
华云公寓,(丹阳市丹阳华南商圈)痴树花路华云公寓,7077,板楼,暂无信息,暂无信息,暂无信息,9栋,226户
阜阳新三村,(丹阳市丹阳城区商圈)北环路阜阳新三村,7096,板楼,0.5元/平米/月,暂无信息,暂无信息,8栋,240户
江南锦苑,(句容句容市区)003乡道江南锦苑,6525,未知类型,暂无信息,暂无信息,暂无信息,7栋,452户
永康公寓(句容),(句容句容市区)宁杭北路34号,7364,未知类型,暂无信息,暂无信息,暂无信息,3栋,92户
龍濱園,(丹阳市丹阳城区商圈)港口西路16号,6120,板楼,0.8元/平米/月,暂无信息,丹阳市金鼎投资有限公司,4栋,140户
鸿运楼,(丹阳市丹阳城区商圈)司徒镇光明中路,7055,板楼,0.4元/平米/月,暂无信息,暂无信息,1栋,40户
梅花苑,(句容句容市区)文昌中路梅花苑,6587,塔楼/板楼/塔板结合,0.2至1元/平米/月,暂无信息,暂无信息,23栋,580户
银谷苑,(丹阳市丹阳开发区商圈)金陵西路银谷苑,7331,板楼,暂无信息,暂无信息,北京丹阳房产开发有限公司,3栋,126户
东方花苑,(润州青年广场商圈)南门外大街3号,7257,塔板结合,0.3元/平米/月,暂无信息,暂无信息,7栋,266户
凤凰家园凤梧苑,(润州南徐商圈)长山渠路凤凰家园凤梧苑,7085,塔板结合,0.3元/平米/月,暂无信息,城投开发,17栋,708户
