小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
开源鑫阁,(长沙县开元路)板仓路33号,5894,2000年建成 ,塔板结合,1.5元/平米/月,长沙开源物业公司,开原市春辉置业有限公司,10栋,696户
长潭佳园,(雨花跳马)时代阳光大道513号,5850,2006年建成 ,板楼,0.85元/平米/月,无物业服务管理,无开发商,5栋,483户
泉塘小区,(长沙县泉塘)盼盼路泉塘小区,5301,1996年建成 ,板楼,暂无信息,暂无信息,无开发商,39栋,929户
星沙二区,(长沙县开元路)北斗路星沙二区,5382,1996年建成 ,塔楼,1元/平米/月,单位自主物业,北京碧水天成置业有限公司,76栋,7321户
逸苑小区,(芙蓉汽车东站)芙蓉区马坡岭农大宿舍,5855,1993年建成 ,板楼,暂无信息,无物业服务管理,暂无信息,10栋,22户
乐嘉花园小区,(芙蓉晚报)同丰街147号,5842,1998年建成 ,板楼,0.5元/平米/月,无物业服务管理,无开发商,3栋,74户
星沙汽配城小区,(长沙县月湖)汽配城路星沙汽配城小区,5307,2003年建成 ,板楼/塔板结合,0.5至1元/平米/月,街道办事处（委员会）代管物业,湖南汇成市场开发有限公司,23栋,537户
雨花亭变电站宿舍,(雨花雨花亭)韶山中路760号,5572,1990年建成 ,板楼,暂无信息,长沙开源物业公司,通用地产长沙有限公司,2栋,63户
兴隆小区,(开福金霞)北二环与秀峰立架桥交叉口,5109,2010年建成 ,板楼,0.5元/平米/月,无物业服务管理,无开发商,34栋,942户
火焰新村,(雨花高桥)朝晖路东二环,5554,2000年建成 ,塔板结合/平房,0.5至3元/平米/月,长沙火焰物业管理有限公司,0,5栋,197户
南郡明珠,(天心暮云)中意二路527号,5555,2000年建成 ,板楼/塔板结合,0.5至1.5元/平米/月,湖南同力物业管理有限公司,诚成置业有限公司,14栋,931户
高桥家电城,(雨花高桥)高桥大市场三街30号,5345,1998年建成 ,平房,暂无信息,暂无信息,湖南高桥大市场发展有限公司,20栋,198户
三城花苑,(天心暮云)市场路三城花苑,5545,2000年建成 ,塔楼/板楼/塔板结合,0.5至1.2元/平米/月,雨建物业管理有限公司,长沙市雨花城建开发有限公司,15栋,755户
中国烟草望城区宿舍,(岳麓汽车西站)岳麓大道771-773号,3946,1999年建成 ,板楼,0.6元/平米/月,中建物业,中建地产,1栋,3户
蔬菜局宿舍楼,(岳麓河西人人乐)雷锋大道蔬菜局宿舍楼,5701,2000年建成 ,板楼,暂无信息,无物业服务管理,无开发商,1栋,10户
中南石油局四普基地花园小区,(天心暮云)中意三路59号,4845,1994年建成 ,板楼,0.8至1元/平米/月,南庭社区物业,暂无信息,23栋,898户
宁乡蓝色港湾,(宁乡金洲片区)东升路蓝色港湾,5311,2012年建成 ,塔楼/板楼/塔板结合,1.5元/平米/月,宁乡港湾丽景物业服务有限公司,宁乡蓝色港湾房地产开发有限公司,14栋,2727户
物贸赤岗宿舍,(雨花左家塘)桂花路85号,5848,1996年建成 ,板楼,0.5元/平米/月,无物业服务管理,三河市东南房地产开发有限公司,2栋,102户
㮾梨综合市场1,(长沙县星沙其他)东升路㮾梨综合市场,5105,暂无信息 ,板楼,0.5元/平米/月,湖南恒凯物业管理有限公司,暂无信息,3栋,22户
毛家桥水果市场,(开福广电)四方大道毛家桥水果市场,5490,1996年建成 ,板楼/塔板结合,2元/平米/月,无物业服务管理,无开发商,12栋,687户
睿智园,(长沙县泉塘)东八路9号,5740,2009年建成 ,板楼,1.2元/平米/月,无物业服务管理,长沙丰睿投资有限公司,1栋,114户
月湖大市场A区,(开福月湖)万家丽北路总段218号,5086,2003年建成 ,板楼,0.5元/平米/月,无物业服务管理,无开发商,37栋,554户
高峰天马花园,(浏阳荷花片区)荷花街道浏阳荷花唐家洲天马路,5750,2013年建成 ,塔板结合,1.5元/平米/月,浏阳市恒安物业管理有限责任公司,浏阳市高峰房地产开发有限公司,14栋,1279户
东润万象城,(浏阳浏阳其他)浏阳工业新城浏阳市生物医药园,4220,暂无信息 ,塔楼,暂无信息,长沙市华顺物业有限公司,浏阳市东润置业有限公司,5栋,149户
