小区名称,地址,参考价格,建筑年代,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
盛福山庄,(胶州胶州新城区)香港路198号,7137,2003年建成 ,板楼,0.4元/平米/月,暂无信息,青岛福瀛房地产开发有限公司,39栋,1636户
隆和水岸,"(黄岛两河)海西东路138号, 两河路689号",6313,2005年建成 ,板楼,0.6至1.4元/平米/月,青岛隆和物业管理有限公司,青岛隆和置业有限公司,7栋,3299户
天和小区,"(黄岛灵山卫)昆仑山南路79号, 泰山东路6527号",7268,2001年建成 ,板楼,1.1至1.5元/平米/月,青岛天和兄弟物业管理有限公司,山东天和兄弟房地产开发有限公司,8栋,1195户
少海雅居,(胶州胶东空港商务区)兰州东路689号,7625,2006年建成 ,板楼,0.5至0.7元/平米/月,青岛雅园物业发展有限公司,暂无信息,13栋,407户
智岛公寓辛安景苑,(黄岛辛安)渭河路362号,4942,2011年建成 ,板楼,2.2元/平米/月,青岛瑞源物业管理有限公司,兴华管理有限公司,11栋,2085户
云龙花园,(胶州中云)胶州西路268号,6183,2003年建成 ,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,10栋,352户
即发金色华山,(即墨即墨和平)华锦路168号,6880,2000年建成 ,塔楼/板楼/塔板结合,0.45至0.8元/平米/月,安居物业服务有限公司,青岛即发房地产开发有限公司,52栋,1257户
广厦小区(即墨),(即墨即墨开发区)鹤山路525号,7776,1996年建成 ,板楼,5元/平米/月,暂无信息, 合肥万科瑞翔地产有限公司,3栋,112户
龙秀山庄,(胶州胶东空港商务区)兰州东路697号,6051,2000年建成 ,板楼,0.3至0.7元/平米/月,盛浩龙物业,暂无信息,16栋,455户
茂源花园东区,(城阳家佳源)民城路595号,7728,2000年建成 ,板楼/塔板结合,0.3元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,7栋,406户
福瀛国际公寓,(黄岛辛安)黄岛淮河西路以南，开拓路以西,5594,2014年建成 ,塔楼,1.6元/平米/月,青岛福瀛物业管理有限公司,青岛福瀛房地产开发有限公司,5栋,963户
皇骐富贵百合园,(胶州胶州)黄张公路563号,4689,2012年建成 ,塔楼/板楼/塔板结合,0.4至1元/平米/月,青岛以恒物业管理有限公司,青岛磐基房地产开发有限公司,23栋,512户
古庙头,(城阳城阳实验二小)祺阳路62号,7333,2004年建成 ,板楼,暂无信息,无物业管理服务, 合肥万科瑞翔地产有限公司,41栋,1840户
汇智广场,(黄岛辛安)江山中路193号,4569,2006年建成 ,板楼,3元/平米/月,青岛天智物业,福建兴鸿置业,1栋,468户
富麟国际,(黄岛王台西)台南路1-16号,6835,暂无信息 ,板楼,2.7元/平米/月,暂无信息,暂无信息,10栋,341户
顺盛琴岛新城,(胶州李哥庄)胶州市204国道路北侧，李王路东侧,6805,2016年建成 ,板楼,0.45至1.2元/平米/月,无物业管理服务,暂无信息,8栋,280户
东海花苑,(即墨即墨和平)田横旅游度假区苏家寨月滩路666号,6792,2016年建成 ,板楼/塔板结合,0.6元/平米/月,安居物业管理有限公司,青岛东德胜置业有限公司,19栋,371户
莲花山小区,(黄岛江山南路)长江西路,7179,2003年建成 ,板楼,1.9元/平米/月,康大物业管理有限公司,富锦康大投资开发有限公司,1栋,41户
锦绣山河,(黄岛宝山)宝山镇七宝山二路中心小学对面,6077,2018年建成 ,板楼,0.6元/平米/月,暂无,胶南市永安房地产开发有限公司,4栋,156户
和平一區,(即墨即墨和平)新兴路222号,8118,1988年建成 ,板楼,0.6元/平米/月,青岛新时代物业公司,和平置业有限公司,19栋,1748户
宏程名仕小区,"(黄岛胶南六中)温州路518号, 温州路530号",7751,2014年建成 ,板楼,1.4元/平米/月,青岛宏程置业有限公司,北京宏程置业有限公司,3栋,598户
千智广场,(黄岛香江路)香江路40号,7044,2003年建成 ,塔楼/板楼,2.6元/平米/月,青岛千智园物业管理有限公司,无开发商,4栋,346户
山海逸居,(即墨即墨和平)滨海大道山海逸居,5908,2011年建成 ,板楼,0.6至2.5元/平米/月,青岛广源物业,青岛海铭房地产开发有限公司,17栋,696户
宝龙公寓,(即墨即墨古城)蓝鳌路宝龙广场1125室,7131,2012年建成 ,塔楼,2元/平米/月,暂定新时代物业管理有限公司,宝龙集团洛阳宝龙置业发展有限公司,2栋,3005户
西松园新区,(胶州北关)莱州东路99号,6962,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,1栋,1户
广州花园,(胶州阜安)广州南路157号,7290,暂无信息 ,未知类型,暂无信息,暂无信息,暂无信息,2栋,76户
金富小区,(胶州阜安)寺门首路49号,6716,2000年建成 ,板楼/塔板结合,1元/平米/月,红星置业, 重庆汇东房地产开发有限公司,4栋,168户
瑞丰苑,(胶州北关)莱州路17号,6882,暂无信息 ,板楼,0.5元/平米/月,青岛英吉瑞房地产开发有限公司,暂无信息,6栋,206户
大桓九家园,(胶州中云)泸州路1888号,4736,暂无信息 ,板楼/塔板结合,0.5元/平米/月,暂无信息,暂无信息,20栋,720户
袁家巷,(胶州阜安)常州路108号,7381,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,14栋,521户
紫悦府,(莱西莱西)北京西路5号,7398,2016年建成 ,板楼,1.3至1.8元/平米/月,青岛地都物业服务有限公司,青岛豪都置业有限公司,56栋,3512户
望海源凤凰城,(黄岛胶南)西外环路2168号（铁山工业园对面）,6531,2016年建成 ,板楼,0.4元/平米/月,青岛望海源集团物业管理有限公司,青岛望海源集团有限公司,11栋,324户
新天地国际新城,(胶州胶东空港商务区)胶州东路888号,7909,2012年建成 ,板楼,0.7至1.2元/平米/月,新天地置业物业管理有限公司,新天地置业（青岛）有限公司,24栋,577户
三龙·锦绣山庄,(平度平度)锦州路69号,7455,2015年建成 ,板楼,0.9元/平米/月,青岛乐业物业有限公司,青岛三龙城市建设综合开发有限公司,11栋,539户
沽河名邸,(胶州李哥庄)李哥庄镇香港街398号,7290,2017年建成 ,板楼,1元/平米/月,无物业管理服务,青岛昌琴房地产开发有限公司,5栋,71户
学苑尚都,(莱西莱西)杭州南路18号,7365,2017年建成 ,板楼,1.1元/平米/月,青岛豪丰置业物业管理有限公司,青岛豪丰置业有限公司,10栋,410户
明山府邸,(胶州胶州)杜村镇恒正路17号,4218,2015年建成 ,板楼,0.5元/平米/月,青岛明山岭置业有限公司,青岛明山岭置业有限公司,5栋,35户
泰豪国际广场,(城阳城阳工业园)文阳路717号,7520,2016年建成 ,塔楼,2.5元/平米/月,青岛城阳长安物业管理有限公司,青岛城阳长安房地产开发有限公司,6栋,1516户
溪景海岸,(城阳河套上马)汇智桥路溪景海岸,6901,2014年建成 ,板楼,2.4元/平米/月,暂无信息,南通好一家置业有限公司,7栋,490户
品烁华年(莱西),(莱西莱西)姜山新城海星南路26号,5327,2015年建成 ,塔板结合,0.7至0.9元/平米/月,青岛橡胶谷物业管理有限公司,青岛胶州市品烁置业有限公司,18栋,553户
奥润熙湖华府,(莱西莱西)龙水路66号,5153,2012年建成 ,板楼,1至1.1元/平米/月,青岛奥润物业管理有限公司,青岛奥润投资集团有限公司,16栋,436户
