小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
深业华府春天里,(雨山区安民)湖西中路深业华府春天里,13963,板楼/塔板结合,1.3至1.32元/平米/月,上海金地物业服务有限公司南京分公司,深业集团,43栋,5595户
东方城,(花山区霍里)湖南东路东方城,13595,塔楼/塔板结合,1.32元/平米/月,马鞍山市朝辉物业管理有限公司, 重庆汇东房地产开发有限公司,29栋,2841户
国际华城二村,(花山区霍里)东晖路国际华城二村,11448,板楼/塔板结合,0.9至1.2元/平米/月,巍峰物业管理公司,南京我想有家置业顾问有限公司,23栋,1270户
汇成上东,(花山区解放路)江东大道北段818号,14650,塔楼/板楼/塔板结合,0.8至1.2元/平米/月,暂无信息,上海汇成建设发展有限公司,54栋,4319户
秀山湖壹號,(花山区霍里)旅游大道秀山湖壹號,12756,板楼/塔板结合,0.9至1.32元/平米/月,马鞍山市瑞伯怡高物业管理有限公司,湖南景秀山河投资有限公司,27栋,3387户
万达荣府1号,(雨山区安民)东湖路万达荣府1号,13448,板楼/塔板结合,1.2至1.32元/平米/月,暂无信息,万达集团,7栋,1015户
丰收佳苑,(花山区霍里)霍里山大道丰收佳苑,7324,板楼/塔板结合,0.5至1.2元/平米/月,马鞍山市朝辉物业管理有限公司,中铁十七局集团有限公司,33栋,5091户
西湖花园,(花山区解放路)江东大道北段西湖花园,11224,塔楼/板楼/塔板结合,0.6至0.8元/平米/月,马鞍山西湖物业管理有限公司,南昌绿地西湖置业有限公司,87栋,2669户
秀山信达城二期,(花山区霍里)旅游大道秀山信达城二期,13124,塔楼/板楼/塔板结合,1.32元/平米/月,安徽信达建银物业管理有限公司马鞍山分公司,北京信达置业有限公司,8栋,1050户
恒生秀山郡,(花山区霍里)旅游大道恒生秀山郡,12442,板楼/塔板结合,1.25元/平米/月,南京百市物业管理有限公司马鞍山分公司,恒生东岳集团,39栋,2393户
和泰国际花园,(花山区桃园)花园路616号,17734,塔楼,1.2元/平米/月,广东碧桂园物业服务股份有限公司和县分公司,苏州东方城苏南置地有限公司,9栋,1305户
恒大绿洲,(花山区霍里)湖南东路恒大绿洲,14711,塔楼/板楼/塔板结合,1.2至1.62元/平米/月,金碧物业有限公司马鞍山分公司,恒大集团,19栋,1120户
