小区名称,地址,参考价格,建筑类型,物业费用,物业公司,开发商,楼栋总数,房屋总数
铜花小区,(下陆区新下陆)铜花南路8号,3354,板楼/塔板结合,0.2至0.55元/平米/月,黄石美尔雅物业管理有限公司,佳木斯腾龙投资有限公司,44栋,2309户
十五冶康宁园,(下陆区老下陆)发展大道99号,3246,板楼/塔板结合,0.3元/平米/月,暂无信息,上海腾龙有限公司,27栋,1101户
轩悦小区,(大冶市老城区)湖滨路39号,3582,板楼,暂无信息,暂无信息,方大集团,2栋,136户
荟翠花园,(大冶市老城区)伍家垅巷荟翠花园,3755,板楼,0.45至0.5元/平米/月,暂无信息,大冶有色绿城房地产开发有限公司,7栋,230户
桂家堰,(大冶市新城区)黄石大冶市大棋路港湖还建楼,2161,未知类型,暂无信息,暂无信息,暂无信息,20栋,2004户
大冶市规划管理局安全文明小区,(大冶市老城区)观山路24号,3835,板楼,15元/平米/月,暂无信息, 太原俊景房地产开发有限公司,1栋,48户
华顺·陆岛小区,(黄石港区花湖)友谊路华顺·陆岛小区,3311,板楼,0.5至5元/平米/月,暂无信息,无,2栋,84户
铜花四期,(下陆区新下陆)铜花南路铜花四期,2768,板楼/塔板结合,0.4至0.56元/平米/月,自己单位物业,大江房地产开发有限公司,9栋,406户
新兴花苑,(下陆区新下陆)紫新路19号,3688,板楼,0.5至0.8元/平米/月,自己单位物业,单位自建,8栋,264户
孔雀苑二期小区,(下陆区新下陆)北村一路孔雀苑二期小区,3700,板楼/塔板结合,0.5至20元/平米/月,鄂州大汉隆城物业服务有限公司,暂无信息,7栋,407户
太子山庄,(西塞山区八卦嘴)花园路太子山庄,3676,板楼,0.5至1元/平米/月,无物业公司,单位自建,6栋,236户
下陆区政府家属楼,(下陆区新下陆)下陆大道下陆区政府家属楼,3543,板楼,暂无信息,暂无信息,上海腾龙有限公司,1栋,56户
铜花小区三期,(下陆区新下陆)铜花南路14号,3374,板楼/塔板结合,0.3至0.55元/平米/月,腾龙物业管理公司,大江房地产开发有限公司,20栋,1036户
下陆电镀厂小区,(下陆区老下陆)下陆大道下陆电镀厂小区,2982,板楼,0.5元/平米/月,暂无信息,青龙万寿园投资有限公司,1栋,70户
宏达小区,(黄石港区花湖)鄂州花湖区重庆路24号,3671,板楼,暂无信息,暂无信息,宏泰集团,7栋,237户
老下陆街35号,(下陆区老下陆)老下陆街35号,2987,板楼,0.3元/平米/月,暂无信息,佳木斯腾龙投资有限公司,2栋,32户
东方怡园,(下陆区老下陆)怡园路12号,3252,板楼,0.2至0.4元/平米/月,自持物业,南通市腾龙置业有限公司,26栋,1144户
五洲庄园,(黄石港区花湖)重庆路五洲庄园,3518,板楼,0.6至1.5元/平米/月,无物业公司,无,49栋,222户
西塞山八泉沿湖路2-13号,(西塞山区武商)沿湖路2-13号,3823,板楼,暂无信息,暂无信息, 陕西亿润经贸有限公司 ,1栋,35户
福星园,(黄石港区万达)黄石港区S201(迎宾大道),3412,板楼,0.5元/平米/月,黄石市明惠物业有限公司,无,2栋,220户
西花苑社区,(下陆区新下陆)西村路9号,3096,板楼/塔板结合,0.4至0.55元/平米/月,鄂州大汉隆城物业服务有限公司,大江房地产开发有限公司,22栋,878户
飞娥山210号,(西塞山区上窑)沿湖路飞娥山210号,3773,平房,0.3元/平米/月,暂无信息,物业和度娘都不知道开发商名称,1栋,32户
颐阳路613号,(西塞山区八卦嘴)颐阳路613号,2908,板楼,暂无信息,暂无信息,暂无信息,1栋,45户
纺织前门,(下陆区老下陆)下陆大道纺机前门,2837,板楼,暂无信息,暂无信息,南通市腾龙置业有限公司,5栋,190户
东方花园,(下陆区老下陆)怡园路27-2号,3108,板楼,0.2至0.55元/平米/月,暂无信息, 广州吉高展览策划有限公司,22栋,1354户
孔雀苑小区,(下陆区新下陆)北村一路16号,3317,板楼/塔板结合,0.3至5元/平米/月,启文物业,大江房地产开发有限公司,27栋,1182户
渝鄂光福苑,(黄石港区万达)迎宾大道渝鄂光福苑,3775,塔板结合,0.5至0.6元/平米/月,暂无信息,无,2栋,189户
黄石大道325号,(西塞山区上窑)黄石大道325号,3852,塔板结合,暂无信息,暂无信息,物业和度娘都不知道开发商名称,3栋,86户
纺机家属区,(下陆区老下陆)发展大道纺机家属区,3156,板楼/塔板结合,0.4至0.55元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,18栋,741户
西康苑,(下陆区老下陆)发展大道31号,2924,板楼,暂无信息,暂无信息,南通市腾龙置业有限公司,13栋,491户
大冶市规划管理局安全文明小区,(大冶市老城区)观山路24号,3835,板楼,15元/平米/月,暂无信息, 太原俊景房地产开发有限公司,1栋,48户
华顺·陆岛小区,(黄石港区花湖)友谊路华顺·陆岛小区,3311,板楼,0.5至5元/平米/月,暂无信息,无,2栋,84户
正兴商住楼,(大冶市老城区)新冶大道13-4号,3689,板楼,3.5元/平米/月,暂无信息,上大阳光,1栋,42户
农机公司,(大冶市老城区)大冶大道57号,3769,板楼,暂无信息,鄂州大汉隆城物业服务有限公司,天津三川行投资有限公司,1栋,63户
五好大院,(大冶市老城区)北门路25号,3687,板楼,0.5元/平米/月,湖北鄂州天行物业管理有限公司, 重庆桥达茂宸房地产开发有限公司,2栋,94户
西塞山八泉沿湖路2-13号,(西塞山区武商)沿湖路2-13号,3823,板楼,暂无信息,暂无信息, 陕西亿润经贸有限公司 ,1栋,35户
颐阳路613号,(西塞山区八卦嘴)颐阳路613号,2908,板楼,暂无信息,暂无信息,暂无信息,1栋,45户
下陆建筑公司,(下陆区老下陆)发展大道下陆建筑公司,2745,板楼,暂无信息,暂无信息,暂无信息,1栋,27户
大冶市惠民小区,(大冶市老城区)矿治大道大冶市惠民小区,3620,板楼,10元/平米/月,暂无信息, 陕西亿润经贸有限公司 ,7栋,168户
大冶大道98号,(大冶市老城区)大冶大道98号,3221,未知类型,暂无信息,暂无信息,暂无信息,1栋,20户
李家湾锦绣城,(阳新县阳新县)仙岛湖路李家湾锦绣城,3441,未知类型,暂无信息,暂无信息,暂无信息,9栋,261户
山水绿洲,(阳新县阳新县)东坡路山水绿洲,3495,塔板结合,暂无信息,暂无信息,暂无信息,12栋,1470户
桃苑新村,(阳新县阳新县)东坡路79-4号,2577,未知类型,暂无信息,暂无信息,暂无信息,8栋,170户
湖北省地质局冶金地质大队,(下陆区老下陆)沿湖路22号,2917,板楼/塔板结合,1元/平米/月,暂无信息,南通市腾龙置业有限公司,5栋,216户
彭山小区,(阳新县阳新县)马龙路彭山小区,3837,未知类型,暂无信息,暂无信息,暂无信息,9栋,301户
银山花园,(阳新县阳新县)经九路银山花园,3419,未知类型,暂无信息,暂无信息,暂无信息,13栋,490户
金盾小区,(阳新县阳新县)经九路金盾小区,2136,未知类型,暂无信息,暂无信息,暂无信息,11栋,474户
鑫天小区,(下陆区新下陆)石明甲路鑫天小区,3424,板楼,0.2至0.55元/平米/月,自己单位物业,佳木斯腾龙投资有限公司,5栋,226户
大冶大道1号,(大冶市老城区)大冶大道1号,3469,板楼,0.3元/平米/月,暂无信息,大冶有色绿城房地产开发有限公司,6栋,136户
五金公司家属楼,(大冶市老城区)水塔巷五金公司家属楼,3572,板楼,暂无信息,暂无信息,暂无信息,1栋,48户
城西路7号,(大冶市老城区)城西路7号,3710,板楼,0.3元/平米/月,暂无信息,暂无信息,2栋,105户
花园路5副4号,(西塞山区八卦嘴)花园路5副4号,2872,塔板结合,1元/平米/月,无物业公司, 陕西亿润经贸有限公司 ,1栋,42户
紫竹花园,(下陆区老下陆)神牛路20号,3317,板楼,0.2至0.3元/平米/月,佳美物业,南通市腾龙置业有限公司,9栋,353户
锦绣山庄,(大冶市新城区)怡和路锦绣山庄,3231,板楼,暂无信息,暂无信息, 陕西亿润经贸有限公司 ,2栋,52户
黄石大道303副9号,(西塞山区上窑)黄石大道303副9号,3970,板楼,1.8元/平米/月,黄石市华讯房地产开发有限公司,山西同鑫同力房地产开发有限公司榆社分公司,1栋,72户
金家巷,(大冶市老城区)余府路金家巷,3325,板楼,暂无信息,暂无信息, 合肥万科瑞翔地产有限公司,2栋,68户
黄石市林业局小区,(黄石港区楠竹林)湖滨大道黄石市林业局小区,3486,板楼,11元/平米/月,暂无信息, 重庆汇东房地产开发有限公司,1栋,58户
曹家湾301号,(西塞山区中窑)黄厂街曹家湾301号,2946,塔板结合,0.5元/平米/月,黄石市家维物业公司,黄石达安置业有限公司,1栋,32户
